,cluster,rest_enrich,stim8hr_enrich,stim48hr_enrich,rest_p,stim8hr_p,stim48hr_p,cluster_gene_size,rest_fdr,stim8hr_fdr,stim48hr_fdr
43,74,1.2494291529715227,1.4134060922811744,1.0037592928004833,0.0009262516576018233,2.26658581546935e-07,0.4807755903592671,11,0.06627599860127745,2.198564321390132e-05,1.0
44,39,1.061600209439853,0.8821863592014282,0.6691090366108475,0.19930048513255394,0.9424736089406764,0.9999649659067655,12,0.9999923460263134,1.0,1.0
45,28,1.1540157885723925,1.1801093322795684,1.0287040216163748,1.5020607761528212e-56,1.3373441078298228e-73,0.004524845086944336,49,1.4569989528682365e-54,1.4175847542996121e-71,0.3529753366893376
46,17,0.9279349553917411,0.6937946604792412,0.6078790960844352,0.7057817983095958,0.9864936321142923,0.9965765280958454,5,1.0,1.0,1.0
47,64,1.1946072486265813,0.8291174432424628,0.9079770801529914,0.00318495195335577,0.9942937911346751,0.9137288113565778,17,0.20521409220804612,1.0,1.0
48,82,0.4912270694543233,0.6506958361023675,1.514976681722974,0.9924397925166238,0.9802125197932487,0.006966674820709745,7,1.0,1.0,0.4852892893347703
49,37,1.223266548839986,1.3952975588360463,0.29641983201629885,0.010217208153350636,3.580386196560557e-05,0.999999999934482,9,0.4974569950658631,0.0033956494771016786,1.0
50,95,0.6420588871058963,0.7572325346806577,2.6690711437249957,0.9999709717110695,0.9966234983253256,5.320182950713349e-58,21,1.0,1.0,5.798999416277551e-56
51,111,1.202662834631588,0.8104990756401959,1.5729040509053802,0.0037177091050151056,0.9940451827716735,5.368780742080746e-12,10,0.2288468179088475,1.0,5.583531970220173e-10
52,100,0.5900771790762908,1.3817812700062133,1.6158989393794547,0.999953589073536,0.00013402248753142075,3.1977570547459916e-09,13,1.0,0.012519923511921176,3.2936892292350255e-07
53,62,1.4454504052148824,0.9231155467883166,0.5396619621751483,0.005925045634791087,0.6916725763892868,0.9952101755844814,4,0.3324236068888835,1.0,1.0
54,71,0.5250513566314227,0.6404487717191863,0.4673369092206012,0.8471497219341303,0.7841345062056072,0.8712842693896931,3,1.0,1.0,1.0
55,63,0.9914167538420502,0.8794937895931383,0.8366001926024539,0.543893035846361,0.9388150037630871,0.9794755036808561,7,0.9999999999999769,1.0,1.0
56,103,-0.48010810776220475,0.12702633257894663,11.384991308003581,0.8402597301793753,0.721497050353465,6.491414660816933e-06,4,1.0,1.0,0.0006489329249075872
57,80,1.969192511498116,1.4469616664989886,0.36689747005566115,1.6986020022866628e-143,1.0618747109033033e-41,1.0,41,1.7665460823781294e-141,1.1149684464484685e-39,1.0
58,25,2.29994868377415,0.7846887972120823,0.64959675077814,2.8776769215995865e-32,0.990686784033201,0.9999149309014966,14,2.7337930755196073e-30,1.0,1.0
59,50,1.6267211933417722,1.1943870369780167,1.0325565688782032,1.9165920725675434e-05,0.0831291275258152,0.40905361479734986,8,0.001551250021874838,0.9991885337892087,1.0
60,48,1.4048425000437157,0.7796509252336827,0.810201968706514,3.939320768517814e-17,0.9999991064916122,0.997558469309226,13,3.624175107036383e-15,1.0,1.0
61,47,1.0644231125919055,0.7693326859564488,0.5865044039632158,0.34002843787608583,0.9209059978126589,0.9902203922477326,4,0.9999999950093141,1.0,1.0
62,61,1.4829175451919325,1.3245238055935515,0.6074133934693613,2.5618581899464593e-33,6.352767920633719e-18,1.0,19,2.4593838623486008e-31,6.416295599840054e-16,1.0
63,55,0.45302482381258036,30.21412214847486,-9.830081326697117,0.4910537941387379,0.8558763673524848,0.3108434119930458,3,0.9999999999995212,1.0,0.9999999999999972
64,86,1.0776256759040672,3.4093351213901557,1.1622877002808236,0.37266195765794574,2.1415132716591174e-18,0.2880214965602226,12,0.9999999992280786,2.1843435370922995e-16,0.9999999999999625
65,18,0.8086567697369687,0.8130270001202015,0.7236402860078729,0.8575703440388166,0.8522742273788759,0.913457414051459,2,1.0,1.0,1.0
66,107,0.5285059195787127,0.39894015983767783,1.5815023904658891,0.9999513145189233,0.9999999594528209,9.954438919865337e-08,9,1.0,1.0,1.0053933268346998e-05
67,3,1.187764803197526,0.9395439952401207,0.6693824012496905,0.04041333546970472,0.7371974687114422,0.9951196061041334,3,0.9225144639074471,1.0,1.0
68,51,2.18957042784627,0.947541260749008,0.9637283832059145,1.5732269981492044e-69,0.8208397622518581,0.7368893015082876,23,1.5417624581862202e-67,1.0,1.0
69,32,0.9225767046051621,1.0584348143028002,0.8650862343239566,0.9650795582399433,0.06298267586964755,0.9997466722729025,11,1.0,0.995765519685479,1.0
70,91,1.4585403072691014,0.7444771795812308,0.6607457144357812,3.8613383476683315e-15,0.9999992148017613,0.9999992358289636,10,3.4752045129009007e-13,1.0,1.0
71,59,1.1778976329035953,0.7917486577187014,0.7463167939897919,0.0692456478988467,0.955893575495309,0.9804003722270322,9,0.9855032896776493,1.0,1.0
72,69,1.4525997964070219,0.9544765533603878,0.4499066447184608,0.0036534260719359806,0.6112163077100065,0.9992414319191666,7,0.2288468179088475,1.0,1.0
73,31,0.9716373449550881,0.9423194240263953,1.018376945538904,0.7672999834661012,0.9326133451586663,0.316538240317462,12,1.0,1.0,0.999999999999998
74,66,1.1150421654488727,0.92199567731122,0.6916788832451598,0.0697905025863894,0.8468676812566822,0.9994251719689198,4,0.9855032896776493,1.0,1.0
75,42,1.6308018808777862,1.028371884430024,0.34709827026793955,5.09946530321747e-17,0.3364273499410021,1.0,13,4.640513425927886e-15,0.9999999999999872,1.0
76,84,2.3586753960480844,0.8830503224965891,0.2150221214676937,6.824200074524166e-19,0.8446736423039171,0.9999999504590015,9,6.414748070052716e-17,1.0,1.0
77,44,0.9796854862316047,0.9522510463207113,0.8083654449829678,0.6668472310314093,0.8422024645689046,0.9998163323893939,12,1.0,1.0,1.0
78,79,1.9245373334425637,1.0774016196359038,0.7354874538889303,2.522258220457628e-06,0.2663177019410775,0.9818243684962125,6,0.0002168909562716551,0.9999999999825963,1.0
79,81,0.9401497312724876,0.7991264270858393,0.6423141531819024,0.7343684828560995,0.973638063411617,0.9988036460878462,4,1.0,1.0,1.0
80,22,0.4051715486131403,1.6946561546453236,0.9255714006747299,1.0,3.466690585818232e-24,0.9171259579587603,11,1.0,3.570691303392779e-22,1.0
81,67,1.0343176955832698,2.2535623128255784,0.33399427727674974,0.44974611296771005,1.3618834530868963e-06,0.9977375959005399,6,0.9999999999956684,0.0001307323543042128,1.0
82,52,1.5884996004114018,1.187150881042764,0.49929558662874934,0.0025349952067456323,0.14834678097584955,0.993107720648266,4,0.1691363720685433,0.9999977546390036,1.0
83,53,1.101594841229211,1.7894276002343716,0.4769385532196078,0.29597275782369,0.0005746315241918714,0.9920110933160853,4,0.9999999659682913,0.05150740368114759,1.0
84,104,3.3072972104801215,1.0083579241625018,0.16257274931328503,2.2828448732905798e-06,0.4890062107223707,0.9920455620218784,4,0.00019858800946196184,1.0,1.0
85,1,0.8994999524961895,0.7719546738836789,0.43493831909377756,0.6730114964859208,0.820667104393157,0.9493668961768729,2,1.0,1.0,1.0
86,36,0.6960941776430917,0.6304747069921787,2.30688192447657,0.9835976433658028,0.995304132656177,1.675677046267306e-13,8,1.0,1.0,1.75946089856534e-11
87,108,1.4016206401792026,0.7849672862440915,1.0044288263589016,0.00044542039584757263,0.9813531677335706,0.4812838698675649,4,0.033292674306906175,1.0,1.0
88,49,3.6481902048311072,0.5293050195936395,0.1343075751703698,0.00036449696398623574,0.7813524036083569,0.9176499145738013,4,0.02768104223853133,1.0,1.0
89,89,2.386818551081146,0.46580589667421934,0.05877242232177644,9.050889371019139e-08,0.9898175272804406,0.9999437260792572,7,8.055259460968098e-06,1.0,1.0
90,34,1.1716825001619422,1.157973002116639,0.725164244626108,0.016716639052057836,0.02196209140489887,0.9994682529933363,6,0.671304659140403,0.8518883589893878,1.0
91,92,2.242967233749724,0.7036837738532108,0.15235671117287092,0.00015043859148642052,0.8689235625472173,0.9972378865920326,4,0.011963849847547031,1.0,1.0
92,57,0.8864248817442659,0.5645418958268372,2.2131735995997346,0.6350604902314749,0.9037788972382585,0.0012164135971255998,4,0.9999999999999999,1.0,0.11136076948697968
93,85,0.33645953898027436,1.0877463775491072,2.3477050132161468,0.9878806248056913,0.38043331162226934,1.1048011804739024e-05,7,1.0,0.9999999999999999,0.0010931612740266417
94,93,0.2690536528408316,2.0083911455488015,0.8397605186422391,0.9999997909996574,3.487654292208665e-11,0.8968551805059265,8,1.0,3.4179012005830696e-09,1.0
95,14,1.353343327937254,1.4368381784792585,0.6337213603176961,0.02203991083380224,0.007926984890517899,0.9816638826611014,4,0.7651051228576687,0.503590556028606,1.0
96,75,2.6286446754056287,0.7850576662640589,0.2882516086949956,4.549824702328579e-06,0.826327481253933,0.9960815605833689,4,0.0003775650137672325,1.0,1.0
97,56,1.2447870597568296,0.7950701533993024,0.49660497942703286,0.16506010260398246,0.804532546662079,0.9399912505431963,2,0.99994119942581,1.0,1.0
98,40,1.0203274620448803,0.7657665214277724,0.8925902828617387,0.44825041129118914,0.9207994708697963,0.7514667969176249,4,0.9999999999956684,1.0,1.0
99,110,0.6462960459160179,0.49631646743077235,1.7975140786374941,0.9427924750101168,0.9854307561797628,0.0005789174683080504,5,1.0,1.0,0.055170074178706695
100,98,0.9195235038553501,0.9603161644520177,1.2051099328924244,0.7632316754344335,0.6379253902824269,0.03749236357609742,7,1.0,1.0,0.9713853066086996
101,46,1.695232400934034,1.2991252282743067,0.6722222879938314,1.4238219347759344e-07,0.004567393150267751,0.9977446528918248,6,1.2529555422491404e-05,0.3346414061712071,1.0
102,13,1.148607529469775,0.9353834297800655,0.5218725438736577,0.22162414166686994,0.6386603100965162,0.9532093336055336,2,0.9999975355757635,1.0,1.0
103,94,0.8627570532037533,0.5585419062525112,1.4321077247104212,0.7871239670155366,0.993363812640428,0.008371765991243237,6,1.0,1.0,0.5462725393057509
104,5,0.9471710355610001,0.7717096140193883,0.6124890879836314,0.6095130066419492,0.8503168461884685,0.9292074221804014,2,0.9999999999999997,1.0,1.0
105,11,1.145783790668377,0.9629184259220146,0.6908368699214226,0.2199034190665335,0.5842659561906683,0.9109273380633962,2,0.9999975355757635,1.0,1.0
106,4,0.9701505409521191,0.8126563773456664,0.6647615528878281,0.5869062872176867,0.871237493942573,0.9455856087258867,2,0.9999999999999989,1.0,1.0
107,12,0.8140317168948934,0.9245993051866116,0.7582538783695216,0.8861786358656617,0.7205114214677405,0.9205842559631109,2,1.0,1.0,1.0
108,72,3.5371003851465774,0.8500979897592355,0.30629722851795094,5.607841498709977e-06,0.6621752178311284,0.9660054896285177,4,0.0004597385800801481,1.0,1.0
109,65,1.1135641954063902,0.922323038882424,0.6919425063155874,0.07298477935362686,0.8470026003929688,0.9994676086331781,4,0.9866969477161963,1.0,1.0
110,83,1.111911227446946,0.8587601188625208,0.767958138980922,0.03544742844358584,0.966803580899313,0.7927866208579498,6,0.8970723865382938,1.0,1.0
111,70,0.9111727792538273,0.9973585966434,0.5087385991810289,0.6333674638856626,0.5040693628307615,0.9530210348415913,3,0.9999999999999999,1.0,1.0
112,23,1.1341293373474286,1.0805034382017757,0.5074765053873103,0.16066868044735771,0.2731292714545178,0.9813687669182501,4,0.9999344853238527,0.9999999999886469,1.0
