,gene,functional_group
592,HNRNPH1,0
593,AGRN,16
594,DNAJC4,21
595,DNMT3A,6
596,LAMTOR1,11
597,CALHM6,30
598,EME2,8
599,DPM1,45
600,KIAA0556,17
601,CNOT4,11
602,NDUFS8,4
603,MRPS25,19
604,SETD1B,8
605,PRELID1,11
606,HOXB4,9
607,CYLD,1
608,PHF12,36
609,BRD8,4
610,FANCL,3
611,IRF1,6
612,THOC6,42
613,HNRNPA1,30
614,GATAD2B,36
615,PMVK,0
616,SGF29,33
617,MRPL21,19
618,PUDP,20
619,GPS2,24
620,MBD2,4
621,GCSH,4
622,TADA3,33
623,STAG2,11
624,ALG5,22
625,MOCS3,45
626,PPP1R15B,30
627,FOXS1,9
628,ZNF93,7
629,ZNF512B,15
630,SLAMF7,12
631,CCDC6,26
632,DLG4,15
633,MRPS9,2
634,ATIC,1
635,INTS14,36
636,ZNF703,1
637,BRD1,9
638,PDAP1,29
639,DARS,1
640,NAPB,5
641,PCNX4,48
642,TPT1,9
643,CKAP4,15
644,SBNO1,25
645,JUNB,22
646,TAF11,2
647,SBF1,21
648,PPP1R1A,28
649,ATM,5
650,ZNF653,18
651,HEY1,9
652,LTB4R,12
653,CSDE1,11
654,SUGP1,2
655,PTP4A1,48
656,BLZF1,18
657,HIP1R,23
658,UNCX,4
659,WDR92,10
660,SNAP23,16
661,UBR5,3
662,RASAL3,23
663,PNPT1,34
664,RPRD2,47
665,DOLPP1,39
666,RNF181,46
667,APOBEC3B,13
668,FHL1,44
669,EIF4B,30
670,DLD,4
671,PUS3,6
672,SRSF11,5
673,COMMD10,52
674,XPO6,16
675,ZHX1-C8orf76,15
676,FBXO3,32
677,CLUH,8
678,TRUB1,14
679,SP2,35
680,RTTN,26
681,PIK3R4,5
682,KLF2,6
683,CTDSPL2,2
684,DCP2,11
685,GPATCH8,12
686,MRPS17,19
687,CHMP4A,5
688,MRPL2,2
689,RRAGA,17
690,ANKZF1,28
691,ZCCHC24,0
692,SEMA4C,21
693,AKR1C1,18
694,MAP3K13,39
695,ABHD12,18
696,ATP5F1B,8
697,METAP2,10
698,STYXL1,52
699,EI24,28
700,ZNF18,37
701,TMED4,23
702,UBR1,11
703,KLF15,31
704,AIP,28
705,NKTR,11
706,HSDL2,5
707,MAPKAP1,16
708,SLC17A5,7
709,INTS12,1
710,DET1,7
711,DMRTA2,20
712,FLAD1,26
713,TMED2,30
714,EFHC1,14
715,ZMYND8,1
716,NRBP1,21
717,HPRT1,32
718,FAM220A,29
719,NDRG1,12
720,MED13,33
721,COL4A3BP,11
722,CYB561D2,16
723,STK11,40
724,PUM1,20
725,KCNA2,32
726,UBE2N,3
727,NDOR1,27
728,ZBTB48,20
729,CSNK2A1,3
730,TRIM14,38
731,HSPH1,27
732,TARDBP,4
733,GABARAPL1,31
734,CD2BP2,8
735,IST1,13
736,CREB3L2,0
737,FDX2,25
738,LAT2,5
739,XBP1,17
740,MTG2,21
741,FBXW7,17
742,ZNF280D,33
743,ZNF776,10
744,AP1S2,7
745,COA5,19
746,GDAP2,40
747,BCS1L,34
748,DVL1,9
749,CCR6,2
750,MAX,13
751,PRR12,1
752,PLEKHH2,3
753,RDH13,8
754,MMGT1,8
755,CCR4,15
756,INPP5F,1
757,ATP5PO,19
758,BCKDHA,40
759,ILVBL,13
760,DHX9,25
761,TMEM86A,5
762,TMEM87B,37
763,ZDHHC12,0
764,MYRFL,8
765,SIN3A,22
766,INTS13,36
767,UBAP2L,12
768,MFHAS1,12
769,BRMS1,8
770,AKAP10,13
771,DOHH,42
772,TIMM8B,2
773,TRMT61A,26
774,FGFR1OP,14
775,ZNF579,44
776,DBF4,32
777,UQCRC1,10
778,BTAF1,35
779,E2F1,32
780,FBXO2,10
781,RC3H1,29
782,MANEA,18
783,C11orf68,36
784,KTI12,45
785,PRRC2A,42
786,LIN37,1
787,GABPB1,40
788,FNBP4,3
789,EIF3H,30
790,PIP,23
791,ATP5PD,8
792,PTPN2,5
793,IPO11,5
794,EBF3,17
795,TSC1,16
796,UCHL5,8
797,LOXL4,5
798,NACC2,5
799,CLDN7,1
800,RB1CC1,12
801,DUSP12,0
802,DIS3,0
803,HNRNPA2B1,12
804,PKN1,7
805,NPC1,43
806,SETDB1,40
807,FADS1,21
808,LETM1,17
809,SOCS5,14
810,SNTB1,24
811,RAD51B,3
812,SEC62,10
813,ZC3H3,1
814,TBC1D14,31
815,OS9,29
816,OSR1,24
817,ACSL6,14
818,PSIP1,27
819,TIAF1,35
820,ATXN1L,37
821,BRD9,3
822,METRN,9
823,RNF7,38
824,UPF2,11
825,EXOC7,0
826,NSUN4,2
827,ZRANB2,6
828,MMAB,27
829,RAD23A,41
830,ZNF649,5
831,MIPEP,2
832,PARD6A,9
833,AVPR2,23
834,CCNA2,2
835,CMTM7,13
836,GRAP,29
837,IRF2,36
838,UBA5,51
839,TMEM245,37
840,PPDPF,7
841,COL5A1,11
842,SAP130,9
843,TIGAR,15
844,PGM1,3
845,DEPDC5,16
846,EIF4G1,29
847,SMG7,11
848,CNOT11,42
849,SSR2,41
850,LRR1,25
851,ITPK1,4
852,SSR3,39
853,TNNC1,3
854,ZWINT,4
855,RAB33A,13
856,ZNF92,49
857,IL23R,18
858,HSD11B2,18
859,NEMP2,12
860,RIPOR1,4
861,REST,3
862,GPI,29
863,NSD2,10
864,VPS29,30
865,UFM1,51
866,CAMK1,8
867,VHL,4
868,BRPF1,4
869,CUL4B,48
870,UQCRQ,34
871,THAP5,39
872,OAF,24
873,DYNC2H1,18
874,CUX1,7
875,MMP9,7
876,NAA25,10
877,SPOP,9
878,ATXN10,4
879,SLTM,12
880,CAVIN2,14
881,RASGRP1,12
882,AMER1,31
883,IPO9,13
884,TMEM184B,14
885,ADAT3,26
886,MYO9A,41
887,DOP1A,35
888,YY1,6
889,RAC2,21
890,AAR2,27
891,TRAF3,4
892,HELT,22
893,HDAC7,4
894,TOP2B,24
895,ENO3,6
896,HSPA8,11
897,UXS1,0
898,BMI1,6
899,EXOC1,10
900,ALG13,38
901,CDADC1,13
902,DOCK2,23
903,TOR1A,29
904,MEMO1,5
905,SH3D21,14
906,PPHLN1,24
907,NMRAL1,37
908,CARMIL2,17
909,DCAF16,7
910,SLC35E3,8
911,IFNLR1,24
912,MAP3K5,27
913,IFI30,12
914,HEATR5B,2
915,CHTF18,3
916,TAF5L,33
917,TWF1,14
918,PAXIP1,30
919,RPL29,25
920,SYVN1,17
921,TIPARP,47
922,CYB5R4,43
923,NFKB1,28
924,PMM2,26
925,DOP1B,31
926,HDAC3,25
927,SMAD7,48
928,ACTR2,16
929,NFRKB,41
930,DCTPP1,18
931,CCNQ,12
932,SZRD1,22
933,ELF4,29
934,GRWD1,10
935,STK35,5
936,UBA2,3
937,PRCP,21
938,BATF,40
939,ADAM9,11
940,LSM10,1
941,TFDP1,1
942,KIFAP3,34
943,NUFIP2,22
944,VWF,5
945,KDM5C,36
946,IMPA2,15
947,CFAP298,5
948,NSD1,9
949,TCEAL3,0
950,COX20,24
951,RCN1,9
952,LYRM2,23
953,WDR59,40
954,SRF,14
955,HIVEP3,1
956,DDA1,12
957,SYNCRIP,8
958,SRD5A1,6
959,SURF1,23
960,ENDOG,7
961,ZNHIT3,10
962,MRPL43,19
963,DNAJC2,0
964,ZBTB1,9
965,ELP2,45
966,NEK1,15
967,CXorf40A,7
968,CREBBP,30
969,NPRL3,25
970,EMC4,11
971,RABL3,4
972,FAM161A,25
973,SS18L1,6
974,DDRGK1,51
975,TSPAN9,10
976,POLRMT,2
977,CEP89,3
978,GGACT,9
979,ISCA1,22
980,MIEN1,24
981,UFC1,41
982,ELOC,1
983,STK19,18
984,PSMB9,33
985,COL1A1,13
986,FANCE,3
987,ZAP70,16
988,MTA2,27
989,ZNF70,23
990,WASHC4,23
991,IWS1,24
992,KRCC1,7
993,NFATC2IP,12
994,ATG9A,1
995,RCOR1,22
996,CMAS,10
997,EPC1,13
998,EFR3A,12
999,NLRX1,31
1000,FH,4
1001,STUB1,1
1002,LSR,36
1003,ICK,3
1004,SAAL1,4
1005,ZNF613,44
1006,TAF13,2
1007,RPS25,26
1008,ZNF589,8
1009,SAP30,8
1010,ASXL1,24
1011,ZSCAN2,12
1012,ZNRF2,36
1013,PPP1R2,24
1014,LUZP6,12
1015,TRAPPC3,14
1016,ZFAT,29
1017,ZFYVE21,35
1018,MRPS27,19
1019,TIA1,7
1020,STOM,46
1021,SMARCA5,0
1022,RNF20,4
1023,SLC33A1,22
1024,PARP14,7
1025,SESTD1,20
1026,MAGEH1,23
1027,UHRF1,5
1028,LARS2,2
1029,CCAR1,3
1030,REXO1,25
1031,CHRAC1,5
1032,MOB1A,23
1033,DEK,26
1034,PDPK1,16
1035,FANCD2,3
1036,FKBP2,15
1037,ISG15,14
1038,LRRC8B,2
1039,CDC34,8
1040,PCNX3,11
1041,GTF2H5,38
1042,MED15,0
1043,DENR,13
1044,ZMAT1,5
1045,SMG8,11
1046,ZBTB8OS,31
1047,ZCRB1,26
1048,TEDC2,10
1049,LMTK2,2
1050,SUPT4H1,24
