,cluster,rest_enrich,stim8hr_enrich,stim48hr_enrich,rest_p,stim8hr_p,stim48hr_p,cluster_gene_size,rest_fdr,stim8hr_fdr,stim48hr_fdr
23,76,0.06318319744137042,0.09096295932801313,0.8459772247580718,0.009900990099009901,0.00040004000400040005,0.0,78,0.31484663304846683,0.01941493664146894,0.0
24,102,0.008755633567106241,-0.0590421336588359,0.7122368062366576,0.4519451945194519,0.7404740474047404,0.0,10,0.9999337503113374,0.9994202330074721,0.0
25,109,-0.04672078640828764,0.0012297366902829351,0.8185045814065398,0.6456645664566457,0.49344934493449344,0.0,15,0.9999475953762901,0.9994202330074721,0.0
26,9,0.2501844283700256,0.4311182948730599,0.3001924161191505,0.0,0.0,0.0,34,0.0,0.0,0.0
27,90,0.0448687724011633,0.2799161868419648,0.9285203646192585,0.3582358235823582,0.004000400040004,0.0,25,0.9999284182441683,0.1412866165206135,0.0
28,38,0.19202404594081815,0.3041586553809044,0.47280562633631046,0.021002100210021003,0.0007000700070007,0.0,6,0.5242688332370439,0.03170113821215501,0.0
29,6,0.39784030147942023,0.40628945751366136,0.11768765085208943,0.0,0.0,0.20932093209320932,6,0.0,0.0,0.9997538709117749
30,96,0.1695640080160168,0.5658086478079044,0.09378440198064115,0.0,0.0,0.0,83,0.0,0.0,0.0
31,73,-0.11950526136654857,0.19447180903431713,0.4790100255972726,0.5953595359535954,0.32083208320832085,0.07200720072007201,3,0.9999475953762901,0.9993579540960682,0.9566615408516866
32,7,0.2472228630681432,0.33715711994407294,-0.05657026142155092,0.0,0.0,0.8765876587658766,10,0.0,0.0,0.9999999999230206
33,101,0.7495493044082927,0.138657133305525,-0.10832144481340032,0.0,0.0,1.0,58,0.0,0.0,1.0
34,29,0.6239374541227748,0.05703743537269077,-0.015066611985084239,0.0,0.36343634363436345,0.5191519151915192,4,0.0,0.9994202330074721,0.9999999766552421
35,26,0.8382998303533051,0.023588239503881402,-0.02751376461645673,0.0,0.3797379737973797,0.6380638063806381,23,0.0,0.9994202330074721,0.9999999844548499
36,20,0.3591507437475647,0.1141876825596499,0.2540781995898089,0.012201220122012201,0.2751275127512751,0.07540754075407541,3,0.3572153841534937,0.9988372296685032,0.9598242279086688
37,105,0.838987498750801,0.111255806304652,-0.10127165666462645,0.0,0.0009000900090009,0.9937993799379938,36,0.0,0.039712240537710254,0.9999999999908341
38,87,0.5720051196109492,0.25717435293525387,-0.036623159512040405,0.0,0.0,0.8915891589158916,32,0.0,0.0,0.9999999999230206
39,27,0.8220983950545738,0.04781862271334031,-0.06438297019514287,0.0,0.0,1.0,215,0.0,0.0,1.0
40,45,0.5130601400912703,-0.025649432523256646,-0.07431480432913963,0.003000300030003,0.5191519151915192,0.6031603160316031,8,0.11856323732430137,0.9994202330074721,0.9999999844548499
