,gene_name,mean_expr,frac_expr
ENSG00000117298,ECE1,12.243518742877491,0.631505028844121
ENSG00000163297,ANTXR2,12.323071006279307,0.6270500468150654
ENSG00000186810,CXCR3,12.734193774401996,0.6154142378205322
ENSG00000100385,IL2RB,12.606633094883126,0.6142061071007883
ENSG00000168899,VAMP5,12.215529969680516,0.6140550907608203
ENSG00000135046,ANXA1,12.90059756272338,0.6139569301398411
ENSG00000171867,PRNP,12.230404285568142,0.6123410553021837
ENSG00000168003,SLC3A2,12.232746656173129,0.596099247938627
ENSG00000183813,CCR4,13.143296187326067,0.5865776677036455
ENSG00000080815,PSEN1,12.020675097364325,0.5831798000543659
ENSG00000168385,SEPTIN2,12.054268803523822,0.5776148479265456
ENSG00000056586,RC3H2,12.00655640815235,0.5742471835452596
