gene_name,direct_effect,lm_coef,tf,condition
LY9,-1.4444923932592344,-0.013928919487297195,CREBBP,Stim48hr
MAK16,-0.2297607359302888,,CREBBP,Stim48hr
MAP2K2,0.1478310166581832,0.1291619665282393,CREBBP,Stim48hr
MARK2,0.2054795133224134,-0.011836078202603613,CREBBP,Stim48hr
NME1,-0.2421749802364242,0.13110518088008735,CREBBP,Stim48hr
PPP1R15B,-0.156568732874034,0.015230833745589279,CREBBP,Stim48hr
PTPN4,0.4588839060289939,-0.027132439135882678,CREBBP,Stim48hr
QRICH1,0.1342833858242892,0.031995292076806896,CREBBP,Stim48hr
RNF167,-0.1991997862080763,0.017906136826192128,CREBBP,Stim48hr
SDHAF3,-0.2157683226156052,0.03303134713075334,CREBBP,Stim48hr
SH3GL1,-0.220299628590127,0.06067505299961993,CREBBP,Stim48hr
SLC25A11,-0.1233672075053804,-0.09626453958064318,CREBBP,Stim48hr
SNRPB2,-0.2277420628339161,0.003986553041515728,CREBBP,Stim48hr
SNRPE,-0.1185693468908056,,CREBBP,Stim48hr
STX4,0.2153635095330842,0.0025736930389248514,CREBBP,Stim48hr
TPP2,-0.1353370641286355,0.012936119917062332,CREBBP,Stim48hr
TSEN34,0.4136875059114093,0.144089052413759,CREBBP,Stim48hr
TUFM,-0.1390985400849157,0.05547924161921271,CREBBP,Stim48hr
ZNF3,0.359387781941524,0.07526265388365745,CREBBP,Stim48hr
ARHGAP9,-0.610594525504506,0.01277797661346425,CREBBP,Rest
ARL4A,-0.475244093974324,0.15087821940676988,CREBBP,Rest
C1QTNF6,-0.8063564210734878,-0.047968678168534666,CREBBP,Rest
CD55,0.4284820333117524,-0.11597633411946322,CREBBP,Rest
COQ9,0.1804777692708532,0.05965084557492082,CREBBP,Rest
EIF2A,0.2158233973681873,0.004726105900763903,CREBBP,Rest
EIF4G3,0.3021144933339292,0.03163384795884516,CREBBP,Rest
FBXW7,-0.1898597189209333,0.035929931673476564,CREBBP,Rest
GPR132,-0.2894086265416251,0.03318732935639789,CREBBP,Rest
HNRNPH3,0.2121182258758693,-0.06980812256581857,CREBBP,Rest
MED1,0.1907390949190202,-0.0063679935668595825,CREBBP,Rest
PIK3R2,0.2950331877384246,0.0010742667215486478,CREBBP,Rest
RNF167,-0.3829977903554663,-0.00142283608244998,CREBBP,Rest
SDHAF3,0.2621871722811712,-0.012240884205739818,CREBBP,Rest
SH2D2A,-0.3775259674940346,-0.026091614545460336,CREBBP,Rest
SH3GL1,-0.2222852493626665,0.05597888236898845,CREBBP,Rest
STK17B,-0.2218529066939066,0.025123841874862916,CREBBP,Rest
SUCLA2,0.424259242077159,0.022884763910600715,CREBBP,Rest
TBL1X,-0.4605055028599625,-0.01572040764289038,CREBBP,Rest
TUBGCP5,0.2775689968544039,,CREBBP,Rest
TUFM,0.1886096497900162,0.02209031122332929,CREBBP,Rest
VIPAS39,0.415036474174248,0.016706003566111807,CREBBP,Rest
WDR77,0.3437439443714339,0.05555508507470589,CREBBP,Rest
ZC3H10,0.2531061431425337,0.21284827627086259,CREBBP,Rest
BAD,0.9840145490888088,-0.029468128439181257,CXXC1,Stim8hr
NME1,0.1427121032834517,0.01891495829538916,CXXC1,Stim8hr
NME1,0.583906804405393,0.08325762627025472,CXXC1,Stim48hr
STRBP,-0.6388849276467173,,CXXC1,Stim48hr
DDX17,0.3685251258281391,-0.06403894952541772,CXXC1,Rest
GLO1,-0.2777949111477178,0.03772675919371034,FOSL2,Stim8hr
KCTD20,0.2045704678295761,0.03341658917147799,FOSL2,Stim8hr
MPRIP,-0.1827932336486841,0.03547186947734279,FOSL2,Stim8hr
RNF7,-0.1402624873885036,-0.028142161252752672,FOSL2,Stim8hr
VIM,0.4268309846308211,0.01854803152876537,FOSL2,Stim8hr
AMIGO2,0.433335866104403,0.016314666934088087,FOSL2,Stim48hr
CD68,-0.7037907514518896,-0.0175137241115149,FOSL2,Stim48hr
CSGALNACT2,-0.375450401215789,-0.033160852728906426,FOSL2,Stim48hr
GADD45A,-0.517858555282085,0.05010298152437044,FOSL2,Stim48hr
GBP3,0.4618473413570921,-0.08547183153434862,FOSL2,Stim48hr
GIPR,1.026104407717531,0.08897304998200502,FOSL2,Stim48hr
LCP2,0.1892699674875476,0.029857841098229504,FOSL2,Stim48hr
P4HA2,0.4891459255433309,0.11794812399506971,FOSL2,Stim48hr
POMP,0.1934144697079039,,FOSL2,Stim48hr
PRDM4,-0.2458491121963787,-0.040762569249064545,FOSL2,Stim48hr
PSD4,0.1716326772815662,0.07609682364558851,FOSL2,Stim48hr
SLC25A45,0.5248401282886936,0.08542361493341845,FOSL2,Stim48hr
SURF4,-0.2427946480996559,,FOSL2,Stim48hr
XRN1,0.2085217526916228,0.06895001774950928,FOSL2,Stim48hr
CSGALNACT2,-0.3985325472306745,-0.013110948541802996,FOSL2,Rest
SLC25A45,0.5063694704265431,0.05723372827819722,FOSL2,Rest
SLC38A1,-0.133531710679875,0.04063551061457946,FOSL2,Rest
AAGAB,-0.2578382500935244,-0.0016701665385534018,GATA3,Stim8hr
ANXA4,-0.4202749403296844,-0.05533026805559606,GATA3,Stim8hr
AP2A2,-0.1857207110794299,0.10368492140871337,GATA3,Stim8hr
AP3M2,-0.2626837816718149,-0.036822055841179424,GATA3,Stim8hr
APOBR,-0.9000719399797679,-0.011834609043422095,GATA3,Stim8hr
ATP2A3,-0.385477665201212,-0.021847543082682903,GATA3,Stim8hr
BIRC3,-0.3749653111108872,0.029501885279221346,GATA3,Stim8hr
BST2,-0.3594312225583541,-0.029516785835648145,GATA3,Stim8hr
CABIN1,-0.3225223776432994,-0.05658083488740279,GATA3,Stim8hr
CHST7,0.6019108022114432,0.08532363280310748,GATA3,Stim8hr
CLU,1.1576397592047312,-0.009396622486761335,GATA3,Stim8hr
CRIP1,-0.5077347348131266,-0.029880920697029988,GATA3,Stim8hr
DDX39A,-0.1610920852617103,-0.017686005560930487,GATA3,Stim8hr
DHCR24,-0.4775272498504733,0.07155607134407435,GATA3,Stim8hr
ECE1,0.343800357131711,0.0014302621924075038,GATA3,Stim8hr
ELOVL5,-0.1773801134172816,0.030523732275307327,GATA3,Stim8hr
ERMP1,0.2937234599151934,0.05079721809224019,GATA3,Stim8hr
FBXO6,-0.4754201196625593,-0.010099527432746863,GATA3,Stim8hr
GALM,0.5680955241024396,0.05842913015740146,GATA3,Stim8hr
GIMAP6,-0.5532621870079697,0.03304756689504348,GATA3,Stim8hr
GLG1,0.2182550618737755,0.10102586293118546,GATA3,Stim8hr
GTF2I,-0.2368582007164137,-0.059611439895312035,GATA3,Stim8hr
GTF2IRD1,-2.029931793908032,0.0248262691481553,GATA3,Stim8hr
HNRNPDL,0.1271359009171069,0.06266963568047357,GATA3,Stim8hr
ICE2,0.2141034207121029,0.05454909908940378,GATA3,Stim8hr
IDH1,-0.5480583293562739,0.043553869974913166,GATA3,Stim8hr
IL13,-4.779840016928016,0.0067654567646885135,GATA3,Stim8hr
IL9R,-2.3346279978137727,-0.02022589819547059,GATA3,Stim8hr
ITGA4,0.4484967703180555,0.07703388304892451,GATA3,Stim8hr
KLC2,0.1795643765140508,-0.05502662784936535,GATA3,Stim8hr
LAIR2,-1.987654289271328,-0.025305305286393937,GATA3,Stim8hr
MLLT3,0.3819050372208159,0.0014923701862448527,GATA3,Stim8hr
MTHFD2,-0.1627285652582611,0.001980582542117859,GATA3,Stim8hr
MTRFR,0.2225441529233697,0.00717540755342376,GATA3,Stim8hr
MYO1G,0.3311836884631582,0.003961051067628474,GATA3,Stim8hr
NABP1,0.4361496887664546,0.012740491247653238,GATA3,Stim8hr
NEMF,0.1383373514684153,0.014435845121952114,GATA3,Stim8hr
NIBAN1,0.4467228109352004,0.06176126779521797,GATA3,Stim8hr
