symbol	globalScore	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
GPR18	0.02663961740997693	No data	1	0	1	1	0	0.2900300000000001	No data	0.825171910814753	-0.015507592281687466	0	No data	No data	0	0.75	0.5
AAGAB	0.026157953721813492	No data	0	0	0	0	0	0.2857149999999997	No data	0.15909564492602635	-0.022060910089015118	0	No data	No data	No data	-1	-1
LRRC56	0.025766805842562194	No data	0	0	0	0	0	0	No data	0.3949781204417586	-0.6660532723281481	0	No data	No data	No data	0.5	0
CX3CL1	0.02838907263810265	0.5	1	1	0	0	0	0	No data	-0.4398833090227131	0	0	No data	No data	0	-1	0
CEP97	0.025619408631767752	No data	0	0	0	0	0	0	No data	-0.12356740987705772	-0.56935630217921	0	No data	No data	0	-1	-1
APOLD1	0.025616331718804154	No data	1	0	0	0	0	0.375	No data	0.7825588664305063	0	0	No data	No data	0	0.5	0
ICAM4	0.025616331718804154	No data	1	1	0	0	0	0	No data	0.7490102104605125	0	0	No data	No data	0	0.75	0.5
IL36A	0.025616331718804154	No data	0	1	0	0	0	0	No data	0.4495728276724318	No data	0	No data	No data	0	0.75	0.5
GPR137	0.02534244518359819	No data	0	0	0	0	0	0.7600999999999999	No data	-0.5798082933944572	0	0	No data	No data	0	0.5	-1
RNF123	0.02506630137465134	No data	0	0	0	0	0	0.69178	No data	-0.5908522608876849	-0.6079308829258029	0	No data	No data	0	0.5	-1
IKZF4	0.050664238194900346	No data	0	0	0	0	0	0.7350450000000002	No data	-0.6561783704938529	-0.21351584296017412	0	No data	No data	0	-1	-1
PPP1R14B	0.024857321919742045	No data	0	0	0	0	0	0	No data	0.652844342571369	No data	-1	No data	No data	-0.030612499999999977	-1	-1
MAPK8	0.02481354074868789	0.5	0	0	1	1	1	0.859485	1	-0.8801833715357366	-0.8841094031117802	0	No data	No data	-0.7716625	-1	-1
NFKB1	0.02570830035654669	0.75	0	0	1	1	0	0.3550049999999999	No data	-0.9505105230256303	-0.9126578339030039	0	-1	No data	0	-1	-1
LMNTD2	0.02445734806441963	No data	0	0	0	0	0	0	No data	0.7840175036465931	No data	0	No data	No data	No data	0.5	0
POLB	0.0739500832756029	No data	0	0	1	1	0	0.8208950000000002	No data	-0.1286726401333611	-0.8994348746663833	0	No data	No data	0	0.5	-1
PRSS55	0.024124577755721077	No data	1	0	0	0	0	0	No data	0.9012294227964159	-0.7968271954601216	0	No data	No data	0	1	1
CFL1	0.023882074125979973	No data	1	0	0	0	0	0	No data	-0.23869556157532823	-0.833867752526374	0	No data	No data	-0.5180724999999999	-1	-1
CORO2A	0.023771646532924056	No data	1	0	0	0	0	0.25714499999999985	No data	0.11617003542404669	No data	0	No data	No data	0	0.5	0
P4HA2	0.023628914613694173	No data	0	0	0	0	0	0.5591000000000002	No data	-0.30954365492811	No data	0	No data	No data	0	-1	-1
LUC7L	0.023153090859359144	No data	0	0	0	0	0	0.8517499999999998	No data	-0.5570952281725359	-0.8295682519402464	0	No data	No data	-0.40027000000000007	-1	-1
ICAM5	0.023109757275015283	No data	0	0	0	0	0	0.24242500000000006	No data	-0.4425922067097312	No data	0	No data	No data	0	1	0.5
C8orf48	0.02197976666940244	No data	0	0	0	0	0	0	No data	0.7190039591581578	No data	0	No data	No data	No data	0.5	0
RAF1	0.03746507113537017	1	1	0	1	1	1	0.8842599999999997	0	-0.6851427380704314	-0.9802558416521034	0	-1	-1	0	-1	-1
INPP1	0.021830202682671173	No data	0	0	0	0	0	0.03509000000000029	No data	0.42373411127318183	0	0	No data	No data	0	-1	-1
SLC6A4	0.021821254382715746	1	0	0	1	1	0	0.6269849999999998	1	-0.591373202750573	-0.9473682708582948	0	-1	No data	0	0.75	0.5
CYP4F2	0.02157823891913224	No data	0	0	0	1	0	0.019230000000000302	No data	0.5204209210252135	-0.7386382388412627	0	No data	No data	-0.6923075000000001	0.5	0.5
URAD	0.02146761590342264	No data	0	0	0	0	0	No data	No data	0.9128985205251094	No data	0	No data	No data	0	1	0.5
TNFSF14	0.02140132736960369	0.5	0	1	0	0	0	0	No data	-0.13825797041050214	0	0	No data	No data	0	0.75	0
PPIF	0.021209621076726394	No data	0	0	0	1	0	0.4686	No data	0.4994790581371118	-0.5727445319057586	0	No data	No data	-0.009662499999999952	-1	-1
CCDC30	0.020959704930124206	No data	No data	No data	0	0	0	0	No data	0.023025630339654102	No data	0	No data	No data	No data	0.5	0
NPIPB8	0.020946605482791397	No data	0	0	0	0	0	No data	No data	0.9468639299854136	No data	No data	No data	No data	-0.98264	1	0
IGF2	0.02086685614623715	0.5	0	1	0	0	0	0.19444500000000034	No data	0.27234840591789955	-0.9157697596430711	0	No data	No data	0	1	0
MUS81	0.020506848962030918	No data	0	0	1	1	0	0.07441000000000031	No data	0.09501979579078967	-0.963887173006436	0	No data	No data	No data	-1	-1
PYCARD	0.020506848962030918	No data	0	0	0	0	0	0	No data	0.9189414461346115	-0.20169378260672305	0	No data	No data	0	0.5	0
PRSS53	0.020360399506474825	No data	0	1	0	0	0	0.023510000000000274	No data	0.5094811419045635	-0.19040923792533082	0	No data	No data	0	0.5	0.5
ZNF397	0.020324245458697834	No data	1	0	0	0	0	0.1666649999999997	No data	-0.13158991456553448	No data	0	No data	No data	0	-1	-1
MAP3K11	0.020228342072863656	0.75	0	0	1	1	0	0.7343550000000001	0	-0.5231298187122317	-0.434041265341798	0	No data	No data	0	-1	-1
TFAP2E	0.02005947079024788	No data	0	0	0	0	0	0.6606349999999999	No data	0.30193790372994367	No data	0	No data	No data	-0.11764749999999999	1	0
MTX1	0.01992604933639445	No data	0	0	0	0	0	0	No data	-0.23546572202542193	No data	0	No data	No data	0	-1	-1
TEAD2	0.01981961496772523	No data	0	0	1	1	0	0.6230600000000003	1	-0.14117524484267552	-0.30744733073070546	0	No data	No data	-0.085365	-1	0
ACADS	0.01951521099494316	No data	0	0	0	0	0	0.5267000000000003	No data	0.050739737445301136	-0.6844552184619881	0	No data	No data	0	0.5	0
IL36RN	0.019469677734349756	No data	0	1	0	0	0	0.5483849999999997	No data	0.9195665763700771	-0.21719161075687693	0	No data	No data	0	0.75	0.5
EFCAB12	0.019320183335450547	No data	0	0	0	0	0	0	No data	-0.15878307980829343	No data	0	No data	No data	0	0.5	0
RBM17	0.019302679809720103	No data	0	0	1	1	0	0.9625950000000003	No data	-0.9637424463429881	No data	-1	No data	No data	No data	-1	-1
KCP	0.019263722304524923	No data	0	1	0	0	0	0	No data	No data	-0.43428573990479	No data	No data	No data	0	1	0.5
PHF19	0.019158660925791986	No data	0	0	0	0	0	0.4482750000000003	No data	-0.8602833923734111	-0.09228743242308685	0	No data	No data	0	-1	-1
IL27	0.059685669624032635	No data	0	1	0	0	0	0	No data	-0.49124817670347987	-0.5516572839837997	0	No data	No data	No data	1	0.5
TMEM256	0.019105659300783975	No data	0	0	0	0	0	0.4690249999999999	No data	0.7634923942488019	-0.7057021566641597	0	No data	No data	0	-1	-1
SOD2	0.01899396006983343	No data	0	0	0	0	1	0.5045050000000003	No data	No data	-0.9733745355724477	0	-1	No data	No data	0.5	-1
SPIN2B	0.018882394629122865	No data	0	0	1	1	0	0	No data	0.6873306938945614	No data	No data	No data	No data	-0.9903099999999998	-1	-1
C4orf36	0.018812452139701914	No data	0	0	0	0	0	0	No data	0.9249843717441133	0	0	No data	No data	No data	1	0.5
SH3BP2	0.018812452139701914	No data	0	0	0	0	0	0.3493749999999999	No data	0.2759949989581163	-0.8137803152976677	0	No data	No data	No data	-1	-1
SNX20	0.018703854630247346	No data	0	0	0	0	0	0	No data	0.6510731402375496	No data	0	No data	No data	0	0.5	0
RWDD4	0.018651788386725456	No data	0	0	0	0	0	0.5478700000000003	No data	-0.11762867264013332	No data	0	No data	No data	No data	-1	-1
HIBCH	0.018633781474417372	No data	0	0	0	0	0	0.09326500000000024	No data	0.33381954573869566	-0.752039240987937	0	No data	No data	0	-1	-1
H1-10	0.01861724925627735	No data	0	0	0	0	0	0	No data	0.49989581162742236	-0.23767649866384855	0	No data	No data	0	0.5	-1
BSN	0.018529783712990223	No data	0	0	0	0	0	0.45109500000000013	No data	-0.9158157949572827	-0.7160012251511588	0	No data	No data	0	1	0.5
TENT4B	0.019638047383046416	No data	1	0	0	0	0	0.4389899999999997	No data	-0.8790372994373827	No data	0	No data	No data	0	-1	0
C1QB	0.4631227535769951	No data	0	1	No data	No data	No data	0.003985000000000127	No data	0.16722233798708075	0	0	No data	No data	0	0.5	-1
TREX1	0.7663672088148077	No data	0	0	0	0	0	0	No data	-0.26588872681808706	-0.9684608205749712	0	No data	No data	0	0.5	-1
DNASE2	0.11087395640541053	No data	0	0	0	0	0	0	No data	-0.031985830381329405	-0.6618858439918925	0	No data	No data	0	-1	-1
C1R	0.4619748183558772	No data	0	0	No data	No data	No data	0.05673999999999992	No data	-0.6392998541362784	0	No data	No data	No data	0	0.5	-1
C2	0.4619748183558772	No data	0	1	0	1	0	0	No data	0.14721817045217755	No data	0	No data	No data	0	1	0
YTHDC1	0.10065508797864439	No data	1	0	0	0	0	0.848695	No data	-0.9826005417795374	No data	-1	No data	No data	0	-1	-1
SOCS1	0.3373515780114985	No data	0	0	0	0	0	0.78673	No data	0.1942071264846843	-0.9551199699325719	0	No data	-1	0	-1	0
RMI2	0.3244429766601156	No data	0	0	0	0	0	0.21768500000000018	No data	0.9392581787872474	No data	0	No data	No data	No data	0.5	0
SAT1	0.3695798546847018	No data	0	0	1	1	1	0.8245600000000003	No data	-0.562825588664305	-0.5126284108909581	0	No data	No data	0	-1	-1
C4A	0.38705633562967084	No data	0	1	0	0	0	0	No data	0.5740779329026882	-0.8580026181097578	No data	No data	No data	-0.9856649999999998	0.5	0
ENG	0.3326218692162316	0.75	1	0	0	0	0	0	No data	-0.8398624713481976	-0.9727711094640601	0	No data	No data	0	0.5	-1
C4B_2	0.38321088367511025	No data	0	1	No data	No data	No data	No data	No data	No data	-0.8580026181097578	No data	No data	No data	No data	No data	No data
C1S	0.4619748183558772	1	0	1	1	1	0	0	No data	-0.38091269014377993	No data	0	No data	No data	0	1	-1
CR2	0.5004871929714126	No data	1	0	0	0	0	0	No data	-0.03802875599083144	-0.7561859107988724	0	No data	No data	0	1	0.5
DNASE1	0.46046803891023275	No data	0	1	0	1	0	0	No data	0.9798916440925192	-0.7959603502910617	0	No data	No data	0	0.5	0
IGHG1	0.3804639335960534	No data	1	1	0	0	0	No data	No data	No data	-0.6268691781976479	No data	No data	No data	-0.8621549999999999	0.75	0
ATRIP	0.4792067960425913	No data	0	0	1	1	0	0	No data	-0.3371535736611794	-0.6464229792484466	-1	No data	No data	No data	0.5	-1
C4B	0.3837036568146899	No data	0	1	0	0	0	0	No data	-0.6205459470723067	-0.8580026181097578	No data	No data	No data	-0.9856649999999998	0.75	0
TLR7	0.7130353557678011	1	0	0	1	1	0	0.03718000000000003	0	-0.7500520941862888	-0.857167812864037	0	No data	No data	0	0.5	0
