,target_contrast,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,target_contrast_corrected,obs_names,target_name_corrected
15812,ENSG00000137747,TMPRSS13,Rest,1023.0,12,11,23,-0.3422694671720432,True,1.608004110660133,False,>10 DE genes,on-target KD,ENSG00000137747,ENSG00000137747_Rest,TMPRSS13
15813,ENSG00000141542,RAB40B,Rest,378.0,0,2,2,-0.5255113838016179,False,0.2541331535103562,False,2-10 DE genes,no on-target KD,ENSG00000141542,ENSG00000141542_Rest,RAB40B
15814,ENSG00000141873,SLC39A3,Rest,454.0,1,1,2,-10.664312084641184,True,30.64859613893443,False,2-10 DE genes,on-target KD,ENSG00000141873,ENSG00000141873_Rest,SLC39A3
15815,ENSG00000146285,SCML4,Rest,1065.0,0,0,0,-3.829164692627604,False,2.3054646287505234,False,no effect,no on-target KD,ENSG00000146285,ENSG00000146285_Rest,SCML4
15816,ENSG00000149346,SLX4IP,Rest,516.0,0,2,2,-6.978872491623359,True,10.896560505848004,True,2-10 DE genes,on-target KD,ENSG00000149346,ENSG00000149346_Rest,SLX4IP
15817,ENSG00000150779,TIMM8B,Rest,126.0,132,23,155,-9.69896071153766,True,85.70011747383431,False,>10 DE genes,on-target KD,ENSG00000150779,ENSG00000150779_Rest,TIMM8B
15818,ENSG00000162702,ZNF281,Rest,346.0,1,1,2,-5.620919303029683,True,25.234318137943312,False,2-10 DE genes,on-target KD,ENSG00000162702,ENSG00000162702_Rest,ZNF281
15819,ENSG00000164117,FBXO8,Rest,421.0,0,2,2,-8.824069020457648,True,23.63663030039267,True,2-10 DE genes,on-target KD,ENSG00000164117,ENSG00000164117_Rest,FBXO8
15820,ENSG00000166166,TRMT61A,Rest,244.0,111,37,148,-3.6511593807432674,True,7.358150501531599,False,>10 DE genes,on-target KD,ENSG00000166166,ENSG00000166166_Rest,TRMT61A
15821,ENSG00000166710,B2M,Rest,539.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000166710,ENSG00000166710_Rest,B2M
15822,ENSG00000171132,PRKCE,Rest,320.0,1,1,2,-2.4502022289702285,False,2.1859427374451608,False,2-10 DE genes,no on-target KD,ENSG00000171132,ENSG00000171132_Rest,PRKCE
15823,ENSG00000171169,NAIF1,Rest,523.0,12,4,16,-7.463520386288882,True,13.684267564898958,False,>10 DE genes,on-target KD,ENSG00000171169,ENSG00000171169_Rest,NAIF1
15824,ENSG00000176472,ZNF575,Rest,484.0,0,1,1,-3.4462826865690124,False,3.019633165991445,True,1 DE gene,putative off-target,ENSG00000176472,ENSG00000176472_Rest,ZNF575
15825,ENSG00000178694,NSUN3,Rest,415.0,1,2,3,-7.169268890288033,True,15.835567573615206,True,2-10 DE genes,on-target KD,ENSG00000178694,ENSG00000178694_Rest,NSUN3
15826,ENSG00000179152,TCAIM,Rest,901.0,0,1,1,-12.851936760369028,True,20.021309091996283,False,1 DE gene,on-target KD,ENSG00000179152,ENSG00000179152_Rest,TCAIM
15827,ENSG00000182700,IGIP,Rest,642.0,1,1,2,0.2121689965737507,False,14.05335042379432,False,2-10 DE genes,no on-target KD,ENSG00000182700,ENSG00000182700_Rest,IGIP
15828,ENSG00000183208,GDPGP1,Rest,635.0,0,2,2,-5.367168739102871,True,5.262855683358601,False,2-10 DE genes,on-target KD,ENSG00000183208,ENSG00000183208_Rest,GDPGP1
15829,ENSG00000185122,HSF1,Rest,96.0,0,0,0,-2.270960416653266,False,89.15655305317485,False,no effect,no on-target KD,ENSG00000185122,ENSG00000185122_Rest,HSF1
15830,ENSG00000196678,ERI2,Rest,862.0,0,2,2,-9.723195119744386,True,13.634337152876324,True,2-10 DE genes,on-target KD,ENSG00000196678,ENSG00000196678_Rest,ERI2
15831,ENSG00000197933,ZNF823,Rest,589.0,0,1,1,-3.9570514903574914,False,3.2960606918470323,False,1 DE gene,no on-target KD,ENSG00000197933,ENSG00000197933_Rest,ZNF823
15832,ENSG00000198830,HMGN2,Rest,515.0,0,0,0,0.0,False,,False,no effect,no on-target KD,ENSG00000198830,ENSG00000198830_Rest,HMGN2
15833,ENSG00000213066,FGFR1OP,Rest,183.0,654,341,995,-6.7237464594236425,True,22.618381998073204,False,>10 DE genes,on-target KD,ENSG00000213066,ENSG00000213066_Rest,CEP43
15834,ENSG00000213639,PPP1CB,Rest,527.0,6,1,7,-13.981997922495616,True,131.37937738558634,False,2-10 DE genes,on-target KD,ENSG00000213639,ENSG00000213639_Rest,PPP1CB
15835,ENSG00000214517,PPME1,Rest,534.0,0,2,2,-8.762858529054252,True,15.740851643539395,True,2-10 DE genes,on-target KD,ENSG00000214517,ENSG00000214517_Rest,PPME1
15836,ENSG00000218891,ZNF579,Rest,676.0,26,6,32,-3.017271970457643,False,1.817547279725386,False,>10 DE genes,no on-target KD,ENSG00000218891,ENSG00000218891_Rest,ZNF579
15837,ENSG00000276410,HIST1H2BB,Rest,963.0,1,1,2,-7.61028811167719,True,7.179795836006586,False,2-10 DE genes,on-target KD,ENSG00000276410,ENSG00000276410_Rest,H2BC3
15838,ENSG00000006634,DBF4,Rest,184.0,47,98,145,-8.294893727387498,True,44.68573063748379,False,>10 DE genes,on-target KD,ENSG00000006634,ENSG00000006634_Rest,DBF4
