,target,correlation_signif,correlation_signif_pval,correlation_all,correlation_all_pval,n_signif_union,frac_sign_agreement_signif_union,n_signif_1,n_signif_2,guide_id_1,guide_id_2,culture_condition,n_signif_ontarget
18534,RPS6KA2,,,0.059138926159549,2.1284423355620676e-10,0,,0,0,RPS6KA2-1,RPS6KA2-2,Stim48hr,0
18535,RBMS2,-0.3547966867447171,0.1485400364183653,0.05058797553256913,5.569821825015781e-08,18,0.6666666666666666,14,4,RBMS2-1,RBMS2-2,Stim48hr,2
18536,RBMS1,,,0.086304918766089,1.715225526994898e-20,0,,0,0,RBMS1-1,RBMS1-2,Stim48hr,1
18537,RBM47,,,-0.020503160107138436,0.027776294924680835,0,,0,0,RBM47-1,RBM47-2,Stim48hr,1
18538,PTK2B,1.0,1.0,0.07183879503979354,1.1723055208223719e-14,2,1.0,2,1,PTK2B-1,PTK2B-2,Stim48hr,2
18539,PTGER4,-1.0,1.0,0.1244970546400557,5.141669861599806e-41,2,0.5,2,0,PTGER4-1,PTGER4-2,Stim48hr,1
18540,PTGES2,0.6168235823917807,0.5768383904665167,0.044212988939989796,2.0662936426369777e-06,3,1.0,1,3,PTGES2-1,PTGES2-2,Stim48hr,2
18541,PTGFRN,0.9596306938262864,0.04036930617371359,0.12465010256115461,4.1088402553325025e-41,4,0.75,3,2,PTGFRN-1,PTGFRN-2,Stim48hr,2
18542,PTGIS,,,0.017509066745544446,0.06023804947306741,1,0.0,0,1,PTGIS-1,PTGIS-2,Stim48hr,2
18543,PTGR1,,,0.12976072814740902,1.9569881023484136e-44,1,0.0,0,1,PTGR1-1,PTGR1-2,Stim48hr,2
18544,PTGS1,,,0.060342374480233836,9.095711891964528e-11,1,0.0,0,1,PTGS1-1,PTGS1-2,Stim48hr,2
18545,PTK2,1.0,1.0,0.051877844497766556,2.536041756088811e-08,2,1.0,0,2,PTK2-1,PTK2-2,Stim48hr,1
18546,PTK6,-1.0,1.0,0.00969609703912376,0.29810045861178264,2,0.0,2,0,PTK6-1,PTK6-2,Stim48hr,2
18547,PTGDR,1.0,1.0,0.09172323895421206,5.983659175215926e-23,2,0.5,1,1,PTGDR-1,PTGDR-2,Stim48hr,1
18548,PTMS,,,0.07976042162485783,1.0102120313535664e-17,1,1.0,1,1,PTMS-1,PTMS-2,Stim48hr,2
18549,PTP4A1,-0.4100047051953878,0.49298473913009544,0.06751142346849576,4.078015413808368e-13,5,0.2,0,5,PTP4A1-1,PTP4A1-2,Stim48hr,0
18550,PTP4A3,,,0.04432263910278167,1.9492676427498654e-06,1,1.0,0,1,PTP4A3-1,PTP4A3-2,Stim48hr,2
18551,PTPA,0.6640343999815372,7.249535039582038e-64,0.1565552165275339,4.181397980260706e-64,492,0.8150406504065041,491,3,PTPA-1,PTPA-2,Stim48hr,2
18552,PTPDC1,1.0,1.0,0.16482478816288287,5.982367671926622e-71,2,1.0,1,1,PTPDC1-1,PTPDC1-2,Stim48hr,2
18553,PTPMT1,0.24439054999605553,0.2856753598797489,0.08657541718251821,1.3036796155307182e-20,21,0.5714285714285714,21,0,PTPMT1-1,PTPMT1-2,Stim48hr,0
18554,PTPN4,1.0,1.0,0.037571508475664955,5.50145167968596e-05,2,1.0,1,1,PTPN4-1,PTPN4-2,Stim48hr,2
