,target,correlation_signif,correlation_signif_pval,correlation_all,correlation_all_pval,n_signif_union,frac_sign_agreement_signif_union,n_signif_1,n_signif_2,guide_id_1,guide_id_2,culture_condition,n_signif_ontarget
4736,TALDO1,,,0.10119398631421375,1.327839564531085e-27,1,1.0,1,1,TALDO1-1,TALDO1-2,Rest,2
4737,TANC2,-0.4529564500974145,0.044902668175644214,0.03521304549057452,0.00015689478699758717,20,0.55,0,20,TANC2-1,TANC2-2,Rest,0
4738,TANGO2,0.9998427890522799,0.011288655078668096,0.03974424579212784,1.9842783041936807e-05,3,1.0,1,2,TANGO2-1,TANGO2-2,Rest,2
4739,TADA1,0.7773303005808301,0.0,0.48215442228266825,0.0,1633,0.9332516840171463,1395,570,TADA1-1,TADA1-3,Rest,2
4740,TAB3,0.6551626835142262,0.1578663811756218,0.006050923504484435,0.5161235821914503,6,0.5,2,5,TAB3-1,TAB3-2,Rest,2
4741,TAOK1,,,0.139293159639024,5.360074168645345e-51,1,1.0,0,1,TAOK1-1,TAOK1-2,Rest,1
4742,TAB1,,,0.05943390870685121,1.730702559758287e-10,1,1.0,1,1,TAB1-1,TAB1-2,Rest,2
4743,SYNE2,1.0,1.0,0.06470106510613596,3.643204094518672e-12,2,1.0,2,1,SYNE2-1,SYNE2-2,Rest,2
4744,SYNE3,,,0.002147962185082532,0.8177042521147924,0,,0,0,SYNE3-1,SYNE3-2,Rest,0
4745,SYNE4,-0.44364759135739906,0.556352408642601,0.047063124997914166,4.345643486071737e-07,4,0.25,4,0,SYNE4-1,SYNE4-2,Rest,2
4746,SYNGR1,,,0.14262686815730274,2.094641462090097e-53,1,1.0,0,1,SYNGR1-1,SYNGR1-2,Rest,0
4747,SYNGR2,,,0.04752592075109175,3.3448047040485795e-07,1,1.0,1,1,SYNGR2-1,SYNGR2-2,Rest,2
4748,SYNGR3,0.44685259716451675,0.70508968387844,0.06472613830444446,3.574146953250658e-12,3,0.3333333333333333,3,0,SYNGR3-1,SYNGR3-2,Rest,1
4749,SYNJ1,,,0.08160551324276667,1.7591958172573317e-18,1,1.0,1,1,SYNJ1-1,SYNJ1-2,Rest,2
4750,SYNJ2BP-COX16,1.0,1.0,0.01731673648299599,0.06311173827451758,2,1.0,2,1,SYNJ2BP-COX16-1,SYNJ2BP-COX16-2,Rest,0
4751,SYNM,,,0.06430855288972662,4.911152412709261e-12,0,,0,0,SYNM-1,SYNM-2,Rest,2
4752,SYP,,,0.032343387439065445,0.0005171994584378911,0,,0,0,SYP-1,SYP-2,Rest,2
4753,SYPL1,0.9234206138636905,0.025144851329989944,-0.00456866347614228,0.6239448364023609,5,0.8,3,3,SYPL1-1,SYPL1-2,Rest,2
4754,SYT11,,,0.020920166536887254,0.02475561770748199,1,1.0,1,0,SYT11-1,SYT11-2,Rest,2
4755,SYTL1,1.0,1.0,0.15805662164975115,2.5469377464054557e-65,2,1.0,1,2,SYTL1-1,SYTL1-2,Rest,2
4756,SYTL2,0.8161564466478596,0.047590864396938666,0.09175709537435635,5.769574139818769e-23,6,0.3333333333333333,6,1,SYTL2-1,SYTL2-2,Rest,2
4757,SYTL3,0.8125951035320894,0.39610821637883686,-0.014557556724052227,0.11822709901514696,3,0.6666666666666666,3,2,SYTL3-1,SYTL3-2,Rest,2
4758,TANK,0.0037767228157072562,0.9733059226855826,0.08241493511355567,8.070322815124737e-19,81,0.43209876543209874,73,8,TANK-1,TANK-2,Rest,2
4759,TAOK3,-0.9783896273034105,0.1325902141092933,-0.09889527978857117,1.9713415278677107e-26,3,0.6666666666666666,2,1,TAOK3-1,TAOK3-2,Rest,2
4760,SYNCRIP,-0.863347935267047,0.05938128743433595,0.1276000190750058,5.161751581584757e-43,5,0.6,0,5,SYNCRIP-1,SYNCRIP-2,Rest,1
4761,TBC1D2,,,0.1832154805989007,1.6742508573883428e-87,0,,0,0,TBC1D2-1,TBC1D2-2,Rest,2
4762,TBC1D3L,,,0.09557586426462644,8.68957178327339e-25,0,,0,0,TBC1D3L-1,TBC1D3L-2,Rest,0
4763,TBC1D4,,,0.03734768205861641,6.09275047238288e-05,1,1.0,1,0,TBC1D4-1,TBC1D4-2,Rest,0
4764,TBC1D5,,,0.10496366528471512,1.3907337008114893e-29,1,1.0,1,1,TBC1D5-1,TBC1D5-2,Rest,2
4765,TBC1D8,,,0.15483238887895204,1.0021847467108928e-62,1,1.0,0,1,TBC1D8-1,TBC1D8-2,Rest,2
4766,TBC1D10A,0.35430298417626827,0.06433597671854957,-0.07352584389415903,2.77174233674281e-15,28,0.5714285714285714,2,28,TBC1D10A-1,TBC1D10A-2,Rest,2
4767,TBC1D10C,0.8399576636755839,0.3651594524431648,0.15682855897252562,2.5174886188651444e-64,3,1.0,3,1,TBC1D10C-1,TBC1D10C-2,Rest,2
4768,TBC1D14,-0.18856164462901068,5.607637943209881e-06,-0.0388010872451325,3.109097773754654e-05,572,0.28321678321678323,10,562,TBC1D14-1,TBC1D14-2,Rest,1
4769,TBC1D15,0.6169627504559471,0.26761829500286133,0.0189620933578485,0.04184978297485299,5,0.2,5,1,TBC1D15-1,TBC1D15-2,Rest,2
4770,TBC1D16,,,0.14806625851034894,1.843237113648701e-57,0,,0,0,TBC1D16-1,TBC1D16-2,Rest,2
4771,TBC1D17,-0.11231409063632111,0.8572984801042963,0.09717114454998829,1.4315607129516671e-25,5,0.2,1,4,TBC1D17-1,TBC1D17-2,Rest,1
4772,TBC1D19,-0.42991550078751584,0.2877262057660722,0.0059979482362283315,0.5198041057463931,8,0.625,6,2,TBC1D19-1,TBC1D19-2,Rest,2
4773,TBC1D20,1.0,1.0,0.06239810916519731,2.0489588367379028e-11,2,1.0,1,2,TBC1D20-1,TBC1D20-2,Rest,2
4774,TBC1D22A,0.8570055623916952,0.029209180891758123,0.019495782723108153,0.036411948224622646,6,0.6666666666666666,3,3,TBC1D22A-1,TBC1D22A-2,Rest,2
4775,TBC1D22B,0.5161965734635952,0.0007686812227323005,0.00448808549051807,0.6300757625569544,39,0.6153846153846154,1,38,TBC1D22B-1,TBC1D22B-2,Rest,2
4776,TBC1D23,1.0,1.0,0.07280986500519476,5.132017571980683e-15,2,0.5,2,1,TBC1D23-1,TBC1D23-2,Rest,2
4777,TBC1D2B,1.0,1.0,0.10175793296010312,6.785497106265107e-28,2,0.5,1,2,TBC1D2B-1,TBC1D2B-2,Rest,2
4778,TBC1D1,0.7861437130463456,0.002429135935815584,-0.041945707704560936,6.694155588312172e-06,12,0.4166666666666667,6,6,TBC1D1-1,TBC1D1-2,Rest,1
4779,TAP2,0.17883863442736195,0.8855319904736801,-0.0687540546820882,1.5045010017969773e-13,3,0.3333333333333333,3,1,TAP2-1,TAP2-2,Rest,2
4780,TAZ,0.8733675173180788,0.05305487663050381,0.041802082690686304,7.197748310427755e-06,5,0.8,5,1,TAZ-1,TAZ-2,Rest,2
4781,TAPBP,0.6490341379960451,0.042306762970832405,-0.05213834329444025,2.1585414963853575e-08,10,0.3,10,1,TAPBP-1,TAPBP-2,Rest,2
4782,TAPBPL,0.4463160542143818,0.5536839457856182,0.09157706173135602,7.00192061603724e-23,4,1.0,4,2,TAPBPL-1,TAPBPL-2,Rest,2
4783,TAPT1,1.0,1.0,-0.024269382457920465,0.009194446421650801,2,0.5,1,1,TAPT1-1,TAPT1-2,Rest,2
4784,TARBP2,0.008736747551173506,0.9535221502143365,0.08410907460097082,1.541209608372923e-19,47,0.8723404255319149,0,47,TARBP2-1,TARBP2-2,Rest,2
4785,TARS2,0.4616077325569557,1.031092328769329e-09,0.050453299468190715,6.040137499896352e-08,158,0.6708860759493671,157,1,TARS2-1,TARS2-2,Rest,2
4786,TARSL2,,,-0.04991933392245182,8.312969894543198e-08,1,1.0,1,1,TARSL2-1,TARSL2-2,Rest,2
4787,TAS2R4,1.0,1.0,0.06721768922985333,5.148611314458148e-13,2,1.0,2,0,TAS2R4-1,TAS2R4-2,Rest,0
4788,TAS2R5,,,0.07773162703916732,6.596382728253007e-17,0,,0,0,TAS2R5-1,TAS2R5-2,Rest,0
4789,TAS2R14,,,0.22242997651185736,4.337125905902342e-129,0,,0,0,TAS2R14-1,TAS2R14-2,Rest,0
4790,TAS2R20,,,0.14162303050622332,1.1282471347115073e-52,1,1.0,1,0,TAS2R20-1,TAS2R20-2,Rest,0
4791,TASP1,0.7789046223760775,0.03903237171366623,0.05790588469481614,4.999629836297378e-10,7,0.7142857142857143,4,5,TASP1-1,TASP1-2,Rest,2
4792,TATDN1,1.0,1.0,0.13232226038818135,3.7589334720691674e-46,2,1.0,2,1,TATDN1-1,TATDN1-2,Rest,2
4793,TATDN2,0.35299587083173745,0.09065196165156388,0.10358897431885264,7.476408337495926e-29,24,0.4583333333333333,3,22,TATDN2-1,TATDN2-2,Rest,2
4794,TAX1BP1,0.9571431798863863,0.04285682011361369,0.14600862828786973,6.5795655228201395e-56,4,0.75,4,1,TAX1BP1-1,TAX1BP1-2,Rest,2
4795,TAX1BP3,-0.7655429277773868,0.23445707222261314,0.08774422854179822,3.945205777840604e-21,4,0.75,4,0,TAX1BP3-1,TAX1BP3-2,Rest,1
4796,SYNE1,,,0.1022429084549469,3.797905918839819e-28,0,,0,0,SYNE1-1,SYNE1-2,Rest,2
4797,SYNC,-0.4305216101402602,3.9937780251923575e-23,-0.1676000902536637,2.49488011330435e-73,481,0.2286902286902287,481,0,SYNC-1,SYNC-2,Rest,0
4798,STATH,,,0.04761911937733142,3.1721278056236036e-07,1,1.0,0,1,STATH-1,STATH-2,Rest,0
4799,STMN1,0.7415944060335515,0.0023981080129913145,0.12012086154610875,2.7802864457816657e-38,14,0.42857142857142855,14,1,STMN1-1,STMN1-2,Rest,2
4800,STOM,0.10427094339175103,0.7115199924313943,-0.1493293355460811,2.001457040591609e-58,15,0.4,1,15,STOM-1,STOM-2,Rest,2
4801,STOML1,-0.05093743991846686,0.9046573758628264,-0.0056106215695066585,0.5471194159687988,8,0.375,1,7,STOML1-1,STOML1-2,Rest,1
4802,STON2,,,0.08808573774478588,2.7738947153802226e-21,1,1.0,1,0,STON2-1,STON2-2,Rest,1
4803,STPG1,0.9536529526234775,0.19457988822602051,0.0447648475397126,1.5387348347527162e-06,3,0.0,2,1,STPG1-1,STPG1-2,Rest,2
4804,STRADA,,,-0.07283544134081482,5.020828667984109e-15,1,1.0,1,1,STRADA-1,STRADA-2,Rest,2
4805,STRADB,0.9999342197481156,0.00730205782100569,0.08494911212933035,6.698169218885694e-20,3,0.6666666666666666,1,2,STRADB-1,STRADB-2,Rest,2
4806,STRAP,0.7315626385770742,4.601435175709798e-117,0.3426281201536199,1.152819738e-314,693,0.9163059163059163,274,519,STRAP-1,STRAP-2,Rest,2
4807,STRBP,0.640368844927339,6.510757912153847e-06,0.1387031216101413,1.4101315981525524e-50,41,0.5853658536585366,1,40,STRBP-1,STRBP-2,Rest,2
4808,STRIP1,0.9334245211406955,0.23361013335643913,0.04364223430585115,2.7928620879985767e-06,3,1.0,3,1,STRIP1-1,STRIP1-2,Rest,2
4809,STRN,-0.19811093913099564,0.5832443180218784,-0.0096050777438507,0.3026592307690045,10,0.5,2,9,STRN-1,STRN-2,Rest,2
4810,STT3A,,,0.18632681997802109,1.7366403564226196e-90,1,1.0,1,1,STT3A-1,STT3A-2,Rest,2
4811,STUM,1.0,1.0,0.05280025182697057,1.4282605197333388e-08,2,0.5,2,0,STUM-1,STUM-2,Rest,0
4812,STX1A,,,0.11447775671257868,6.629631502485113e-35,1,1.0,0,1,STX1A-1,STX1A-2,Rest,2
4813,STX1B,1.0,1.0,-0.012791285976605088,0.16984785002280478,2,0.0,0,2,STX1B-1,STX1B-2,Rest,1
4814,STX2,0.45212593373727744,0.2607073314995664,-0.007745438725196124,0.4058731927410749,8,0.5,8,1,STX2-1,STX2-2,Rest,2
4815,STMN3,,,0.09543065836231981,1.0224493257916086e-24,1,1.0,0,1,STMN3-1,STMN3-2,Rest,2
4816,STK38L,1.0,1.0,-0.06625655132329632,1.0963786503297373e-12,2,1.0,1,2,STK38L-1,STK38L-2,Rest,2
4817,STX8,0.7485274039384906,0.08690632917522985,0.04174123216291385,7.421860013070963e-06,6,0.3333333333333333,1,6,STX8-1,STX8-2,Rest,2
4818,STK38,0.4700935695713468,0.20162770910302363,0.0499298566860559,8.261067407095314e-08,9,0.6666666666666666,9,2,STK38-1,STK38-2,Rest,2
4819,STAU2,,,0.21425605572283746,1.0626515398336922e-119,1,1.0,1,1,STAU2-1,STAU2-2,Rest,2
4820,STEAP4,,,0.050914818984747534,4.57121983318169e-08,0,,0,0,STEAP4-1,STEAP4-2,Rest,0
4821,STIM2,,,-0.013563298391660154,0.1455174638188205,1,1.0,1,1,STIM2-1,STIM2-2,Rest,2
4822,STIP1,0.9369081783222933,2.1309096742167035e-19,0.30729803711067527,2.1609008264198575e-250,41,0.926829268292683,38,4,STIP1-1,STIP1-2,Rest,2
4823,STK10,-0.16441159576604394,0.5428800992404794,0.09765693098339229,8.217490786124656e-26,16,0.6875,5,13,STK10-1,STK10-2,Rest,2
4824,STK11,0.6765119664759799,4.630895461526591e-113,0.3283863688972961,1.0247819210788032e-287,837,0.8052568697729988,57,816,STK11-1,STK11-2,Rest,2
4825,STK11IP,0.8158093067988483,0.09222675699640027,-0.014967651559685543,0.10821391452389949,5,0.2,2,3,STK11IP-1,STK11IP-2,Rest,1
4826,STK16,0.419488880585026,0.40767560144162107,0.07750473101661638,8.112502285616792e-17,6,0.5,3,3,STK16-1,STK16-2,Rest,2
4827,STK17A,-1.0,1.0,0.05876818531317636,2.756537514916933e-10,2,0.5,1,1,STK17A-1,STK17A-2,Rest,2
4828,STK17B,,,0.046378010897210484,6.374299024466977e-07,1,1.0,0,1,STK17B-1,STK17B-2,Rest,2
4829,STK24,-0.6056682519969401,0.2789987620814916,0.06797756849984077,2.8112537968391314e-13,5,0.8,1,4,STK24-1,STK24-2,Rest,0
4830,STK25,0.7620687489011984,0.23793125109880164,0.03362076954138504,0.00030752777884865727,4,0.75,1,4,STK25-1,STK25-2,Rest,2
4831,STK26,,,0.01001859725365433,0.2823184842641737,1,1.0,1,1,STK26-1,STK26-2,Rest,2
4832,STK32C,-0.8826355730766964,0.3115339567157518,0.04883501257902994,1.5744925978943922e-07,3,0.3333333333333333,0,3,STK32C-1,STK32C-2,Rest,1
4833,STK35,0.9972015717305038,0.04763800229241487,0.1435806496710603,4.1815425092905627e-54,3,1.0,1,3,STK35-1,STK35-2,Rest,2
4834,STX6,,,0.07806184042315899,4.876201582789166e-17,1,1.0,1,1,STX6-1,STX6-2,Rest,2
4835,STX10,0.5651451418058949,0.6176403242030317,0.05497495129341252,3.5512996886248734e-09,3,0.3333333333333333,1,3,STX10-1,STX10-2,Rest,2
4836,SYK,0.009801312956416697,0.9217251833373278,0.08349826851969258,2.810420110016462e-19,103,0.5728155339805825,103,0,SYK-1,SYK-2,Rest,2
4837,SUN2,1.0,1.0,0.009987219331469673,0.28382864917550427,2,1.0,2,1,SUN2-1,SUN2-2,Rest,2
4838,SUPT4H1,0.6698636279440202,2.5578801363909265e-28,0.28290391868713793,6.537260431981682e-211,207,0.8888888888888888,171,84,SUPT4H1-1,SUPT4H1-2,Rest,1
4839,SUPT7L,0.7464400912604662,4.530854010832516e-210,0.32991770360188116,1.5185508565657208e-290,1177,0.9464740866610025,183,1130,SUPT7L-1,SUPT7L-2,Rest,2
4840,SUPT20H,0.8110926132734005,0.0,0.3872329612383187,0.0,1732,0.930715935334873,212,1686,SUPT20H-1,SUPT20H-2,Rest,2
4841,SUPV3L1,0.6456241955630763,0.11729078044978304,0.13354413005172983,5.548111256317372e-47,7,0.5714285714285714,7,1,SUPV3L1-1,SUPV3L1-2,Rest,2
4842,SURF1,-0.38351353574915836,1.7547595334907296e-21,-0.1294098600223325,3.342207801366031e-44,572,0.3129370629370629,572,1,SURF1-1,SURF1-2,Rest,2
4843,SUSD3,,,0.013096087912345962,0.15990077481797357,1,1.0,0,1,SUSD3-1,SUSD3-2,Rest,2
4844,SUSD4,,,-0.008024422095850244,0.38917361419347396,0,,0,0,SUSD4-1,SUSD4-2,Rest,2
4845,SUV39H1,,,0.24595293824819484,2.7451481519034325e-158,1,1.0,1,0,SUV39H1-1,SUV39H1-2,Rest,2
4846,SVIL,,,0.04219315351958265,5.904598082499837e-06,0,,0,0,SVIL-1,SVIL-2,Rest,1
4847,SVIP,,,0.07766776639128503,6.992304138969353e-17,1,1.0,0,1,SVIP-1,SVIP-2,Rest,2
4848,SWSAP1,0.5317715596901027,0.6430529966384474,0.10582423280798901,4.797795279091757e-30,3,0.6666666666666666,3,0,SWSAP1-1,SWSAP1-2,Rest,2
4849,SWT1,0.5090069942910376,0.6600254584089091,0.049370139251034124,1.150711129480738e-07,3,0.6666666666666666,0,3,SWT1-1,SWT1-2,Rest,2
4850,SYCE1L,,,0.003961370299451915,0.6707656045270469,0,,0,0,SYCE1L-1,SYCE1L-2,Rest,0
4851,SYCE2,,,0.11819587065152862,4.118574856181074e-37,0,,0,0,SYCE2-1,SYCE2-2,Rest,1
4852,SYCP2,,,0.018324935921885485,0.04922709974170384,1,0.0,0,1,SYCP2-1,SYCP2-2,Rest,2
4853,SUOX,-0.8493876816837049,0.35394297108537437,0.11268712506490669,7.223292999964367e-34,3,0.3333333333333333,3,0,SUOX-1,SUOX-2,Rest,2
4854,SUMO4,1.0,1.0,0.01734435676772216,0.06269221359642892,2,1.0,2,0,SUMO4-1,SUMO4-2,Rest,0
4855,STX11,,,0.08296138625152819,4.748409686379386e-19,1,1.0,1,1,STX11-1,STX11-2,Rest,2
4856,SUMO2,0.28120099737708265,0.2583147082809226,0.11518508768346192,2.5538334195715763e-35,18,0.5,17,1,SUMO2-1,SUMO2-2,Rest,1
4857,STX16,0.3865333105315047,0.03833369094035318,0.0800731702202242,7.532690598287255e-18,29,0.5172413793103449,29,1,STX16-1,STX16-2,Rest,2
4858,STXBP3,0.5498228044004095,0.45017719559959035,-0.01984854515978246,0.03315814870283078,4,0.5,4,1,STXBP3-1,STXBP3-2,Rest,2
4859,STYX,0.8276014953120432,0.1723985046879568,-0.029347737984671628,0.001632744069932781,4,0.5,1,4,STYX-1,STYX-2,Rest,2
4860,STYXL1,0.3531182092016099,0.06529609245335254,0.024000359692926968,0.009999206431792168,28,0.39285714285714285,4,26,STYXL1-1,STYXL1-2,Rest,2
4861,SUCLG1,,,0.1766980121942856,2.003254799107658e-81,1,1.0,1,1,SUCLG1-1,SUCLG1-2,Rest,2
4862,SUFU,1.0,1.0,0.1686615825070385,2.9906960195877665e-74,2,1.0,2,1,SUFU-1,SUFU-2,Rest,2
4863,SUGP1,0.9271454724983783,0.000319863994401532,0.1165003580661485,4.265127248630727e-36,9,0.8888888888888888,9,1,SUGP1-1,SUGP1-2,Rest,2
4864,SUGP2,0.24461004615515497,0.755389953844845,-0.025707648054182408,0.005795169218598141,4,0.75,4,2,SUGP2-1,SUGP2-2,Rest,2
4865,SULF2,,,0.05074525598212527,5.065407027883347e-08,0,,0,0,SULF2-1,SULF2-2,Rest,2
4866,SULT1A1,,,-0.012043213875684997,0.19621598045053523,0,,0,0,SULT1A1-1,SULT1A1-2,Rest,1
4867,SULT1A3,0.47932534655462034,0.0008642257485851265,-0.059265989506049006,1.9472263043521703e-10,45,0.7555555555555555,2,43,SULT1A3-1,SULT1A3-2,Rest,0
4868,SULT1A4,0.37340730194009203,0.6265926980599079,0.08857211824775393,1.675694199499828e-21,4,1.0,2,2,SULT1A4-1,SULT1A4-2,Rest,0
4869,SULT1B1,1.0,1.0,-0.032963497946140195,0.0004027362382665596,2,0.5,2,1,SULT1B1-1,SULT1B1-2,Rest,2
4870,SUMF1,1.0,1.0,0.004907333735516314,0.5984640190296825,2,0.5,2,1,SUMF1-1,SUMF1-2,Rest,2
4871,SUMF2,0.8119127213545816,0.1880872786454184,0.04261155647900882,4.7681955785171375e-06,4,0.75,4,1,SUMF2-1,SUMF2-2,Rest,2
4872,KCNQ1,0.18969299766538014,0.6837296806932053,0.13112593784053972,2.4044747546072712e-45,7,0.2857142857142857,0,7,KCNQ1-1,KCNQ1-2,Rest,2
4873,MORC3,0.5986965988042455,0.08849556624216749,0.11702967901293336,2.0634855493602313e-36,9,0.7777777777777778,5,5,MORC3-1,MORC3-2,Rest,2
4874,KCNMB4,,,0.10204219686429171,4.8305692377407095e-28,1,0.0,1,0,KCNMB4-1,KCNMB4-2,Rest,1
4875,CPNE2,1.0,1.0,0.06703965995217091,5.927097998174798e-13,2,0.5,1,1,CPNE2-1,CPNE2-2,Rest,2
4876,CORO7,0.5472858802572639,0.452714119742736,0.13335511645071402,7.467830226399604e-47,4,0.5,4,1,CORO7-1,CORO7-2,Rest,2
4877,COX4I1,0.315802584744472,9.57399902798838e-06,0.16487787055844294,5.391956119470753e-71,189,0.5978835978835979,4,186,COX4I1-1,COX4I1-2,Rest,2
4878,COX5A,-0.3630246832123274,0.008838741151727477,0.2367736734096669,1.6650057613328307e-146,51,0.6862745098039216,29,24,COX5A-1,COX5A-2,Rest,0
4879,COX6B1,0.13887799486923003,0.911300823823304,0.12393211230007654,1.1736047804235445e-40,3,0.6666666666666666,1,3,COX6B1-1,COX6B1-2,Rest,2
4880,COX6C,0.19029310109479786,0.14884492643244426,0.17521120622302683,4.5247015372196755e-80,59,0.8135593220338984,52,8,COX6C-1,COX6C-2,Rest,2
4881,COX7A2L,,,0.1786443181470584,3.2445520939001703e-83,1,1.0,1,1,COX7A2L-1,COX7A2L-2,Rest,2
4882,COX7C,1.0,1.0,0.053998433553226366,6.678368133467002e-09,2,1.0,2,0,COX7C-1,COX7C-2,Rest,2
4883,COX8A,0.35522879116158995,0.7688059209994448,0.12334076482078839,2.7727484108421683e-40,3,0.3333333333333333,2,2,COX8A-1,COX8A-2,Rest,2
4884,COX11,-0.704349814660997,0.502477328094556,0.16206859766295972,1.2561722336545012e-68,3,1.0,3,0,COX11-1,COX11-2,Rest,2
4885,COX15,0.9955546035226812,0.06004977532711081,0.08134406451156717,2.2590263493737658e-18,3,1.0,2,3,COX15-1,COX15-2,Rest,2
4886,COX16,1.0,1.0,0.1007386852206625,2.2769406569544546e-27,2,1.0,1,2,COX16-1,COX16-2,Rest,2
4887,COX17,1.0,1.0,0.2168396732774182,1.2597396928899767e-122,2,1.0,2,1,COX17-1,COX17-2,Rest,2
4888,COX18,0.7100291053776677,0.2899708946223323,0.029702551318006774,0.0014321447656035536,4,0.5,1,4,COX18-1,COX18-2,Rest,2
4889,CPEB2,,,0.009300322884458877,0.31825899258884194,1,0.0,0,1,CPEB2-1,CPEB2-2,Rest,2
4890,CPEB3,0.31495006539564047,0.44735780367601535,0.06605866013315534,1.2793162610714487e-12,8,0.5,4,4,CPEB3-1,CPEB3-2,Rest,2
4891,CORO6,,,-0.06303505088806964,1.2785638924113328e-11,0,,0,0,CORO6-1,CORO6-2,Rest,1
4892,CORO2A,0.9160497496841854,0.010275641030996936,0.03565256334578681,0.00012965984094767718,6,0.6666666666666666,1,5,CORO2A-1,CORO2A-2,Rest,2
4893,CORO1B,,,0.30091073353251374,1.1180456204779925e-239,0,,0,0,CORO1B-1,CORO1B-2,Rest,2
4894,COQ4,0.9883659677588066,0.09720356716971151,0.11358155946315826,2.201373326788354e-34,3,0.3333333333333333,0,3,COQ4-1,COQ4-2,Rest,2
4895,COPG2,0.4686975060999856,0.5313024939000144,-0.18529308446033432,1.7262960833395685e-89,4,0.5,0,4,COPG2-1,COPG2-2,Rest,2
4896,COPRS,0.3623262498910658,0.009716771882576572,0.10136333937908168,1.0858254759499961e-27,50,0.6,50,1,COPRS-1,COPRS-2,Rest,2
4897,COPS7A,,,0.01786595794061846,0.05519293797785479,1,1.0,1,1,COPS7A-1,COPS7A-2,Rest,2
4898,COPS7B,0.8860413010216932,0.30688958015054835,0.08852871736413184,1.752976205462076e-21,3,0.6666666666666666,1,3,COPS7B-1,COPS7B-2,Rest,2
4899,COPS9,0.7081987785128647,0.4990160962807008,0.08281735579703198,5.462693510981371e-19,3,1.0,2,2,COPS9-1,COPS9-2,Rest,2
4900,COQ3,0.5168170427333476,6.363322642434064e-09,0.24862143037387646,8.291306179007162e-162,111,0.8918918918918919,9,104,COQ3-1,COQ3-2,Rest,2
4901,COQ5,,,0.21409792355149299,1.6004441992406492e-119,1,1.0,1,1,COQ5-1,COQ5-2,Rest,2
4902,CORO1A,0.29597395509821206,0.15085334754347837,0.018922287529057162,0.04228156843831586,25,0.44,1,25,CORO1A-1,CORO1A-2,Rest,2
4903,COQ6,0.7505176452937203,0.24948235470627966,-0.02800199245046574,0.0026515205252897233,4,0.75,1,3,COQ6-1,COQ6-2,Rest,2
4904,COQ7,-1.0,1.0,0.12312009051351741,3.817525704275779e-40,2,1.0,1,1,COQ7-1,COQ7-2,Rest,2
4905,COQ8A,1.0,1.0,0.034920663332735344,0.00017790244885222656,2,1.0,0,2,COQ8A-1,COQ8A-2,Rest,2
4906,COQ8B,0.9931839723075745,0.0006748175274730744,0.1430583940292726,1.0118208261947493e-53,5,0.6,5,2,COQ8B-1,COQ8B-2,Rest,2
4907,COQ9,,,-0.028348354390001426,0.0023448013537313017,1,1.0,1,0,COQ9-1,COQ9-2,Rest,2
4908,COQ10B,0.11910432671486187,0.7272409526779875,0.2512340192468345,2.6967966536570105e-165,11,0.6363636363636364,11,1,COQ10B-1,COQ10B-2,Rest,2
4909,CPEB4,0.9411808228077643,0.005087795183929777,0.0022532824387019833,0.8089345837605665,6,0.3333333333333333,5,1,CPEB4-1,CPEB4-2,Rest,1
4910,CPNE3,1.0,1.0,-0.012763039917122458,0.17079262488517263,2,0.5,2,1,CPNE3-1,CPNE3-2,Rest,2
4911,CRTAP,0.21440882625905594,0.503386221630573,0.04913989993461617,1.3174287611519335e-07,12,0.4166666666666667,2,11,CRTAP-1,CRTAP-2,Rest,2
4912,CPNE5,0.054565323038315766,0.7912074103246084,0.11308025735014435,4.2897062298594905e-34,26,0.5769230769230769,1,25,CPNE5-1,CPNE5-2,Rest,1
4913,CREBBP,0.764586016821582,3.65187453718226e-41,0.3743098961193634,0.0,208,0.9615384615384616,114,117,CREBBP-1,CREBBP-2,Rest,2
4914,CREBL2,1.0,1.0,0.09332002037169955,1.0576814164856129e-23,2,1.0,2,1,CREBL2-1,CREBL2-2,Rest,2
4915,CREBRF,,,0.11391858209156831,1.403386767881367e-34,1,1.0,1,0,CREBRF-1,CREBRF-2,Rest,2
4916,CREBZF,-0.8756756960321255,0.32083283150355746,0.12998872848247223,1.3810061002999947e-44,3,1.0,3,1,CREBZF-1,CREBZF-2,Rest,2
4917,CREG1,0.7840320365513977,0.4263195344436493,-0.008061722623547422,0.3869729767173108,3,0.3333333333333333,0,3,CREG1-1,CREG1-2,Rest,2
4918,CRELD2,-0.9401273812052247,0.22141156187764352,-0.006508627223825295,0.4848957398734903,3,1.0,0,3,CRELD2-1,CRELD2-2,Rest,1
4919,CREM,0.9731470048661557,0.14786594045780566,-0.04175672290170398,7.364182993710532e-06,3,0.6666666666666666,3,1,CREM-1,CREM-2,Rest,2
4920,CRIM1,-0.24562518939904157,0.49395485478080714,0.0018538056818760782,0.8423154596699944,10,0.4,0,10,CRIM1-1,CRIM1-2,Rest,2
4921,CRIP1,,,-0.05832565201607652,3.7456154694528174e-10,1,1.0,1,0,CRIP1-1,CRIP1-2,Rest,2
4922,CRIP2,,,0.08655826110882835,1.3265965295027407e-20,0,,0,0,CRIP2-1,CRIP2-2,Rest,2
4923,CRIP3,,,0.04076105074058295,1.2093301266854419e-05,0,,0,0,CRIP3-1,CRIP3-2,Rest,0
4924,CRISPLD2,,,0.24439635349657912,2.9653206780977656e-156,1,1.0,1,0,CRISPLD2-1,CRISPLD2-2,Rest,0
