,target,correlation,correlation_ceiling,n_signif,pvalue,culture_condition
57,CASP9,0.7819264708876632,0.8951207373171183,159,0.0029005131925305106,Rest
58,CBFA2T2,0.34908005215851023,0.7723293034601835,189,0.0029005131925305106,Rest
59,CCDC138,0.6029096788561199,,54,0.0029005131925305106,Rest
60,CCDC22,0.9450607779379576,0.9651225320664557,4,0.0029005131925305106,Rest
61,CCND2,0.7400194981542269,0.7735555616761841,275,0.0029005131925305106,Rest
62,CCNF,0.780487439921043,0.8064504472682612,165,0.0029005131925305106,Rest
63,CCR10,0.8318881882398007,,4,0.0029005131925305106,Rest
64,CCR4,0.5530128761955833,0.6572371173309088,578,0.0029005131925305106,Rest
65,CD2BP2,0.49477893875822226,0.659794618472391,11,0.0029005131925305106,Rest
66,CDC25B,0.28856556112319975,0.8507864355344562,979,0.0029005131925305106,Rest
67,CDCA3,-0.09585323254003557,0.6000178896682309,182,0.0029005131925305106,Rest
68,CHD4,0.65630269653463,0.8030804471801827,547,0.0029005131925305106,Rest
69,CHD7,-0.02278923311011584,,1614,0.0029005131925305106,Rest
70,CHMP1A,0.23051551004742607,0.3633331513679069,700,0.0029005131925305106,Rest
71,CHTF18,0.7680734510159289,,5,0.0029005131925305106,Rest
72,CISD1,0.5385791132753641,0.7357574656364716,48,0.0029005131925305106,Rest
73,CIT,0.8483251161497343,0.9753644553181681,3,0.0029005131925305106,Rest
74,CKAP4,0.35357016741367,,63,0.0029005131925305106,Rest
75,CKLF-CMTM1,0.4019710143526401,0.7624852122697446,37,0.0029005131925305106,Rest
76,CLCC1,0.6393160124522709,0.929151916996633,13,0.0029005131925305106,Rest
77,CMAS,0.48515201207414504,0.726513165765568,25,0.0029005131925305106,Rest
78,CMTR1,0.6270883329614024,0.4889517375424795,31,0.0029005131925305106,Rest
79,COA3,0.9885348168772469,0.9624918890055412,4,0.0029005131925305106,Rest
80,COA5,0.7074665556965231,0.8480922407922037,22,0.0029005131925305106,Rest
81,COG6,0.05850541226854335,,537,0.0029005131925305106,Rest
82,COP1,0.04009930637734368,0.6037576421991722,56,0.0029005131925305106,Rest
83,COPRS,0.35299498573613847,0.6308356736782708,53,0.0029005131925305106,Rest
84,COQ3,0.5234525305704573,0.7642954778413446,119,0.0029005131925305106,Rest
85,COX11,-0.7449266322963735,,3,0.0029005131925305106,Rest
86,COX4I1,0.3122136607092244,0.7871553064555686,197,0.0029005131925305106,Rest
87,COX5A,0.05896567086939952,0.7386855236375423,52,0.0029005131925305106,Rest
88,COX6C,0.18659015155199646,0.7864840794795983,61,0.0029005131925305106,Rest
89,CRTAP,0.214434395588538,0.9140385288095553,12,0.0029005131925305106,Rest
90,CRTC2,0.07345295997007933,,260,0.0029005131925305106,Rest
91,CRY1,0.16784525622521218,0.47785947151311725,518,0.0029005131925305106,Rest
92,CRYZL1,-0.24396961875395545,0.39153963790944285,863,0.0029005131925305106,Rest
93,CSK,0.6703041221304907,0.8772178939509176,31,0.0029005131925305106,Rest
94,CSNK2A2,0.5155647361842776,0.8997875892242886,75,0.0029005131925305106,Rest
95,CTBP1,0.9052903599690373,0.8829013722635464,641,0.0029005131925305106,Rest
96,CTSF,0.7574168330474367,0.6706264519299746,19,0.0029005131925305106,Rest
97,CTU1,0.5337590157253801,0.7837721166235649,204,0.0029005131925305106,Rest
