,library_id,lane_id,mean_total_counts,mean_n_genes,mean_pct_counts_mt,mean_top_guide_UMI_counts,n_cells,n_low_quality_cells,NTC single sgRNA,multi sgRNA,no sgRNA (>= 3 UMIs),targeting single sgRNA,n_unique_guides,n_unique_perturbed_genes,mean_cells_x_guide,mean_cells_x_perturbed_gene,experiment,mean_guide_UMI_counts
163,CD4i_R2_D3_Stim48hr_CD4i_R2_Ultima,CD4i_R2L44,13261.554,4438.664376340904,0.47445428,218.62020385237707,108136,930,3296,18163,10631,75116,13798,9489,5.682852587331498,8.263462957108231,CD4iR2_Psomagen,215.05754
164,CD4i_R2_D3_Stim48hr_CD4i_R2_Ultima,CD4i_R2L45,11102.375,4088.714380975637,0.46691775,226.87975567554045,106474,862,3143,18621,10106,73742,13671,9432,5.623948504132836,8.151505513146734,CD4iR2_Psomagen,225.32982
165,CD4i_R2_D3_Stim48hr_CD4i_R2_Ultima,CD4i_R2L46,12971.831,4392.77954939663,0.47489697,223.6237217549068,107811,936,3117,18385,10352,75021,13790,9491,5.66627991298042,8.232852175745442,CD4iR2_Psomagen,220.863
166,CD4i_R2_D3_Stim48hr_CD4i_R2_Ultima,CD4i_R2L47,10718.54,4023.055310695311,0.46173236,218.15583816687504,108225,883,3298,19192,10227,74625,13750,9445,5.667127272727273,8.250185283218634,CD4iR2_Psomagen,216.86986
167,CD4i_R2_D3_Stim48hr_CD4i_R2_Ultima,CD4i_R2L48,11058.946,4081.648760905239,0.46033376,225.92231281521416,107861,830,3147,19279,9687,74918,14025,9592,5.566131907308378,8.138552960800666,CD4iR2_Psomagen,226.80885
168,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L25,14545.104,4686.3896391929175,0.944264,279.8327569019185,110918,664,3284,24492,12350,70128,19254,11103,3.812818115716215,6.611906691885076,CD4iR2_Psomagen,280.678
169,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L26,15022.835,4758.026443176708,0.94665563,276.65341163144245,113413,722,3434,24488,12497,72272,19431,11156,3.89614533477433,6.786124058802439,CD4iR2_Psomagen,277.20435
170,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L27,15447.004,4821.381774179354,0.93944186,276.8019059909664,113630,686,3379,24183,12621,72761,19468,11187,3.911033490856792,6.806114239742558,CD4iR2_Psomagen,276.9048
171,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L28,16103.444,4903.449396389017,0.94369125,268.60723990097216,112324,671,3486,23520,12664,71983,19371,11128,3.895978524598626,6.781901509705248,CD4iR2_Psomagen,267.25092
172,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L29,15791.61,4872.690410222142,0.9424623,267.9764712370063,122714,730,3596,26279,13617,78492,19826,11265,4.14042166851609,7.286995117620949,CD4iR2_Psomagen,268.1486
173,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L30,16211.762,4927.064772510514,0.9444939,271.8402919107822,110093,651,3277,22865,12549,70751,19320,11130,3.831677018633541,6.651212938005391,CD4iR2_Psomagen,270.4719
174,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L31,15955.941,4887.103488932494,0.94488674,275.5325836357092,116196,711,3441,24539,13096,74409,19536,11183,3.98495085995086,6.961459357954038,CD4iR2_Psomagen,275.15363
175,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L32,15545.88,4834.062768369345,0.9438684,272.03162771762834,116444,736,3422,24997,13010,74279,19602,11206,3.96393225181104,6.933874709976799,CD4iR2_Psomagen,273.3697
176,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L33,15501.699,4828.588097235216,0.9344858,259.1457852746752,123988,687,3610,26702,14024,78965,19743,11221,4.182495061540799,7.358969788788878,CD4iR2_Psomagen,260.2047
177,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L34,14456.336,4690.202236587158,0.93510985,271.27754343251326,119736,659,3482,25857,13480,76258,19607,11187,4.066914877339726,7.127916331456155,CD4iR2_Psomagen,271.42175
178,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L35,14238.785,4650.693764307754,0.9355121,274.14350612401006,120564,701,3528,26255,13103,76977,19806,11255,4.06467737049379,7.152820968458463,CD4iR2_Psomagen,275.84518
179,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L36,14038.546,4621.761403682521,0.9322956,266.6010074723968,121167,699,3533,26307,13290,77338,19832,11253,4.077803549818476,7.186616902159424,CD4iR2_Psomagen,267.21622
180,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L37,15685.058,4855.901057287914,0.9365542,272.97516446432974,119362,709,3578,25339,13579,76157,19721,11234,4.043151969981238,7.097649991098451,CD4iR2_Psomagen,272.19028
181,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L38,16261.313,4934.473102308781,0.9389718,268.50873601144923,113783,695,3366,23818,12918,72986,19353,11130,3.945228130005684,6.860017969451932,CD4iR2_Psomagen,266.69348
182,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L39,11917.661,4284.868067881553,0.9325311,265.3956738738576,124511,710,3541,27377,13820,79063,19865,11268,4.158268311099924,7.33084842030529,CD4iR2_Psomagen,266.9444
183,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L40,13629.52,4565.820869986145,0.9353964,270.538869091389,119818,686,3537,25635,13468,76492,19667,11208,4.069202216911577,7.140346181299072,CD4iR2_Psomagen,270.71292
184,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L41,15927.985,4881.462070917606,0.9098662,267.5696415054056,116586,711,3532,24673,13256,74414,19524,11194,3.992317148125384,6.963194568518849,CD4iR2_Psomagen,267.85565
185,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L42,15226.919,4786.691814347385,0.90064347,272.08895091881834,121151,738,3616,26298,13359,77140,19785,11249,4.081678038918373,7.178949239932439,CD4iR2_Psomagen,274.39047
186,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L43,12840.939,4442.365811588169,0.8863435,273.4209896516403,117689,661,3509,25707,12971,74841,19554,11152,4.006852817837783,7.0256456241033,CD4iR2_Psomagen,274.95685
187,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L44,14962.01,4756.523207548791,0.89638126,272.5045147605426,116363,630,3343,24692,13329,74369,19498,11137,3.985639552774644,6.977821675496094,CD4iR2_Psomagen,271.80737
188,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L45,12338.825,4358.641842433914,0.894342,277.0896115821969,115304,599,3520,25018,12692,73475,19473,11135,3.953936219380681,6.914683430624158,CD4iR2_Psomagen,279.28098
189,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L46,14584.168,4703.195314184208,0.89608985,275.7108201508883,115967,654,3459,24954,12998,73902,19576,11222,3.9518287699223538,6.893690964177509,CD4iR2_Psomagen,276.73373
190,CD4i_R2_D4_Stim48hr_CD4i_R2_Ultima,CD4i_R2L47,12007.137,4310.008433570722,0.8828068,270.20074267401026,117388,613,3545,25809,12933,74488,19496,11153,4.0025133360689376,6.996592844974447,CD4iR2_Psomagen,271.75543
