,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
96,ENSG00000172215,155.50606123241982,1.9463818787133402,0.24653219833398618,7.895041263845405,2.90219203093407e-15,3.184033772494884e-13,MEN1
97,ENSG00000030582,199.39485936102872,1.0200239343194577,0.12937256170484746,7.884391565551249,3.1607173073551015e-15,3.432280978048264e-13,MEN1
98,ENSG00000183508,93.55079520391804,1.9935997429464267,0.25371290364525356,7.857699448089238,3.912527138477867e-15,4.205769071482976e-13,MEN1
99,ENSG00000181019,361.3709060952323,1.1895131392263,0.15150633741568506,7.851243449722209,4.119324472262273e-15,4.3837851033815115e-13,MEN1
100,ENSG00000113580,773.7793864944323,0.9434552075103092,0.12058065581287816,7.824266679842912,5.106246081905962e-15,5.350966197777189e-13,MEN1
101,ENSG00000217555,967.6340921999101,1.0978853944361593,0.14032790324859806,7.82371409406153,5.1287215953136e-15,5.350966197777189e-13,MEN1
102,ENSG00000180198,982.1027506044883,-0.653956758372829,0.08363776876073209,-7.818916837005121,5.327979351513279e-15,5.504888957165468e-13,MEN1
103,ENSG00000100385,2384.9154974115054,1.01309610032743,0.12970391711447277,7.810836579694828,5.680963515065464e-15,5.813155166089103e-13,MEN1
104,ENSG00000197329,259.1293823292761,1.0802764625576577,0.13834178961321028,7.808750093359366,5.775789304895352e-15,5.853899979304414e-13,MEN1
105,ENSG00000164649,512.533938892604,-0.701156024417105,0.09029184427166986,-7.76544138701463,8.136138388064833e-15,8.168375917526976e-13,MEN1
106,ENSG00000145649,2333.4720839158367,2.4232747554754748,0.3125812890195003,7.752462609252019,9.012735952327235e-15,8.963881869594994e-13,MEN1
107,ENSG00000173821,1850.4025295217743,1.3205762814855408,0.17072483453716658,7.735115310350781,1.033094243498184e-14,1.0179804573433033e-12,MEN1
108,ENSG00000198176,950.3766969942077,-0.4941149214159986,0.06415890214776857,-7.701424196411126,1.3455798976224798e-14,1.3137303917888468e-12,MEN1
109,ENSG00000164932,32.823172436008406,2.1412205855874253,0.27861008164111856,7.685366491315849,1.525596281405012e-14,1.4759450569738309e-12,MEN1
110,ENSG00000100368,73.00620481322427,2.0514976163228926,0.26718468413379354,7.6782006535060185,1.6133864587872003e-14,1.5468160985958006e-12,MEN1
111,ENSG00000006756,30.61200129040794,1.5894290987775146,0.20805173103406016,7.639586034097015,2.1792125062767176e-14,2.070641026053288e-12,MEN1
112,ENSG00000120254,472.0992078061587,-0.7852299428889036,0.10300336717420436,-7.6233424637554235,2.4718992819190202e-14,2.3279603679807266e-12,MEN1
113,ENSG00000267120,259.12087576754504,0.834604118837339,0.1096483152429962,7.611645623443808,2.7062774720534538e-14,2.5263337594379696e-12,MEN1
114,ENSG00000175550,1018.2840145249407,0.6009672650572252,0.0790167209296496,7.605570795481126,2.8364917848598328e-14,2.6248648325633338e-12,MEN1
115,ENSG00000176973,308.7936624214287,0.8999352214684595,0.1183500013478453,7.604015303924149,2.8708128264644085e-14,2.6337232844167445e-12,MEN1
116,ENSG00000140563,229.20160077258734,1.314799122921519,0.17333110882259484,7.585476905171256,3.312663259552235e-14,3.013107898132896e-12,MEN1
117,ENSG00000117984,666.9593014300004,0.9061851167152722,0.11988461507851272,7.558810745830976,4.067712365616735e-14,3.668524999567228e-12,MEN1
118,ENSG00000182636,40.27322286635197,1.381536052626015,0.18296749851327498,7.550718372671961,4.3286395050416495e-14,3.871040471651532e-12,MEN1
119,ENSG00000130487,86.2716089243058,1.7727634270952273,0.2350103907299118,7.543340622468879,4.5808259005470965e-14,4.0624291028018505e-12,MEN1
120,ENSG00000005238,40.91628645663218,1.6700377410429224,0.22178708742714323,7.529914209236944,5.0773671404411483e-14,4.465565380873942e-12,MEN1
121,ENSG00000109861,1343.4285886810048,0.613864109073775,0.08160636154068543,7.522258038274733,5.383819299999936e-14,4.696279097590108e-12,MEN1
122,ENSG00000124334,80.40888154779066,1.4552872027932635,0.19367753276366015,7.51397016487769,5.736066230758153e-14,4.962863156725875e-12,MEN1
123,ENSG00000134107,2122.2063383757286,0.8938148579630547,0.1190047389274755,7.510750126579145,5.87895116814032e-14,5.0454676073668775e-12,MEN1
124,ENSG00000292373,80.4216030062948,1.454125282602044,0.1936770097383143,7.50799118887047,6.004154540814378e-14,5.111697009867729e-12,MEN1
125,ENSG00000011422,88.22168849803406,1.9388586417073375,0.25835631420005944,7.504591663302539,6.162037973922394e-14,5.2044768348001675e-12,MEN1
126,ENSG00000132330,312.36624352916107,-0.7904268175127453,0.1054014636048812,-7.4992015336316475,6.420774435695206e-14,5.3537323619661545e-12,MEN1
127,ENSG00000112759,704.489940545385,-0.7289821990139579,0.09721289012250095,-7.498822410231247,6.439369877200412e-14,5.3537323619661545e-12,MEN1
128,ENSG00000188313,722.3700900490217,1.3274230437567092,0.17714444605744198,7.493449968655922,6.70864130961809e-14,5.534369055577963e-12,MEN1
129,ENSG00000145839,843.6505033877003,3.3343168975201,0.44639949278215374,7.469356375696581,8.058801360822063e-14,6.597058775528338e-12,MEN1
130,ENSG00000138814,341.7523952411616,0.6146142228213379,0.0824248171384411,7.456664681330492,8.874016245281071e-14,7.208952739105432e-12,MEN1
131,ENSG00000023171,779.1414623291347,1.19100681879738,0.15979653544313616,7.4532705949760825,9.105425894279894e-14,7.340904724767168e-12,MEN1
132,ENSG00000163823,74.21923583661233,4.191324377367196,0.5639292705872334,7.432358268977007,1.0667838317724678e-13,8.535874840392934e-12,MEN1
133,ENSG00000178685,169.2562591280356,0.8708528371936419,0.11729342772444232,7.424566355410282,1.1315000754085362e-13,8.986137166043015e-12,MEN1
134,ENSG00000119977,633.2923657119644,0.9221120111740563,0.1243629203944451,7.414686051512539,1.2191325346773403e-13,9.597575927126709e-12,MEN1
