target,target_corrected,culture_condition,guide_id,downreg_gene,seed_match_len,hamming_dist,log_fc,adj_pval,corr_de_all,pval_de_all,corr_de_signif,pval_de_signif,n_de_signif,pval_signif_min,distal_offtarget
CCDC136,CCDC136,Rest,CCDC136-1,NXT2,11,6,-1.3023818114367949,0.0001426166662059,0.036,0.0001116134604478,-0.166,0.3721303455961349,31,,0.0
CHUK,CHUK,Stim48hr,CHUK-1,NINJ1,11,8,-1.3020940487135533,0.0006487232646295,-0.0466,5.66036148494216e-07,-0.8212,0.0882500983027694,5,,0.0
ATPAF2,ATPAF2,Rest,ATPAF2-1,TMEM259,11,7,-1.3020224249314811,8.052039917346867e-06,-0.0991,1.5183249529214182e-26,-0.076,0.627979809166279,43,,0.0
ANKRD16,ANKRD16,Stim8hr,ANKRD16-1,PRDX6,11,7,-1.3014415129078842,0.0292276680344648,-0.0008,0.927803548515816,0.0308,0.8502104974689035,40,0.8502104974689035,0.0
ATM,ATM,Stim8hr,ATM-1,TAGLN2,11,6,-1.2994845088348723,1.9101521132382694e-15,0.0408,1.1670931739600569e-05,0.0727,0.907509086558045,5,0.907509086558045,0.0
ZNF613,ZNF613,Stim8hr,ZNF613-2,NUDT9,11,6,-1.2988590685072674,1.6750643675888189e-15,-0.0453,1.1757996241897338e-06,-0.1602,2.632045593217205e-05,682,,0.0
PHF10,PHF10,Stim48hr,PHF10-2,PAK2,11,8,-1.2977420363765084,0.0047984769668219,0.0282,0.0024550207141105,0.0538,0.6084119109198084,93,0.6084119109198084,0.0
GJC1,GJC1,Rest,GJC1-1,NIBAN1,11,7,-1.2947295982927192,3.055498190459448e-09,0.1748,1.0145506845972872e-79,0.0111,0.9292942529190074,66,0.9292942529190074,0.0
MORN1,MORN1,Rest,MORN1-1,SERPINB1,11,7,-1.2947223099254357,2.807822011378692e-07,-0.0459,8.321935002933193e-07,0.3625,0.6375057555445329,4,0.6375057555445329,0.0
TPD52,TPD52,Rest,TPD52-1,TMEM237,11,8,-1.2940553014029808,0.0217939950603867,-0.0112,0.2275725897859974,-0.0618,0.6420064376374834,59,,0.0
MAF,MAF,Rest,MAF-2,LAP3,11,6,-1.2937734547901716,6.663866064281326e-05,0.0265,0.0044203752788023,-0.3024,0.3152551764133989,13,,0.0
WIPI2,WIPI2,Rest,WIPI2-1,THOC6,11,7,-1.2931562846340094,0.0033205002874834,-0.0041,0.6588790417944258,0.126,0.1758932395743299,117,0.1758932395743299,0.0
CCDC69,CCDC69,Rest,CCDC69-1,TGFB1,11,7,-1.2929396451153006,0.0255563947488943,0.0847,8.436694802003863e-20,0.2262,0.3374779905357166,20,0.3374779905357166,0.0
LRP6,LRP6,Stim48hr,LRP6-1,C2orf76,11,6,-1.292576369725441,7.319819552002428e-08,0.0657,1.6762423318247036e-12,0.3833,0.0078309543465695,47,0.0078309543465695,0.0
NEURL1,NEURL1,Stim8hr,NEURL1-2,ARRB2,11,4,-1.2924580080572827,1.6309087943828803e-06,,,,,0,,0.0
ZBED1,ZBED1,Stim48hr,ZBED1-2,CD7,11,7,-1.2921833922612738,0.0052636227151493,-0.032,0.0005864237004456,0.2909,0.3350007720936722,13,0.3350007720936722,0.0
