,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
88778,ENSG00000172037,29.270472909356933,-0.652431476407972,0.4918042231872791,-1.3266081209707832,0.18463834807209134,0.25293075233873674,ELOB
88779,ENSG00000078070,103.74013979261407,0.12741245446359853,0.09612222082500588,1.3255254962903709,0.1849969187269752,0.25339172469639953,ELOB
88780,ENSG00000205189,31.887243252170585,-0.27952190262999577,0.2109169042916587,-1.3252702696767686,0.18508152604011507,0.253472358337688,ELOB
88781,ENSG00000167083,36.94942908183498,-0.2516544866559058,0.18989713382540907,-1.3252147706835653,0.18509992767768302,0.253472358337688,ELOB
88782,ENSG00000213614,163.3434715312985,0.12844858740389922,0.09696279997580985,1.3247202786629964,0.18526394469702312,0.25366671493148674,ELOB
88783,ENSG00000109016,64.84924061559077,0.14329314113180153,0.10819720644353008,1.3243700631641409,0.1853801719523639,0.25379197418863836,ELOB
88784,ENSG00000169231,13.914685417219985,-0.3021923925799265,0.22818830705923868,-1.3243114709706665,0.1853996224155573,0.25379197418863836,ELOB
88785,ENSG00000185507,140.73055850345608,-0.2973540216137276,0.22473186598676956,-1.323150236429904,0.1857854212118969,0.25428978222126514,ELOB
88786,ENSG00000168795,36.3485703376333,-0.19487456301373174,0.14729219887479347,-1.3230474152903775,0.1858196102259343,0.25430627066788075,ELOB
88787,ENSG00000152348,154.16963200358495,0.14529077068847743,0.10982486636889895,1.3229314588961065,0.18585817241858305,0.25432873945280904,ELOB
88788,ENSG00000124466,7.79485069088948,-0.47269882851777273,0.35820215681112266,-1.31964260831356,0.18695436995650938,0.25579830104247203,ELOB
88789,ENSG00000254685,48.80419106850874,-0.17587758860117536,0.13330776666037847,-1.319334897037544,0.18705717611861172,0.2559084773939554,ELOB
88790,ENSG00000124608,69.62759233036502,-0.11481178675082664,0.08706821467866144,-1.3186417933864512,0.1872888945765696,0.2561949683434852,ELOB
88791,ENSG00000134900,525.5254590032426,-0.09009050407233289,0.06837781784461017,-1.317539911511438,0.18765771199829273,0.2566689082172671,ELOB
88792,ENSG00000119977,458.6963289817007,0.14527739358817746,0.11028370307405087,1.3173060891021204,0.18773604498973062,0.2567454723394923,ELOB
88793,ENSG00000175931,228.44161016960936,0.10073051820901564,0.0764765360707153,1.31714279155993,0.18779076571262676,0.25678973023092255,ELOB
88794,ENSG00000280670,18.33324440568723,0.2206095750308881,0.16759247752801626,1.3163453293660452,0.18805816303048384,0.25712476219108416,ELOB
88795,ENSG00000100564,121.32572017361768,0.11984314188116174,0.09107386304710446,1.3158895194681428,0.18821112693085895,0.2573032725628991,ELOB
88796,ENSG00000090674,28.05101990481804,0.2010278988834559,0.15281660215025505,1.315484679379258,0.18834706297717096,0.2574584644480848,ELOB
88797,ENSG00000168096,39.449773840165484,-0.21633130286969535,0.16451386471390395,-1.3149730768643964,0.18851895098367533,0.2576627575922303,ELOB
