index,target_contrast_gene_name,culture_condition,target_contrast,chunk,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,target_baseMean,neighboring_gene_KD,n_total_genes_category,distal_offtarget_flag,low_target_gex,n_guides,single_guide_estimate,n_downstream,guide_correlation_signif,guide_correlation_signif_pval,guide_correlation_all,guide_correlation_all_pval,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_all_min,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000010803_Stim8hr,SCMH1,Stim8hr,ENSG00000010803,108,673.0,0,0,0,-4.114997491819528,False,14.512191931500483,False,no effect,False,False,2.0,False,0,,,0.0476731437254993,3.076006501194203e-07,1.0,,,,
ENSG00000047634_Rest,SCML1,Rest,ENSG00000047634,526,745.0,1,0,1,-0.895425576715914,False,0.4703321582863071,False,1 DE gene,False,True,2.0,False,1,,,-0.0016090744390622,0.8629105360321123,2.0,,,,
ENSG00000047634_Stim48hr,SCML1,Stim48hr,ENSG00000047634,446,731.0,4,0,4,-1.62467733685065,False,0.711319050816176,False,2-10 DE genes,False,True,2.0,False,4,0.9657978416014964,0.166981181936397,0.0014533581098335,0.8760642559758497,2.0,,,,
ENSG00000047634_Stim8hr,SCML1,Stim8hr,ENSG00000047634,339,684.0,0,0,0,-1.2807669748311985,False,0.5671188889448339,False,no effect,False,True,2.0,False,0,,,0.0295725176304899,0.0015028645321723,1.0,,,,
ENSG00000102098_Rest,SCML2,Rest,ENSG00000102098,2,667.0,0,1,1,-2.776262566934566,False,1.126462516815673,False,1 DE gene,False,False,2.0,False,1,,,0.136382829859512,6.0733154956939345e-49,2.0,,,,
ENSG00000102098_Stim48hr,SCML2,Stim48hr,ENSG00000102098,280,644.0,1,0,1,-3.239939812236095,False,1.7370414311237004,False,1 DE gene,False,False,2.0,False,1,-1.0,1.0,0.1601635376020508,4.787968526534416e-67,2.0,,,,
ENSG00000102098_Stim8hr,SCML2,Stim8hr,ENSG00000102098,418,624.0,0,1,1,-4.919669270016674,True,4.041356847265,False,1 DE gene,False,False,2.0,False,0,,,0.1150386127180086,3.113136131873142e-35,2.0,,,,
ENSG00000146285_Rest,SCML4,Rest,ENSG00000146285,316,1065.0,0,0,0,-3.829164692627604,False,2.3054646287505234,False,no effect,False,False,2.0,False,0,,,0.1864139807628415,1.430018723762189e-90,2.0,,,,
ENSG00000146285_Stim48hr,SCML4,Stim48hr,ENSG00000146285,607,1017.0,0,0,0,-1.7155627817273371,False,0.4560638205048927,False,no effect,False,True,2.0,False,0,,,0.0982962039493464,3.941540119097088e-26,2.0,,,,
ENSG00000146285_Stim8hr,SCML4,Stim8hr,ENSG00000146285,456,924.0,0,0,0,-2.51354203769822,False,0.8756551963168401,False,no effect,False,True,2.0,False,0,,,0.1274616208840129,6.3532605907460565e-43,2.0,,,,
ENSG00000196876_Rest,SCN8A,Rest,ENSG00000196876,584,488.0,0,0,0,-0.774340494042488,False,0.3790032092763968,False,no effect,False,True,2.0,False,0,,,,,,,,,
ENSG00000196876_Stim48hr,SCN8A,Stim48hr,ENSG00000196876,405,513.0,0,0,0,-0.6128707187021816,False,0.4635781725688324,False,no effect,False,True,2.0,False,0,,,,,,,,,
ENSG00000196876_Stim8hr,SCN8A,Stim8hr,ENSG00000196876,559,417.0,1,0,1,-0.6301217904865503,False,0.3106833684308993,False,1 DE gene,False,True,2.0,False,1,,,,,,,,,
ENSG00000163156_Rest,SCNM1,Rest,ENSG00000163156,13,547.0,0,2,2,-9.645578764243398,True,56.39656430750816,False,2-10 DE genes,False,False,2.0,False,1,-1.0,1.0,0.0495400462390804,1.040967255271027e-07,2.0,,,,
ENSG00000163156_Stim48hr,SCNM1,Stim48hr,ENSG00000163156,498,525.0,0,2,2,-10.618762475289442,True,78.11777849058535,False,2-10 DE genes,False,False,2.0,False,1,1.0,1.0,-0.0164450524858648,0.077590187439436,2.0,,,,
ENSG00000163156_Stim8hr,SCNM1,Stim8hr,ENSG00000163156,651,491.0,0,2,2,-14.665510709655535,True,86.0975572595556,False,2-10 DE genes,False,False,2.0,False,1,0.9277162227624608,0.2435381219036231,0.0399790713039866,1.7716524233324608e-05,2.0,,,,
ENSG00000162572_Rest,SCNN1D,Rest,ENSG00000162572,281,972.0,0,0,0,-1.4326590638228098,False,0.4124096353419874,False,no effect,False,True,1.0,True,0,,,0.0515336118393356,3.134304020420733e-08,1.0,,,,
ENSG00000162572_Stim48hr,SCNN1D,Stim48hr,ENSG00000162572,576,1042.0,0,0,0,-1.942663749086124,False,0.6138284252687117,False,no effect,False,True,1.0,True,0,,,-0.0392875868422093,2.4692632607393624e-05,1.0,,,,
ENSG00000162572_Stim8hr,SCNN1D,Stim8hr,ENSG00000162572,202,905.0,0,0,0,-0.2932881773383872,False,0.3153140597673435,False,no effect,False,True,1.0,True,0,,,0.0644293535455294,4.480723916087132e-12,1.0,,,,
ENSG00000133028_Rest,SCO1,Rest,ENSG00000133028,591,455.0,30,13,43,-4.685024401249478,True,5.132595636619399,True,10-50 DE genes,False,False,2.0,False,42,,,,,,0.0444777811634888,0.0164035941078609,0.8975693126970604,0.8792115993988261
ENSG00000133028_Stim48hr,SCO1,Stim48hr,ENSG00000133028,1,229.0,685,534,1219,-2.9564535014829434,False,7.39838194873548,True,>50 DE genes,False,False,2.0,False,1219,,,,,,0.2179020450730411,0.0750155804777089,0.7386334319292827,0.6754932969331658
ENSG00000133028_Stim8hr,SCO1,Stim8hr,ENSG00000133028,34,397.0,268,133,401,-6.583892416859491,True,12.619366941159935,True,>50 DE genes,False,False,2.0,False,400,,,,,,0.0703729340212054,0.0446484596501602,0.6931558472804716,0.6443460452404005
ENSG00000284194_Rest,SCO2,Rest,ENSG00000284194,592,743.0,37,16,53,-10.584588738225795,True,16.119682762587722,True,>50 DE genes,False,False,2.0,False,52,0.635954765167977,0.1247184059603631,0.0167021298324608,0.0730632257571016,2.0,0.0706224136152013,0.0591419256262174,0.8024471278611996,0.6916023076754227
ENSG00000284194_Stim48hr,SCO2,Stim48hr,ENSG00000284194,134,600.0,117,83,200,-6.85879033176327,False,11.729983096890798,True,>50 DE genes,False,False,2.0,False,200,0.0667392928755324,0.7679239607900912,0.0788226792259788,2.41904089983342e-17,2.0,0.1144342106363968,0.1053556830488251,0.8124966939160524,0.8001230368580677
ENSG00000284194_Stim8hr,SCO2,Stim8hr,ENSG00000284194,310,732.0,225,144,369,-16.214175858488886,True,41.82020414986863,True,>50 DE genes,False,False,2.0,False,368,0.4190386220388828,6.313777399895179e-07,0.0718038947104047,1.2073871964101352e-14,2.0,0.1157688314014865,0.0779535006354377,0.8292246771593833,0.7671985080564405
ENSG00000153130_Rest,SCOC,Rest,ENSG00000153130,337,1801.0,0,3,3,-13.725785881602125,True,12.761953866882989,False,2-10 DE genes,False,False,2.0,False,2,0.2717552538468931,0.4188698434358388,-0.025855839955345,0.0055191222837878,2.0,,,,
ENSG00000153130_Stim48hr,SCOC,Stim48hr,ENSG00000153130,314,1627.0,0,4,4,-22.946671270915104,True,38.9418385411744,False,2-10 DE genes,False,False,2.0,False,3,0.2684943259875332,0.5604401537213831,0.0031490432710392,0.7354192484890953,2.0,,,,
ENSG00000153130_Stim8hr,SCOC,Stim8hr,ENSG00000153130,540,1709.0,1,6,7,-15.752516722965035,True,18.823897746491337,False,2-10 DE genes,False,False,2.0,False,6,0.6757460965012323,0.0658475287754857,-0.0376222810117931,5.3751025288442816e-05,2.0,,,,
ENSG00000116171_Rest,SCP2,Rest,ENSG00000116171,380,1161.0,1,2,3,-8.056867984610884,True,119.08289485871212,False,2-10 DE genes,False,False,2.0,False,2,-1.0,1.0,0.0346360152856073,0.0002008725851987,2.0,,,,
