variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
SLC22A23,131.22358485469542,2.2809616586276835,0.09412277622599449,24.233896938515247,9.7761172732341e-130,3.900670792020406e-127,Th2_vs_Th1,24.233896938515247
EPHA1-AS1,194.40326479348784,2.245951604709175,0.09318012596501977,24.103332995625212,2.3064412667460344e-128,9.054269998601892e-126,Th2_vs_Th1,24.103332995625216
KLHL3,210.336797104487,1.4523782086654107,0.060553325289206046,23.985110672762755,3.977225393097362e-127,1.5365347435332808e-124,Th2_vs_Th1,23.985110672762755
SAMD3,988.55834230009,-1.6574746784104482,0.06923954282376657,-23.93826722150912,1.2243324228592371e-126,4.656097943745464e-124,Th2_vs_Th1,-23.93826722150912
S100PBP,475.540547102672,-0.8376795947038689,0.03500049803752723,-23.933362142610548,1.377137419647974e-126,5.156638101048006e-124,Th2_vs_Th1,-23.933362142610545
IL2,12.250515425554905,3.433762732627754,0.14484416600627836,23.70660018491125,3.0826481395493595e-124,1.136796561643816e-121,Th2_vs_Th1,23.70660018491125
TESPA1,2560.994498265489,0.7847284047093754,0.0331474223982267,23.673889187575455,6.699925762371015e-124,2.433873031796241e-121,Th2_vs_Th1,23.673889187575455
GCNT4,120.17878089240256,2.1301243227911226,0.09004905207940676,23.655155424764974,1.0445913307719847e-123,3.7388688823028434e-121,Th2_vs_Th1,23.655155424764974
RASGRF2,470.7649807596035,-1.3357741511854588,0.05666604735098242,-23.572742649788868,7.338939917946992e-123,2.588731284969737e-120,Th2_vs_Th1,-23.572742649788868
RFFL,845.09936326083,0.6649794474110019,0.028385192656673736,23.42698376065651,2.269406799504711e-121,7.89072744187788e-119,Th2_vs_Th1,23.426983760656505
IL2RB,1182.9923083202482,-1.3591377615856912,0.058241663923692163,-23.336176716489838,1.904110931760695e-120,6.527345911003318e-118,Th2_vs_Th1,-23.336176716489838
TRIB2,2097.2705876281843,0.9372276742761998,0.040265389130594256,23.27626019548585,7.713747948095389e-120,2.6075682126207458e-117,Th2_vs_Th1,23.276260195485854
TNFSF10,1002.8435605066359,0.9277295557952208,0.040036333104536886,23.17219095397353,8.686857394274243e-119,2.89629345368823e-116,Th2_vs_Th1,23.172190953973534
RCBTB2,636.1710447508634,1.337569040367797,0.05778039869856572,23.149183295632042,1.4815503089095987e-118,4.872899049804152e-116,Th2_vs_Th1,23.14918329563204
NOL11,1177.8088112995035,0.6045655770671184,0.026136313789197445,23.131248803608834,2.2453675636487134e-118,7.286666817552804e-116,Th2_vs_Th1,23.131248803608834
CLIC3,33.6988790926604,-3.618589480435542,0.15679821280166234,-23.078002075270966,7.701468196647408e-118,2.4663951899763327e-115,Th2_vs_Th1,-23.078002075270966
HAVCR2,69.31858395616239,-2.7111969268714513,0.11758827586530657,-23.056694274325753,1.2601876486840495e-117,3.9833385949767633e-115,Th2_vs_Th1,-23.056694274325753
ASAP1,530.3832965019392,0.9929624639517031,0.04321314275209131,22.978251539079473,7.692219729813338e-117,2.4002684103067543e-114,Th2_vs_Th1,22.978251539079473
IL12RB2,78.57469203379902,-3.9491475605965767,0.17257675440408246,-22.883426995908067,6.794750466961414e-116,2.093385210321188e-113,Th2_vs_Th1,-22.883426995908064
WHRN,26.425730750077967,-3.4743915096916522,0.15207477342982553,-22.84659994114606,1.579677733478544e-115,4.805972044391786e-113,Th2_vs_Th1,-22.84659994114606
GALT,2115.7652415805114,0.8980497198593013,0.039586742468252556,22.685618059619625,6.212795470800314e-114,1.8668299872075163e-111,Th2_vs_Th1,22.68561805961962
FXYD2,13.47861291754948,-5.7627320192242895,0.2543561819460206,-22.656150816288218,1.2133305520352568e-113,3.601372232437331e-111,Th2_vs_Th1,-22.656150816288218
PACSIN1,15.465313955521932,-5.799017162704094,0.2560869000154227,-22.644723968132894,1.5725440918856198e-113,4.61134345209688e-111,Th2_vs_Th1,-22.64472396813289
PI16,416.23841405188125,2.54343570101362,0.1125537589071925,22.59751896079134,4.5841451508461066e-113,1.3282560574576594e-110,Th2_vs_Th1,22.597518960791344
SPSB1,76.36637870621671,1.9996968581558963,0.08859355490529665,22.571583906904973,8.243945866386554e-113,2.3605811581409685e-110,Th2_vs_Th1,22.571583906904976
LINC02084,35.81515712980173,-4.710584301062237,0.2089835225189101,-22.540457947520693,1.6658680904403716e-112,4.714600401538163e-110,Th2_vs_Th1,-22.540457947520697
SLC9A9,518.0944449279546,0.9493040203934288,0.0422831467005801,22.451120469243715,1.2478650245980266e-111,3.4910099808840654e-109,Th2_vs_Th1,22.451120469243715
CRTAM,49.70866338828749,-5.493662378464887,0.24499616301496524,-22.423462926353313,2.3238429955735846e-111,6.427274394234713e-109,Th2_vs_Th1,-22.423462926353317
CCR8,259.53981812245866,4.752676782191222,0.21249470717388091,22.366094880199462,8.419231433479387e-111,2.3024233017916268e-108,Th2_vs_Th1,22.366094880199462
PNMA1,770.7011147328552,0.6116240676280258,0.02736562097532418,22.35008912019693,1.205030349998588e-110,3.258803743179515e-108,Th2_vs_Th1,22.350089120196927
PTK2,132.1914248778226,2.7404233402175855,0.12267797144390968,22.33834899585498,1.5672962492104538e-110,4.191914660388267e-108,Th2_vs_Th1,22.33834899585498
AC005842.1,222.98224079732432,2.1706331381506834,0.09728346330069484,22.312457477397185,2.796995251603618e-110,7.39957254660657e-108,Th2_vs_Th1,22.312457477397185
GSTK1,6215.646660760504,0.5367770771565166,0.02422385513090258,22.159027712799748,8.537411937516323e-109,2.234323324163546e-106,Th2_vs_Th1,22.159027712799745
VPS37B,239.62994705978133,-0.8724359851888847,0.039464805670372305,-22.10668392683496,2.725755693786839e-108,7.057677428838071e-106,Th2_vs_Th1,-22.10668392683496
RFPL2,40.90637844442367,3.10217955339239,0.1406074241693131,22.06270096845588,7.214401902025134e-108,1.8483297672988393e-105,Th2_vs_Th1,22.062700968455875
AC034238.1,23.40684464629948,-7.380523153205823,0.33515279870386816,-22.021368109556057,1.7975453609930333e-107,4.55733922304265e-105,Th2_vs_Th1,-22.021368109556057
SLK,1318.2490970251572,-0.5865526686910859,0.02668870174533455,-21.977564674670667,4.7211726392686023e-107,1.1846249573933867e-104,Th2_vs_Th1,-21.977564674670663
APOBEC3C,986.309563061021,-0.9396621471353015,0.042834644603531015,-21.936966113122406,1.1534378252739901e-106,2.864645227484046e-104,Th2_vs_Th1,-21.93696611312241
STN1,813.3992985399163,-0.5792036609569947,0.02651044845892383,-21.848127611059926,8.098583302971244e-106,1.9910244344547181e-103,Th2_vs_Th1,-21.848127611059923
CNIH4,540.0664769143975,0.6622274348686368,0.030376226043336993,21.80084629090703,2.2776678342444337e-105,5.543615741767527e-103,Th2_vs_Th1,21.800846290907028
STAM,425.06908533993635,1.1126280654013194,0.051288638139106286,21.693460886670895,2.365078177500084e-104,5.6993700754628266e-102,Th2_vs_Th1,21.693460886670895
ANKRD13A,1443.9198953830194,0.564937304301,0.026061130815214467,21.677390298474307,3.3536408650380363e-104,8.002378922956939e-102,Th2_vs_Th1,21.67739029847431
IRF8,30.811259812789764,-4.433922425950531,0.20497748303511762,-21.631265836115727,9.12448871209115e-104,2.1561255413940437e-101,Th2_vs_Th1,-21.631265836115727
GLB1,629.3625355317329,0.6683714016883465,0.030903695428638234,21.627555941706945,9.888529926316436e-104,2.3142012488136128e-101,Th2_vs_Th1,21.62755594170694
ENG,97.26914932940183,-1.571822916644495,0.0728405767321211,-21.578946614124696,2.8324738183560927e-103,6.565674310949423e-101,Th2_vs_Th1,-21.5789466141247
SMAD3,611.6760731410684,-1.0635479685700222,0.04941013899437718,-21.52489327526589,9.102973068460862e-103,2.0901628444648013e-100,Th2_vs_Th1,-21.52489327526589
KLF7,365.6082315290664,1.326315837803895,0.06164328381618514,21.515982856443085,1.1031661569671183e-102,2.5093421583572606e-100,Th2_vs_Th1,21.515982856443088
RTKN2,221.1123051737009,2.8181432859412845,0.13106126496829373,21.502488066348576,1.4756103478428659e-102,3.325451875569214e-100,Th2_vs_Th1,21.502488066348576
ANKRD55,456.34537859219097,2.0804606256436085,0.09685340539540781,21.48051085194214,2.368870384543253e-102,5.289535439394333e-100,Th2_vs_Th1,21.480510851942135
MRPL10,467.0020219976621,-0.7540048137058138,0.035204992436166385,-21.41755363455833,9.167890126741908e-102,2.0285207072251935e-99,Th2_vs_Th1,-21.417553634558328
ENPP5,38.121409292998095,-4.463127543020749,0.20843399400799678,-21.412666222043974,1.0181770238279007e-101,2.2325595119772318e-99,Th2_vs_Th1,-21.412666222043978
EPHA1,383.54847735819624,1.3715054386733823,0.0643630947591465,21.308879627458875,9.391578329976299e-101,2.0409073658329745e-98,Th2_vs_Th1,21.30887962745888
CDKN2C,68.12235854151847,-1.3686234400540445,0.06424923942729421,-21.301784305210454,1.0927834303680454e-100,2.3537394612148545e-98,Th2_vs_Th1,-21.301784305210454
RHOC,77.31840070648914,-2.015191619741123,0.09488519785276316,-21.23820854405731,4.237443671572298e-100,9.046942238806856e-98,Th2_vs_Th1,-21.23820854405731
GCSAM,495.47349781319616,1.2441423453780625,0.05868661159537705,21.199764504312732,9.597547115380613e-100,2.031258254271728e-97,Th2_vs_Th1,21.199764504312732
GPR146,53.723854365380774,1.4808326180359939,0.0699835317685547,21.15972973375099,2.24505649164455e-99,4.710554306046267e-97,Th2_vs_Th1,21.159729733750993
IFNGR1,748.5935538162129,-0.8641867266957975,0.04138849858715072,-20.87987620222805,8.160300468446922e-97,1.6975517359105097e-94,Th2_vs_Th1,-20.87987620222805
PERP,103.37230711622102,-2.1021082774812934,0.1008943907855154,-20.834738790881087,2.0965539797311608e-96,4.3244090942946377e-94,Th2_vs_Th1,-20.83473879088109
GALNT10,546.1704522703673,-1.1748008721612715,0.05640433890448199,-20.828200365059498,2.4032271879721058e-96,4.91530643092883e-94,Th2_vs_Th1,-20.8282003650595
CERKL,611.5978255610274,-1.664512480821463,0.08020608027851323,-20.752946348225638,1.1530431083458927e-95,2.338659684502557e-93,Th2_vs_Th1,-20.752946348225635
E2F3,134.45583687399798,-1.6037895879464177,0.07757498831679098,-20.67405516578441,5.9316850755213126e-95,1.193151099612506e-92,Th2_vs_Th1,-20.67405516578441
PIGC,766.15799153394,0.5459867698462304,0.026556930588151922,20.559106709787326,6.379674033916647e-94,1.272744969766371e-91,Th2_vs_Th1,20.559106709787322
AKAP12,13.941915409885786,5.818502879658323,0.28370795512879726,20.508775924231127,1.7976152413012138e-93,3.557085964067499e-91,Th2_vs_Th1,20.508775924231127
STAT4,2403.949860472203,-0.8695770303775247,0.04248093547337067,-20.469818300555605,4.001093344104846e-93,7.853436363078052e-91,Th2_vs_Th1,-20.469818300555602
RDM1,6.719067055318059,-4.3194734443805896,0.212617789406191,-20.315672815732956,9.34606284890774e-92,1.8197905894365235e-89,Th2_vs_Th1,-20.31567281573296
