variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
RTKN2,861.1085474415054,3.327888332051992,0.5052500115090307,6.586617033639612,4.4996090120786746e-11,9.671831991997385e-09,Th2_vs_Th1,6.586617033639612
MRPL10,812.4294276174562,-1.0159030685999986,0.15502492000844595,-6.553159766472713,5.6332190714517804e-11,1.1903278332845652e-08,Th2_vs_Th1,-6.553159766472713
MAP3K5,990.3646322877864,-0.5684792840890339,0.08685708063415855,-6.544996446328479,5.949680044904573e-11,1.2362443519970884e-08,Th2_vs_Th1,-6.54499644632848
RHOC,161.4819733202907,-1.6000757514475905,0.24719675597027496,-6.472883291559041,9.615021984424266e-11,1.965089820980612e-08,Th2_vs_Th1,-6.472883291559041
IFNGR2,219.23619730881956,1.4962067621597006,0.2321059742854927,6.446222535915216,1.1467225368274481e-10,2.305837075262548e-08,Th2_vs_Th1,6.446222535915216
CYSLTR1,70.42150105385441,1.5651201490188482,0.24458353806701483,6.399123021067804,1.562718990565795e-10,3.092447246886312e-08,Th2_vs_Th1,6.399123021067804
TRAPPC10,2311.0593814972353,-0.39272532465745524,0.06198641903788113,-6.335667243778883,2.3631631811253097e-10,4.555057231603161e-08,Th2_vs_Th1,-6.335667243778883
CCR8,197.7304233266001,3.814895492788836,0.6022026263162416,6.334903446245477,2.3748994951007096e-10,4.555057231603161e-08,Th2_vs_Th1,6.334903446245477
TRIM2,74.88762582009372,1.4780993052879854,0.23596820003296642,6.263976692967461,3.75281591001553e-10,7.088841810630851e-08,Th2_vs_Th1,6.263976692967462
ABCB1,124.69384164858037,-4.389150259767061,0.7011936519060211,-6.259540781403603,3.8611275683355584e-10,7.184578715587971e-08,Th2_vs_Th1,-6.259540781403603
CAPG,226.15128837116043,1.3424122070476188,0.2152588471189602,6.236269612211343,4.48128490983272e-10,8.2159086721889e-08,Th2_vs_Th1,6.236269612211343
PLCL1,917.9000480732158,1.0011296152889413,0.1612829225767028,6.207288405335196,5.390661650969315e-10,9.690027566212025e-08,Th2_vs_Th1,6.207288405335196
GZMK,153.44597106191668,-9.812753004498697,1.5812143772374758,-6.205833406120719,5.440779093886595e-10,9.690027566212025e-08,Th2_vs_Th1,-6.205833406120719
GAB2,320.8687970190722,1.5040463319883859,0.24250033697857967,6.202244296762524,5.566358056706769e-10,9.774054351121591e-08,Th2_vs_Th1,6.202244296762523
DENND5A,701.4629223060671,1.3637525137397695,0.22068252947762496,6.17970311001914,6.42222606464175e-10,1.1120262826095652e-07,Th2_vs_Th1,6.1797031100191395
GNLY,55.62704359366535,-8.679454427182009,1.4066420643579367,-6.170336183671399,6.814494546474027e-10,1.1637849796012561e-07,Th2_vs_Th1,-6.170336183671398
EOMES,16.967139857058097,-4.7383716746684135,0.7742874316696069,-6.119654640978734,9.377838283878055e-10,1.5714427597513126e-07,Th2_vs_Th1,-6.119654640978733
LUZP1,493.4932656019138,-1.0145968861010928,0.165827915854564,-6.11837205377968,9.453614099731166e-10,1.5714427597513126e-07,Th2_vs_Th1,-6.118372053779681
RIPK2,270.9676426822951,-1.3276237283532806,0.21837861245564194,-6.079458576205367,1.2058902897984518e-09,1.9781360845943812e-07,Th2_vs_Th1,-6.079458576205367
IKZF2,1323.8471641384403,3.1004647112971124,0.5168325955220086,5.998972855350962,1.9856954494087703e-09,3.215021450360927e-07,Th2_vs_Th1,5.998972855350962
PARP8,1815.8290663675118,-0.6149194171250393,0.10256328716784172,-5.995511981970139,2.0284533762100554e-09,3.242144646309072e-07,Th2_vs_Th1,-5.9955119819701395
CADM1,32.75398742522083,2.454666695424058,0.41010240524510694,5.985496949126575,2.1573016639563572e-09,3.4044404866511273e-07,Th2_vs_Th1,5.985496949126575
FYCO1,1288.6816445078475,-0.7437756491313242,0.12570795179339744,-5.916695312590318,3.284743640117758e-09,5.118862370168512e-07,Th2_vs_Th1,-5.916695312590317
CST7,193.61447483771187,-2.072151621757585,0.3510274074076153,-5.903104937191952,3.567232091464389e-09,5.490454627689696e-07,Th2_vs_Th1,-5.903104937191952
KRT1,101.43071775635622,4.202245592924681,0.7199391869604024,5.836945215701684,5.3166567632322274e-09,8.032913448066297e-07,Th2_vs_Th1,5.836945215701685
IGSF9B,123.90532550110571,1.5942021838215945,0.2731685078941455,5.835966217743365,5.34797317870781e-09,8.032913448066297e-07,Th2_vs_Th1,5.835966217743364
GATA3,3086.247394941586,1.249162732703105,0.2143597043238335,5.827413956570835,5.6292856794063e-09,8.35479816251885e-07,Th2_vs_Th1,5.827413956570835
KLF7,980.7128115020934,0.9461841174707069,0.16267188949996153,5.816518885833256,6.008575697774503e-09,8.812813320488791e-07,Th2_vs_Th1,5.816518885833257
PRKCA,395.3145569327054,0.7468185779696533,0.1293973213632462,5.771514974975196,7.856197569812733e-09,1.1388745942192483e-06,Th2_vs_Th1,5.771514974975196
TMCC3,31.810681705117677,-4.4364092656542065,0.769078742518545,-5.768472095751925,7.999345478723772e-09,1.1462970124511409e-06,Th2_vs_Th1,-5.768472095751925
TBKBP1,91.98990337971371,-1.5688847309237968,0.27377637593441745,-5.730533635596155,1.0011517226337605e-08,1.4035941777826425e-06,Th2_vs_Th1,-5.730533635596155
NEDD4L,240.3403484168246,1.9782700343534787,0.3452243730406591,5.7303892449114135,1.0020043460548263e-08,1.4035941777826425e-06,Th2_vs_Th1,5.7303892449114135
C1orf162,199.48094210183964,1.7148698445638215,0.30097394883407774,5.697735140223722,1.2140946844761139e-08,1.68179093681819e-06,Th2_vs_Th1,5.697735140223723
RAB34,60.08450581633848,-1.754622424598393,0.309839905785969,-5.662996895598239,1.4875185190414322e-08,2.029511933026449e-06,Th2_vs_Th1,-5.662996895598239
NKG7,43.26795063112958,-6.414952224145027,1.133017526502019,-5.661829648787517,1.497674643767011e-08,2.029511933026449e-06,Th2_vs_Th1,-5.661829648787517
IRF8,23.74684368863511,-2.9918745258084507,0.5286256385400764,-5.659722699169897,1.5161778293366558e-08,2.03249344068173e-06,Th2_vs_Th1,-5.659722699169896
ZNF618,21.053365926792384,-2.6792626219670734,0.47452245769901086,-5.646229337509094,1.6400503681155305e-08,2.1751604190740765e-06,Th2_vs_Th1,-5.646229337509094
GOLGA7,1354.8122237836833,0.5097391538046876,0.0905837102521657,5.627271751021046,1.8308217957392176e-08,2.4026163502611397e-06,Th2_vs_Th1,5.627271751021047
LPCAT1,475.08797327717036,-0.620126092072925,0.11128685234060114,-5.572321249369027,2.513673515753192e-08,3.264371637593234e-06,Th2_vs_Th1,-5.572321249369027
LPAR6,542.401429785772,0.8962511031243592,0.16121252437420389,5.559438428269976,2.706440520582311e-08,3.4481834271564254e-06,Th2_vs_Th1,5.559438428269976
TMEM109,472.77378895636645,-1.11567345273493,0.20069047965148432,-5.559174778357147,2.7105316103419403e-08,3.4481834271564254e-06,Th2_vs_Th1,-5.559174778357147
GSE1,281.72911923135973,-1.1351336056224552,0.2043031619419677,-5.5561235314844994,2.758316966615019e-08,3.4735290528070142e-06,Th2_vs_Th1,-5.5561235314844994
PRDM8,423.8123034705801,-0.7834981224756344,0.14140502645117503,-5.540808146209458,3.0107893297453304e-08,3.7535510573935033e-06,Th2_vs_Th1,-5.540808146209457
S100PBP,303.953061184365,-0.8683535686791047,0.15717190633295003,-5.52486502797517,3.2973900182662625e-08,4.070154589873812e-06,Th2_vs_Th1,-5.52486502797517
MATK,74.79085619712133,-1.7998870495489192,0.32715367678197094,-5.501656185721061,3.762401046654075e-08,4.5986131224153285e-06,Th2_vs_Th1,-5.501656185721061
FHIT,274.2553502103687,1.7910961741962041,0.32604997364219673,5.493317954264678,3.944516918024673e-08,4.774397322040155e-06,Th2_vs_Th1,5.493317954264677
SCD,14.835989329965171,-2.803061581035009,0.5111405536684788,-5.483935017320206,4.159676221262746e-08,4.986411870238717e-06,Th2_vs_Th1,-5.483935017320206
SYT11,1136.969404737986,1.0334320337138825,0.1889197634047831,5.470216641652422,4.494858054235562e-08,5.3368947963956904e-06,Th2_vs_Th1,5.470216641652421
PSME4,2295.937767842732,-0.5618510830605519,0.10292404549750227,-5.458890391887935,4.791194101477241e-08,5.635077062558185e-06,Th2_vs_Th1,-5.458890391887936
SETD7,1881.2002057947943,-0.9379239920358574,0.17188365794896543,-5.456737442220014,4.849626319432216e-08,5.6504945162954616e-06,Th2_vs_Th1,-5.456737442220014
JAK2,249.3362963452687,-0.8109148497822831,0.14867596631215688,-5.454243008447672,4.918190606830624e-08,5.677322434755314e-06,Th2_vs_Th1,-5.454243008447671
CEBPD,34.23725225576577,-4.7798604808674625,0.8788995369882544,-5.438460574511988,5.37428987294901e-08,6.146905673950028e-06,Th2_vs_Th1,-5.438460574511988
DNAJC1,137.90704698028665,-1.0513799917297562,0.1935152886097373,-5.4330590584502945,5.5396062989578847e-08,6.265840902161119e-06,Th2_vs_Th1,-5.433059058450294
ABCA2,3167.8394607242844,-0.5295635511879538,0.0974931700384599,-5.431801540344285,5.578794739230642e-08,6.265840902161119e-06,Th2_vs_Th1,-5.431801540344285
MS4A1,11.710456781250306,-2.71211732788022,0.5023637520351848,-5.398712221757328,6.712093804176034e-08,7.471399415773447e-06,Th2_vs_Th1,-5.398712221757328
RAB27A,483.3242212259556,-0.7019466296355114,0.13033188114087707,-5.385839776813857,7.210717640973588e-08,7.955399719470596e-06,Th2_vs_Th1,-5.385839776813856
SH2D2A,618.522136444992,-0.6340741828513462,0.11789910263823566,-5.378108642581904,7.527239221072286e-08,8.231762400798964e-06,Th2_vs_Th1,-5.378108642581904
DIP2A,1812.064082149753,-0.5867142535385422,0.10927635772336813,-5.36908683416959,7.913631222476084e-08,8.579064387009508e-06,Th2_vs_Th1,-5.36908683416959
SLAMF7,13.498600297305973,-6.161786199940111,1.1487962136611485,-5.363689509650147,8.153901752729702e-08,8.763335616489758e-06,Th2_vs_Th1,-5.363689509650147
IL2,13.936045757060182,3.0150145103156176,0.566932815286043,5.3181160607089,1.0484718506530225e-07,1.1158523754936716e-05,Th2_vs_Th1,5.3181160607089
CHDH,53.79022310245637,4.943203812793913,0.9297350723646831,5.3167875018648,1.0561528860852911e-07,1.1158523754936716e-05,Th2_vs_Th1,5.3167875018648
ARAP2,1380.1490992654221,-0.7145737806270855,0.13461913116811672,-5.308114637396543,1.1076497316561472e-07,1.1604259835762342e-05,Th2_vs_Th1,-5.308114637396543
MFHAS1,1180.8119487424526,0.7567257994391658,0.14260721827877784,5.306363931451697,1.118335710142561e-07,1.161857608195609e-05,Th2_vs_Th1,5.306363931451696
TGIF1,719.8878864639116,-0.6799225802556393,0.13000972818786435,-5.229782338081267,1.6970973276909335e-07,1.745179626870381e-05,Th2_vs_Th1,-5.229782338081268
SSH2,1623.0536792309833,-0.5380975540677886,0.10291388567046411,-5.228619544993243,1.7078039181694593e-07,1.745179626870381e-05,Th2_vs_Th1,-5.228619544993242
GZMM,290.0830310505834,-1.1608446950974163,0.22305265647680905,-5.20435270053872,1.94673964798832e-07,1.973170991176454e-05,Th2_vs_Th1,-5.204352700538719
C16orf45,35.02393885194715,1.6652570215339655,0.3212039219082756,5.184423065698132,2.166845661650312e-07,2.178553618047939e-05,Th2_vs_Th1,5.184423065698131
SAMD3,234.72342421088018,-1.528784299582077,0.2954008385635848,-5.175287609256422,2.2756016371754892e-07,2.269594048853346e-05,Th2_vs_Th1,-5.175287609256422
PI16,373.46175162585695,1.5125966790234842,0.29301595829449273,5.162164845312842,2.4411017421548473e-07,2.4153345570987682e-05,Th2_vs_Th1,5.162164845312842
BHLHE40,3616.269388620065,-1.312231404496941,0.25452853196052116,-5.155537551681929,2.5290435084067983e-07,2.4826445212053194e-05,Th2_vs_Th1,-5.155537551681929
LAG3,145.21879695744724,-3.8626461241178287,0.7501561704146964,-5.149122644665451,2.617077224941256e-07,2.5489923252611436e-05,Th2_vs_Th1,-5.149122644665452
WSB2,447.81242987386946,-0.5457017506260521,0.10603176289602818,-5.146587548121332,2.6526769103450927e-07,2.5636374450598658e-05,Th2_vs_Th1,-5.146587548121332
ARPC5L,648.2044971125293,-0.6291977449826373,0.12247164417306397,-5.137497330349558,2.7842142193708403e-07,2.670061436376636e-05,Th2_vs_Th1,-5.137497330349559
RHBDD2,2880.7062419839726,0.7335409422871466,0.1431134768892569,5.125589554747317,2.966081375497609e-07,2.8227585120861596e-05,Th2_vs_Th1,5.125589554747316
AGTPBP1,703.934597957584,0.4724262908727727,0.0922754686001903,5.119738734892736,3.059592286840876e-07,2.8896922000034245e-05,Th2_vs_Th1,5.119738734892737
IFNG,61.068016072542314,-7.728838097662526,1.5123835552172034,-5.110369040314337,3.2153012599477717e-07,3.01392186524578e-05,Th2_vs_Th1,-5.110369040314338
