,power_analysis_key,donor_comb,lfc_correlation,target_name,depth_perc,n_cells,n_donors
4,split5_seed3214,donor_comb_4,0.15987025582689549,KLF2,50,182.0,2
5,split5_seed3214,donor_comb_5,0.4678944729794876,KLF2,50,314.0,2
6,split5_seed3214,donor_comb_6,0.3092146556533618,KLF2,50,65.0,2
7,split5_seed3214,donor_comb_7,0.587726008302104,KLF2,50,197.0,2
8,split5_seed3214,donor_comb_8,0.16525947996488335,KLF2,50,135.0,2
9,split5_seed3214,donor_comb_9,0.5425463491551501,KLF2,50,244.0,2
10,split5_seed3214,donor_comb_10,0.4760876226336325,KLF2,50,370.0,3
11,split5_seed3214,donor_comb_11,0.5663393778842996,KLF2,50,253.0,3
12,split5_seed3214,donor_comb_12,0.2624809924072052,KLF2,50,191.0,3
13,split5_seed3214,donor_comb_13,0.5170644717243683,KLF2,50,323.0,3
14,split5_seed3214,donor_comb_14,0.5154051953141104,KLF2,50,379.0,4
0,split5_seed3214,donor_comb_0,0.46176007735543895,MED12,50,62.0,1
1,split5_seed3214,donor_comb_1,0.47534398026754376,MED12,50,65.0,1
2,split5_seed3214,donor_comb_2,0.3441439313051581,MED12,50,12.0,1
3,split5_seed3214,donor_comb_3,0.3960516972486989,MED12,50,42.0,1
4,split5_seed3214,donor_comb_4,0.543166596092016,MED12,50,127.0,2
5,split5_seed3214,donor_comb_5,0.5224441334533829,MED12,50,77.0,2
6,split5_seed3214,donor_comb_6,0.5156794387066719,MED12,50,104.0,2
7,split5_seed3214,donor_comb_7,0.45278059952219024,MED12,50,54.0,2
8,split5_seed3214,donor_comb_8,0.5169411077342754,MED12,50,107.0,2
9,split5_seed3214,donor_comb_9,0.5112349681344732,MED12,50,74.0,2
10,split5_seed3214,donor_comb_10,0.5751356974863837,MED12,50,139.0,3
11,split5_seed3214,donor_comb_11,0.543434143098965,MED12,50,116.0,3
12,split5_seed3214,donor_comb_12,0.5592978112605785,MED12,50,169.0,3
13,split5_seed3214,donor_comb_13,0.5381597086567345,MED12,50,119.0,3
14,split5_seed3214,donor_comb_14,0.5759116398207671,MED12,50,181.0,4
0,split5_seed3214,donor_comb_0,0.59869945978657,MYB,50,444.0,1
1,split5_seed3214,donor_comb_1,0.2596631991034854,MYB,50,146.0,1
2,split5_seed3214,donor_comb_2,0.19450293231034155,MYB,50,211.0,1
3,split5_seed3214,donor_comb_3,0.3755701183405063,MYB,50,168.0,1
4,split5_seed3214,donor_comb_4,0.5813570583273601,MYB,50,590.0,2
5,split5_seed3214,donor_comb_5,0.30186352498490876,MYB,50,357.0,2
6,split5_seed3214,donor_comb_6,0.5878086313348506,MYB,50,612.0,2
7,split5_seed3214,donor_comb_7,0.3534112096144718,MYB,50,379.0,2
8,split5_seed3214,donor_comb_8,0.4045741179975385,MYB,50,314.0,2
9,split5_seed3214,donor_comb_9,0.5384662364412459,MYB,50,655.0,2
10,split5_seed3214,donor_comb_10,0.545162702126829,MYB,50,801.0,3
11,split5_seed3214,donor_comb_11,0.5515361042380618,MYB,50,823.0,3
12,split5_seed3214,donor_comb_12,0.5863380992795635,MYB,50,758.0,3
13,split5_seed3214,donor_comb_13,0.3946506863707887,MYB,50,525.0,3
14,split5_seed3214,donor_comb_14,0.5578452920680305,MYB,50,969.0,4
0,split5_seed3214,donor_comb_0,0.38001505981746575,PTEN,50,190.0,1
1,split5_seed3214,donor_comb_1,0.5469665524840602,PTEN,50,681.0,1
2,split5_seed3214,donor_comb_2,0.5207651403472181,PTEN,50,185.0,1
3,split5_seed3214,donor_comb_3,0.4780496079063857,PTEN,50,229.0,1
4,split5_seed3214,donor_comb_4,0.5516453732155834,PTEN,50,871.0,2
5,split5_seed3214,donor_comb_5,0.610879298362573,PTEN,50,866.0,2
6,split5_seed3214,donor_comb_6,0.49450845117748116,PTEN,50,419.0,2
7,split5_seed3214,donor_comb_7,0.552438402935898,PTEN,50,414.0,2
8,split5_seed3214,donor_comb_8,0.5889787764644526,PTEN,50,910.0,2
9,split5_seed3214,donor_comb_9,0.5321656959777306,PTEN,50,375.0,2
10,split5_seed3214,donor_comb_10,0.6052571670572039,PTEN,50,1056.0,3
11,split5_seed3214,donor_comb_11,0.5568676737938363,PTEN,50,604.0,3
12,split5_seed3214,donor_comb_12,0.5826652697265335,PTEN,50,1100.0,3
13,split5_seed3214,donor_comb_13,0.6196098328756343,PTEN,50,1095.0,3
14,split5_seed3214,donor_comb_14,0.6128405514036733,PTEN,50,1285.0,4
0,split5_seed3214,donor_comb_0,0.09368448895798397,STAT5B,50,15.0,1
1,split5_seed3214,donor_comb_1,0.19891730088623322,STAT5B,50,8.0,1
2,split5_seed3214,donor_comb_2,0.45961127940873586,STAT5B,50,53.0,1
