,power_analysis_key,donor_comb,lfc_correlation,target_name,depth_perc,n_cells,n_donors
10,split2_seed432,donor_comb_10,0.24605047512245803,FOXK1,100,57.0,3
11,split2_seed432,donor_comb_11,0.19166011635924549,FOXK1,100,41.0,3
12,split2_seed432,donor_comb_12,0.13860686849914242,FOXK1,100,34.0,3
13,split2_seed432,donor_comb_13,0.23442764129572005,FOXK1,100,51.0,3
14,split2_seed432,donor_comb_14,0.2427197043718024,FOXK1,100,61.0,4
0,split2_seed432,donor_comb_0,0.20538848784857533,GATA3,100,28.0,1
1,split2_seed432,donor_comb_1,0.12656099600535287,GATA3,100,12.0,1
2,split2_seed432,donor_comb_2,0.334991649699885,GATA3,100,89.0,1
3,split2_seed432,donor_comb_3,0.15036933703791536,GATA3,100,28.0,1
4,split2_seed432,donor_comb_4,0.24019563112562722,GATA3,100,40.0,2
5,split2_seed432,donor_comb_5,0.3458895457098693,GATA3,100,101.0,2
6,split2_seed432,donor_comb_6,0.2437861155702525,GATA3,100,56.0,2
7,split2_seed432,donor_comb_7,0.35262348521972475,GATA3,100,117.0,2
8,split2_seed432,donor_comb_8,0.1876915900926467,GATA3,100,40.0,2
9,split2_seed432,donor_comb_9,0.3616769456780283,GATA3,100,117.0,2
10,split2_seed432,donor_comb_10,0.3791512287709583,GATA3,100,129.0,3
11,split2_seed432,donor_comb_11,0.37759290617823305,GATA3,100,145.0,3
12,split2_seed432,donor_comb_12,0.2678217835744704,GATA3,100,68.0,3
13,split2_seed432,donor_comb_13,0.36221625460904056,GATA3,100,129.0,3
14,split2_seed432,donor_comb_14,0.3922800080295049,GATA3,100,157.0,4
0,split2_seed432,donor_comb_0,0.2605197357603924,IRF1,100,19.0,1
1,split2_seed432,donor_comb_1,0.27139450865089704,IRF1,100,107.0,1
2,split2_seed432,donor_comb_2,-0.06974465204210877,IRF1,100,13.0,1
3,split2_seed432,donor_comb_3,0.09470174884667128,IRF1,100,12.0,1
4,split2_seed432,donor_comb_4,0.42350928215992056,IRF1,100,126.0,2
5,split2_seed432,donor_comb_5,0.1655761117412421,IRF1,100,120.0,2
6,split2_seed432,donor_comb_6,0.2728973409476694,IRF1,100,31.0,2
7,split2_seed432,donor_comb_7,0.010230331708288425,IRF1,100,25.0,2
8,split2_seed432,donor_comb_8,0.31242127613704646,IRF1,100,119.0,2
9,split2_seed432,donor_comb_9,0.13396274929371635,IRF1,100,32.0,2
10,split2_seed432,donor_comb_10,0.2847319256179506,IRF1,100,139.0,3
11,split2_seed432,donor_comb_11,0.18806559054217048,IRF1,100,44.0,3
12,split2_seed432,donor_comb_12,0.41303255062318295,IRF1,100,138.0,3
13,split2_seed432,donor_comb_13,0.20367271489395128,IRF1,100,132.0,3
14,split2_seed432,donor_comb_14,0.30471510952228253,IRF1,100,151.0,4
0,split2_seed432,donor_comb_0,0.09334454529942326,IRF2,100,27.0,1
