gene_id,gene_name,gene_biotype,DonorC_NTC1_cpm,DonorC_NTC1_count,DonorC_NFKB2-3_cpm,DonorC_NFKB2-3_count,DonorC_MED24-3_cpm,DonorC_MED24-3_count,DonorC_GATA3-3_cpm,DonorC_GATA3-3_count,DonorC_CYB5R4-3_cpm,DonorC_CYB5R4-3_count,DonorC_KDM1A-3_cpm,DonorC_KDM1A-3_count,DonorC_ELOB-3_cpm,DonorC_ELOB-3_count,DonorC_MEN1-3_cpm,DonorC_MEN1-3_count,DonorC_ATP2A2-3_cpm,DonorC_ATP2A2-3_count,DonorC_NTC2_cpm,DonorC_NTC2_count
ENSG00000169241,SLC50A1,protein_coding,17.53762353684703,126.0,7.739899312534404,35.0,13.46189533120604,80.0,9.660215961567786,45.25,36.95033421823637,15.0,15.495424244463653,86.0,17.263682552480553,34.0,24.719673090757144,17.0,13.240000461117257,58.0,14.001518193052323,83.0
ENSG00000169242,EFNA1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.2134854356147577,1.0,0.0,0.0,0.1801793516798099,1.0,1.015510738381209,2.0,0.0,0.0,0.0,0.0,0.1686929902777388,1.0
ENSG00000169245,CXCL10,protein_coding,21.5740607000896,155.0,126.93434872556423,574.0,5.553031824122491,33.0,39.06783471750066,183.0,39.41368983278546,16.0,87.02662686134819,483.0,187.36173123133304,369.0,143.95574329323276,99.0,74.87448536631828,328.0,22.773553687494744,135.0
ENSG00000169246,NPIPB3,protein_coding,5.973927001599003,42.92,11.512547377444031,52.06,10.335370140533437,61.42,13.52643720055105,63.36,19.091006012755457,7.75,10.980129691367615,60.94,8.631841276240277,17.0,8.724590502620169,6.0,10.913869345620968,47.81,8.055090285762029,47.75
ENSG00000169247,SH3TC2,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169248,CXCL11,protein_coding,0.5567499535506992,4.0,3.5382396857300136,16.0,0.336547383280151,2.0,2.348339791762335,11.0,2.463355614549091,1.0,2.162152220157719,12.0,7.108575168668462,14.0,2.9081968342067226,2.0,1.1413793500963154,5.0,1.1808509319441718,7.0
ENSG00000169249,ZRSR2,protein_coding,28.324653886891827,203.5,33.28156704389794,150.5,28.858938116272945,171.5,29.46099011483656,138.0,32.02362298913818,13.0,30.720579461407592,170.5,24.88001309033962,49.0,29.081968342067224,20.0,23.968966352022623,105.0,30.11169876457638,178.5
ENSG00000169251,NMD3,protein_coding,67.01877565866543,481.5,90.22511198611534,408.0,85.06235112405815,505.5,91.37176644311629,428.0,78.82737966557092,32.0,90.45003454326458,502.0,69.81636326370811,137.5,94.51639711171848,65.0,90.13016175970564,394.83,68.91108652845631,408.5
ENSG00000169252,ADRB2,protein_coding,0.5567499535506992,4.0,0.0,0.0,0.673094766560302,4.0,0.4269708712295154,2.0,0.0,0.0,0.1801793516798099,1.0,0.5077553691906045,1.0,1.4540984171033613,1.0,0.4565517400385261,2.0,0.5060789708332165,3.0
ENSG00000169253,RPL36P14,processed_pseudogene,0.0,0.0,0.4422799607162517,2.0,0.0,0.0,0.2134854356147577,1.0,0.0,0.0,0.2702690275197149,1.5,0.0,0.0,0.0,0.0,0.228275870019263,1.0,0.0843464951388694,0.5
ENSG00000169255,B3GALNT1,protein_coding,9.882311675524914,71.0,20.5660181733057,93.0,13.125347947925889,78.0,18.573232898483923,87.0,12.316778072745455,5.0,35.31515292924274,196.0,15.740416444908735,31.0,11.63278733682689,8.0,39.72000138335177,174.0,11.977202309719456,71.0
ENSG00000169258,GPRIN1,protein_coding,1.1134999071013985,8.0,0.4422799607162517,2.0,0.336547383280151,2.0,0.8539417424590309,4.0,2.463355614549091,1.0,0.5405380550394298,3.0,0.5077553691906045,1.0,0.0,0.0,0.4565517400385261,2.0,1.3495439222219106,8.0
ENSG00000169271,HSPB3,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1686929902777388,1.0
ENSG00000169282,KCNAB1,protein_coding,0.0,0.0,0.2211399803581258,1.0,0.1682736916400755,1.0,0.2134854356147577,1.0,2.463355614549091,1.0,0.1801793516798099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1686929902777388,1.0
ENSG00000169288,MRPL1,protein_coding,72.09911898481556,518.0,111.89683006121167,506.0,86.82922488627894,516.0,107.81014498545264,505.0,142.87462564384728,58.0,85.58519204790971,475.0,114.7527134370766,226.0,107.60328286564874,74.0,105.6917278189188,463.0,87.04558298331324,516.0
ENSG00000169291,SHE,protein_coding,0.0,0.0,0.1105699901790629,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169297,NR0B1,protein_coding,0.4175624651630245,3.0,0.0,0.0,1.0096421498404529,6.0,0.0,0.0,0.0,0.0,0.1801793516798099,1.0,0.0,0.0,0.0,0.0,0.228275870019263,1.0,0.0,0.0
ENSG00000169299,PGM2,protein_coding,40.50355912081338,291.0,69.21681385209338,313.0,56.20341300778521,334.0,68.74231026795198,322.0,76.36402405102183,31.0,63.96366984633252,355.0,87.33392350078397,172.0,110.51147969985546,76.0,74.64620949629901,327.0,49.089660170822,291.0
ENSG00000169302,STK32A,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169306,IL1RAPL1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
