gene_id,gene_name,gene_biotype,DonorH_NTC1_cpm,DonorH_NTC1_count,DonorH_SGF29-4_cpm,DonorH_SGF29-4_count,DonorH_GATA3-3_cpm,DonorH_GATA3-3_count,DonorH_ATP2A2-3_cpm,DonorH_ATP2A2-3_count,DonorH_NTC2_cpm,DonorH_NTC2_count
ENSG00000003056,M6PR,protein_coding,112.30189861127214,1254.0,96.67907072249676,1163.83,108.9048294482931,1272.5,109.0250247779477,1220.33,110.2255066296688,1226.33
ENSG00000003096,KLHL13,protein_coding,1.0746593168542788,12.0,0.8306975307604785,10.0,0.6846669041935913,8.0,0.6253842595409717,7.0,0.4494120939293208,5.0
ENSG00000003137,CYP26B1,protein_coding,0.0895549430711899,1.0,0.0830697530760478,1.0,0.1711667260483978,2.0,0.0,0.0,0.0898824187858641,1.0
ENSG00000003147,ICA1,protein_coding,2.2388735767797474,25.0,4.818045678410774,58.0,1.7116672604839782,20.0,3.0375806891990056,34.0,1.168471444216234,13.0
ENSG00000003249,DBNDD1,protein_coding,0.9851043737830888,11.0,0.2492092592281435,3.0,0.6846669041935913,8.0,1.5187903445995028,17.0,0.4494120939293208,5.0
ENSG00000003393,ALS2,protein_coding,7.522615217979952,84.0,11.87897468987484,143.0,6.589918952863316,77.0,9.470104501620428,106.0,7.145652293476201,79.5
ENSG00000003400,CASP10,protein_coding,9.134604193261367,102.0,13.125020986015558,158.0,11.382587282218456,133.0,9.916807544149693,111.0,9.707301228873328,108.0
ENSG00000003402,CFLAR,protein_coding,348.4806722257677,3891.25,307.79420258502626,3705.25,398.2048389798834,4652.83,315.6028467956065,3532.58,356.02426081080796,3961.0
ENSG00000003436,TFPI,protein_coding,3.761307608989976,42.0,1.661395061520957,20.0,1.626083897459779,19.0,3.2162619062107116,36.0,2.516707726004197,28.0
ENSG00000003509,NDUFAF7,protein_coding,10.11970856704446,113.0,9.885300616049694,119.0,10.441170288952266,122.0,10.899554237714078,122.0,9.437653972515738,105.0
ENSG00000003756,RBM5,protein_coding,58.79282012623617,656.5,62.55152406626402,753.0,65.21452262443957,762.0,71.47248680468248,800.0,59.63698486442087,663.5
ENSG00000003987,MTMR7,protein_coding,0.0,0.0,0.0,0.0,0.2567500890725967,3.0,0.0893406085058531,1.0,0.0,0.0
ENSG00000003989,SLC7A2,protein_coding,0.4477747153559495,5.0,0.1661395061520957,2.0,0.1711667260483978,2.0,0.4467030425292654,5.0,0.3595296751434566,4.0
ENSG00000004059,ARF5,protein_coding,134.51152449292724,1502.0,130.7310239034303,1573.75,119.60274982631796,1397.5,119.31438265956682,1335.5,131.45303747432635,1462.5
ENSG00000004139,SARM1,protein_coding,16.07511228127859,179.5,18.566089812496692,223.5,17.672964464497074,206.5,18.180813830941105,203.5,17.212483197492986,191.5
ENSG00000004142,POLDIP2,protein_coding,113.91388758655356,1272.0,115.79923578801068,1394.0,116.73570716500733,1364.0,109.79960785369346,1229.0,118.46502795976896,1318.0
ENSG00000004399,PLXND1,protein_coding,0.895549430711899,10.0,0.498418518456287,6.0,0.2567500890725967,3.0,0.2680218255175593,3.0,0.7190593502869133,8.0
ENSG00000004455,AK2,protein_coding,197.42387200043817,2204.5,208.64380670851708,2511.67,233.98491450815985,2734.0,209.3402336326598,2343.17,208.7366376189759,2322.33
ENSG00000004468,CD38,protein_coding,53.68818837117835,599.5,30.860413267751778,371.5,66.28431466224205,774.5,75.8948469257222,849.5,60.98522114620883,678.5
ENSG00000004478,FKBP4,protein_coding,135.5414063382459,1513.5,118.12518887414002,1422.0,130.9853371085364,1530.5,109.75493754944053,1228.5,134.1944512472952,1493.0
ENSG00000004487,KDM1A,protein_coding,86.68918489291183,968.0,79.2070095580116,953.5,95.93894995012695,1121.0,78.44105426813901,878.0,96.80336503237572,1077.0
ENSG00000004534,RBM6,protein_coding,68.86775122174504,769.0,66.04045369545803,795.0,78.4799438931904,917.0,76.96693422779244,861.5,70.46781632811751,784.0
ENSG00000004660,CAMKK1,protein_coding,4.029972438203546,45.0,3.6550691353461047,44.0,3.187980272651409,37.25,2.59087764666974,29.0,5.033415452008393,56.0
ENSG00000004700,RECQL,protein_coding,44.46402923484579,496.5,64.50366326355115,776.5,40.30976398439768,471.0,44.02973208993958,492.83,40.17744119728128,447.0
ENSG00000004766,VPS50,protein_coding,9.851043737830889,110.0,11.546695677570648,139.0,11.63933737129105,136.0,14.562519186454054,163.0,11.055537510661292,123.0
ENSG00000004776,HSPB6,protein_coding,0.3582197722847596,4.0,0.2492092592281435,3.0,0.4279168151209945,5.0,0.3573624340234124,4.0,0.4494120939293208,5.0
ENSG00000004777,ARHGAP33,protein_coding,1.5224340322102283,17.0,1.993674073825148,24.0,1.1981670823387849,14.0,1.6081309531053558,18.0,0.7190593502869133,8.0
ENSG00000004779,NDUFAB1,protein_coding,332.7861684525417,3716.0,320.81538637969675,3862.0,350.20712149502197,4092.0,310.01191151531026,3470.0,318.45340975831675,3543.0
ENSG00000004799,PDK4,protein_coding,0.0,0.0,0.0830697530760478,1.0,0.0,0.0,0.0893406085058531,1.0,0.0,0.0
ENSG00000004809,SLC22A16,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0898824187858641,1.0
ENSG00000004838,ZMYND10,protein_coding,0.1791098861423798,2.0,0.7476277776844306,9.0,0.0855833630241989,1.0,0.0893406085058531,1.0,0.2696472563575924,3.0
ENSG00000004846,ABCB5,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004848,ARX,protein_coding,0.0895549430711899,1.0,0.1661395061520957,2.0,0.0,0.0,0.0893406085058531,1.0,0.1797648375717283,2.0
ENSG00000004864,SLC25A13,protein_coding,13.612351346820866,152.0,13.498834874857774,162.5,13.436587994799227,157.0,10.318840282426033,115.5,16.85295352234953,187.5
