gene_id,gene_name,gene_biotype,DonorA_NTC1_cpm,DonorA_NTC1_count,DonorA_NFKB2-3_cpm,DonorA_NFKB2-3_count,DonorA_MED24-3_cpm,DonorA_MED24-3_count,DonorA_GATA3-3_cpm,DonorA_GATA3-3_count,DonorA_CYB5R4-3_cpm,DonorA_CYB5R4-3_count,DonorA_KDM1A-3_cpm,DonorA_KDM1A-3_count,DonorA_ELOB-3_cpm,DonorA_ELOB-3_count,DonorA_MEN1-3_cpm,DonorA_MEN1-3_count,DonorA_NTC2_cpm,DonorA_NTC2_count
ENSG00000136197,C7orf25,protein_coding,5.816643857846193,32.5,3.973629914294191,29.5,5.0259873236619965,32.5,7.998475181536784,29.5,10.277359415024211,5.0,6.5555061721991725,10.0,7.43560243777472,18.5,6.65623235682411,6.5,5.140605636772721,34.5
ENSG00000136205,TNS3,protein_coding,1.9687102288094809,11.0,1.8857904678006332,14.0,1.0825203466348916,7.0,1.897943263415508,7.0,8.221887532019371,4.0,2.622202468879669,4.0,21.703920629180264,54.0,30.20905454250942,29.5,4.321088796127794,29.0
ENSG00000136206,SPDYE1,protein_coding,0.0,0.0,0.0,0.0,0.1933072047562306,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136213,CHST12,protein_coding,16.107629144804843,90.0,19.262002635392182,143.0,10.670557702543933,69.0,11.116524828576546,41.0,4.110943766009686,2.0,5.899955554979255,9.0,4.823093473151169,12.0,8.192285977629673,8.0,17.284355184511178,116.0
ENSG00000136231,IGF2BP3,protein_coding,4.474341429112457,25.0,3.098084339958183,23.0,10.593234820641438,68.5,5.151560286413521,19.0,2.055471883004843,1.0,13.76656296161826,21.0,19.292373892604676,48.0,7.168250230425964,7.0,4.172085734192353,28.0
ENSG00000136235,GPNMB,protein_coding,0.1789736571644982,1.0,1.0775945530289333,8.0,0.7732288190249226,5.0,1.0845390076660046,4.0,0.0,0.0,3.933303703319503,6.0,4.019244560959308,10.0,1.0240357472037092,1.0,1.0430214335480883,7.0
ENSG00000136237,RAPGEF5,protein_coding,0.5369209714934948,3.0,0.2693986382572333,2.0,1.0825203466348916,7.0,3.5247517749145145,13.0,2.055471883004843,1.0,1.3111012344398345,2.0,16.478902699933162,41.0,6.144214483222255,6.0,0.7450153096772059,5.0
ENSG00000136238,RAC1,protein_coding,354.36784118570654,1980.0,323.32281668399236,2400.33,338.13296255959864,2186.5,314.10961009526653,1158.5,253.85077755109808,123.5,194.37075800570543,296.5,308.07509559753095,766.5,231.43207886803827,226.0,352.0942353534475,2363.0
ENSG00000136240,KDELR2,protein_coding,235.79779331422645,1317.5,232.01957719904215,1722.5,228.6437617856696,1478.5,252.2908866583043,930.5,281.59964797166344,137.0,214.36505183091293,327.0,229.09693997468057,570.0,277.00166961860333,270.5,242.1299756450919,1625.0
ENSG00000136243,NUP42,protein_coding,66.75717412235785,373.0,54.48587458752544,404.5,55.981766497404394,362.0,120.654964602843,445.0,141.82755992733414,69.0,161.92100245331957,247.0,149.11397321159032,371.0,179.2062557606491,175.0,60.64424620772456,407.0
