gene_id,gene_name,gene_biotype,DonorD_NTC1_cpm,DonorD_NTC1_count,DonorD_SGF29-4_cpm,DonorD_SGF29-4_count,DonorD_GATA3-3_cpm,DonorD_GATA3-3_count,DonorD_ATP2A2-3_cpm,DonorD_ATP2A2-3_count,DonorD_NTC2_cpm,DonorD_NTC2_count
ENSG00000139410,SDSL,protein_coding,2.2157990166165793,27.0,5.279974623663858,57.0,2.3535836545574766,27.0,3.973915307348701,40.0,2.4411916265828495,30.0
ENSG00000139428,MMAB,protein_coding,19.901157834426684,242.5,17.785177679709836,192.0,17.34678323173844,199.0,14.30609510645532,144.0,19.041294687346227,234.0
ENSG00000139433,GLTP,protein_coding,45.51989779802659,554.67,36.80512837228702,397.33,36.552897550577285,419.33,35.91425959016388,361.5,40.41555483916347,496.67
ENSG00000139436,GIT2,protein_coding,85.10309556412565,1037.0,75.58700513876681,816.0,109.28909284820136,1253.75,116.6840882120262,1174.5,86.4995566352523,1063.0
ENSG00000139437,TCHP,protein_coding,15.18232659533582,185.0,18.989382418440183,205.0,16.823764641836778,193.0,14.802834519873908,149.0,16.844222223421664,207.0
ENSG00000139438,FAM222A,protein_coding,0.9027329326956434,11.0,1.4820981399758195,16.0,1.046037179803323,12.0,0.8941309441534575,9.0,1.0578497048525684,13.0
ENSG00000139445,FOXN4,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0993478826837175,1.0,0.0,0.0
ENSG00000139496,NUP58,protein_coding,92.33891035283246,1125.17,116.86992251645576,1261.67,97.38344634673987,1117.17,90.60526900755038,912.0,93.47078619023074,1148.67
ENSG00000139505,MTMR6,protein_coding,35.37071763562021,431.0,48.07555841546564,519.0,39.83658259750988,457.0,48.48176674965414,488.0,43.0870322091873,529.5
ENSG00000139508,SLC46A3,protein_coding,5.006064444948568,61.0,5.928392559903278,64.0,6.624902138754378,76.0,7.649786966646248,77.0,7.404947933967978,91.0
ENSG00000139514,SLC7A1,protein_coding,126.05434405640985,1536.0,121.43941634426872,1311.0,98.06598560656153,1125.0,116.63441427068436,1174.0,119.78113581099848,1472.0
ENSG00000139515,PDX1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000139517,LNX2,protein_coding,6.729463680094796,82.0,12.22730965480051,132.0,8.542636968393804,98.0,7.848482732013683,79.0,8.462797638820547,104.0
ENSG00000139531,SUOX,protein_coding,6.072930638134328,74.0,10.745211514824693,116.0,5.927544018885497,68.0,7.053699670543943,71.0,7.323574879748549,90.0
ENSG00000139537,CCDC65,protein_coding,0.4103331512252924,5.0,0.0926311337484887,1.0,0.2615092949508307,3.0,0.0993478826837175,1.0,0.2441191626582849,3.0
ENSG00000139540,SLC39A5,protein_coding,0.0,0.0,0.0926311337484887,1.0,0.0,0.0,0.0993478826837175,1.0,0.0,0.0
ENSG00000139546,TARBP2,protein_coding,27.16405461111436,331.0,19.7304314884281,213.0,25.5407411401978,293.0,17.584575235017997,177.0,25.22564680802278,310.0
ENSG00000139547,RDH16,protein_coding,0.5744664117154095,7.0,0.0926311337484887,1.0,0.348679059934441,4.0,0.2980436480511525,3.0,0.5696113795359983,7.0
ENSG00000139549,DHH,protein_coding,0.0,0.0,0.0,0.0,0.0871697649836102,1.0,0.0993478826837175,1.0,0.0,0.0
ENSG00000139567,ACVRL1,protein_coding,0.0,0.0,0.0926311337484887,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000139572,GPR84,protein_coding,0.4103331512252924,5.0,1.296835872478842,14.0,0.348679059934441,4.0,0.39739153073487,4.0,0.0813730542194283,1.0
ENSG00000139574,NPFF,protein_coding,0.970848235799042,11.83,0.5557868024909324,6.0,1.1332069447869333,13.0,0.3477175893930112,3.5,0.8137305421942833,10.0
ENSG00000139579,NABP2,protein_coding,45.91627962211023,559.5,40.24822761371835,434.5,40.18526165744432,461.0,34.424041349908116,346.5,42.06986903144444,517.0
ENSG00000139597,N4BP2L1,protein_coding,31.55461932922499,384.5,42.93453049242452,463.5,36.34979199816548,417.0,32.834475226968635,330.5,33.36295222996561,410.0
ENSG00000139610,CELA1,protein_coding,0.2461998907351754,3.0,0.0,0.0,0.2615092949508307,3.0,0.198695765367435,2.0,0.1627461084388566,2.0
ENSG00000139613,SMARCC2,protein_coding,97.06430692234294,1182.75,101.80161598958912,1099.0,109.02758355325052,1250.75,99.04983903566637,997.0,106.2732088105734,1306.0
ENSG00000139618,BRCA2,protein_coding,12.720327687984064,155.0,14.820981399758196,160.0,13.075464747541536,150.0,9.239353089585729,93.0,11.799092861817108,145.0
ENSG00000139620,KANSL2,protein_coding,50.14271107973074,611.0,48.90923861920204,528.0,40.0109221274771,459.0,43.41502473278455,437.0,48.57971336899871,597.0
ENSG00000139624,CERS5,protein_coding,19.20359147734369,234.0,19.89994646318783,214.83,15.952066992000674,183.0,20.46566383284581,206.0,15.460880301691382,190.0
