gene_id,gene_name,gene_biotype,Donor6_NTC2_cpm,Donor6_NTC2_count,Donor6_MEN1_cpm,Donor6_MEN1_count,Donor6_ELOB_cpm,Donor6_ELOB_count,Donor6_SGF29_cpm,Donor6_SGF29_count,Donor6_GATA3_cpm,Donor6_GATA3_count,Donor6_NTC3_cpm,Donor6_NTC3_count,Donor6_MED24_cpm,Donor6_MED24_count,Donor6_NFKB2_cpm,Donor6_NFKB2_count,Donor6_KDM1A_cpm,Donor6_KDM1A_count,Donor6_CYB5R4_cpm,Donor6_CYB5R4_count,Donor6_NTC1_cpm,Donor6_NTC1_count
ENSG00000121390,PSPC1,protein_coding,54.8610734805409,488.25,45.51504639080943,416.5,56.90852353326219,658.08,53.998603521505565,662.25,41.63288554982256,365.75,52.71696163266968,375.75,53.684682280199475,573.25,53.75319758129787,636.25,41.823053210617374,523.75,51.380395198593995,550.08,54.07588491624954,691.0
ENSG00000121406,ZNF549,protein_coding,3.70796810006728,33.0,3.278394698017486,30.0,3.1416950218262447,36.33,3.608060710949976,44.25,5.00846743456512,44.0,4.138790068300082,29.5,2.903140254140748,31.0,3.21040708540561,38.0,4.312066584006374,54.0,2.8021594240070895,30.0,3.834614125754309,49.0
ENSG00000121410,A1BG,protein_coding,2.1348907242811617,19.0,2.29487628861224,21.0,2.594298118766511,30.0,2.4461428548813395,30.0,0.7968016373171782,7.0,2.9462573367559903,21.0,2.060293083583757,22.0,3.168164886913431,37.5,2.9944906833377596,37.5,2.2884301962724565,24.5,1.9955644940149977,25.5
ENSG00000121413,ZSCAN18,protein_coding,1.0112640272910765,9.0,1.857756995543242,17.0,5.015643029615254,58.0,0.9784571419525356,12.0,1.707432079965382,15.0,1.1223837473356153,8.0,1.3110955986442088,14.0,1.605203542702805,19.0,1.9164740373361664,24.0,2.054916910938533,22.0,1.486891191619018,19.0
ENSG00000121417,ZNF211,protein_coding,8.202474888027622,73.0,7.321748158905718,67.0,6.399268692957394,74.0,10.620336894943147,130.25,6.602070709199477,58.0,7.155196389264548,51.0,8.428471705569914,90.0,8.70189288938889,103.0,8.863692422679769,111.0,8.686694214421976,93.0,8.608317425162735,110.0
ENSG00000121440,PDZRN3,protein_coding,0.1123626696990085,1.0,0.0,0.0,0.0864766039588837,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0936496856174435,1.0,0.0,0.0,0.0798530848890069,1.0,0.0934053141335696,1.0,0.078257431137843,1.0
ENSG00000121446,RGSL1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121454,LHX4,protein_coding,0.1123626696990085,1.0,0.4371192930689981,4.0,0.1729532079177674,2.0,0.0,0.0,0.3414864159930764,3.0,0.1402979684169519,1.0,0.5618981137046609,6.0,0.3379375879374326,4.0,0.3992654244450346,5.0,0.9340531413356966,10.0,0.1565148622756861,2.0
ENSG00000121481,RNF2,protein_coding,30.337920818732297,270.0,24.369400588596648,223.0,30.39652629154762,351.5,27.55987616499642,338.0,24.017877924846378,211.0,27.91929571497343,199.0,31.6535937386959,338.0,23.74011555260464,281.0,29.865053748488588,374.0,29.095755352606947,311.5,34.276754838375254,438.0
ENSG00000121486,TRMT1L,protein_coding,15.506048418463177,138.0,17.921891015828923,164.0,27.758989870801667,321.0,21.526057122955788,264.0,17.30197841031587,152.0,15.573074494281665,111.0,18.168039009784035,194.0,15.967551030043692,189.0,20.44238973158577,256.0,19.241494711515347,206.0,17.9992091617039,230.0
ENSG00000121542,SEC22A,protein_coding,16.74203778515227,149.0,15.736294550483931,144.0,16.286138823576568,188.33,18.712992839842247,229.5,15.575195433444218,136.83,18.425332192198297,131.33,13.298255357676975,142.0,19.60038010037109,232.0,16.84900091158046,211.0,16.065714030973982,172.0,16.016948430982335,204.67
ENSG00000121552,CSTA,protein_coding,0.0,0.0,0.1092798232672495,1.0,0.0,0.0,0.0815380951627113,1.0,0.0,0.0,0.2805959368339038,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121570,DPPA4,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1402979684169519,1.0,0.2809490568523304,3.0,0.0,0.0,0.2395592546670207,3.0,0.0,0.0,0.2347722934135291,3.0
ENSG00000121577,POPDC2,protein_coding,0.224725339398017,2.0,0.4371192930689981,4.0,0.864766039588837,10.0,1.1415333322779584,14.0,1.0244592479792292,9.0,0.4910428894593316,3.5,1.264270755835487,13.5,0.7603595728592234,9.0,0.7186777640010623,9.0,0.6538371989349876,7.0,0.7043168802405874,9.0
ENSG00000121578,B4GALT4,protein_coding,14.045333712376063,125.0,8.305266568310964,76.0,14.00920984133916,162.0,18.916838077749023,232.0,9.220133231813062,81.0,14.029796841695193,100.0,14.79665032755607,158.0,9.969158844154263,118.0,15.33179229868933,192.0,14.291013062436155,153.0,12.3646741197792,158.0
ENSG00000121579,NAA50,protein_coding,116.74481381726984,1039.0,94.90952650760622,868.5,121.11048384441662,1400.5,95.9703380065112,1177.0,107.39747782982252,943.5,116.65776073869552,831.5,117.29623123584796,1252.5,90.60951576572413,1072.5,105.68555785060066,1323.5,114.42150981362283,1225.0,124.97711752713536,1597.0
ENSG00000121594,CD80,protein_coding,10.337365612308782,92.0,6.884628865836721,63.0,5.015643029615254,58.0,11.659947608267718,143.0,24.700850756832526,217.0,13.18800903119348,94.0,22.19497549133411,237.0,9.12431487431068,108.0,14.133996025354223,177.0,7.939451701353421,85.0,10.173466047919597,130.0
ENSG00000121621,KIF18A,protein_coding,8.764288236522663,78.0,5.573270986629725,51.0,16.949414375941203,196.0,9.86610951468807,121.0,8.53716039982691,75.0,7.716388262932356,55.0,6.18087925075127,66.0,7.857048919545309,93.0,6.068834451564526,76.0,6.911993245884154,74.0,7.590970820370775,97.0
ENSG00000121634,GJA8,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121644,DESI2,protein_coding,35.6189662945857,317.0,23.3858821791914,214.0,31.347768935095345,362.5,31.7183190182947,389.0,29.36783177540457,258.0,36.75806772524139,262.0,34.978157578115145,373.5,29.31608575357228,347.0,29.226229069376533,366.0,27.0875410987352,290.0,31.694259610826432,405.0
