gene_id,gene_name,gene_biotype,Donor10_NTC_cpm,Donor10_NTC_count,Donor10_CYB5R4_cpm,Donor10_CYB5R4_count,Donor10_SGF29_cpm,Donor10_SGF29_count,Donor10_ATP2A2_cpm,Donor10_ATP2A2_count,Donor10_KDM1A_cpm,Donor10_KDM1A_count
ENSG00000274414,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274415,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274417,MIR6515,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274419,TBC1D3D,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000274420,,misc_RNA,0,0,0.047744667,0.5,0.115765576,1,0,0,0.055108404,0.5
ENSG00000274421,,lncRNA,5.502978929,59,3.342126695,35,5.325216499,46,8.584528411,26,5.400623616,49
ENSG00000274422,,lncRNA,11.05259327,118.5,7.663019064,80.25,5.710715868,49.33,3.962090036,12,5.510840425,50
ENSG00000274423,SEC22B2P,transcribed_unprocessed_pseudogene,0.046635415,0.5,0.063977854,0.67,0.033572017,0.29,0.165087085,0.5,0.04629106,0.42
ENSG00000274424,RN7SL196P,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274425,,lncRNA,1.772145757,19,2.482722687,26,1.968014793,17,2.971567527,9,2.20433617,20
ENSG00000274427,,lncRNA,0.186541659,2,0,0,0,0,0.33017417,1,0.220433617,2
ENSG00000274428,RNVU1-25,snRNA,0,0,0.190978668,2,0,0,0,0,0,0
ENSG00000274430,,misc_RNA,0.249033114,2.67,0.254956522,2.67,0.482742452,4.17,0.716477948,2.17,0.367021972,3.33
ENSG00000274432,U2,snRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274441,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274443,C8orf89,protein_coding,0,0,0,0,0,0,0,0,0.110216808,1
ENSG00000274445,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274446,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274447,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274450,,snRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274451,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274452,U2,snRNA,0,0,0,0,0.115765576,1,0,0,0,0
ENSG00000274455,GUSBP7,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274458,,snoRNA,0,0,0,0,0.028941394,0.25,0,0,0,0
ENSG00000274459,Metazoa_SRP,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274460,,lncRNA,0.466354147,5,0.381957337,4,0.57882788,5,0.660348339,2,0.220433617,2
ENSG00000274461,LINC02930,lncRNA,0,0,0.095489334,1,0,0,0,0,0,0
ENSG00000274466,MIR1273H,miRNA,0,0,0,0,0.115765576,1,0,0,0,0
ENSG00000274467,RNA5SP257,rRNA_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274468,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274469,LINC01746,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274471,,transcribed_unprocessed_pseudogene,0.279812488,3,0.214851002,2.25,0.115765576,1,0.33017417,1,0.233659634,2.12
ENSG00000274472,Y_RNA,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274475,RN7SL650P,misc_RNA,0.139906244,1.5,0,0,0,0,0.165087085,0.5,0,0
ENSG00000274478,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274481,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274484,Y_RNA,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274486,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274487,NPEPPSP1,transcribed_unprocessed_pseudogene,1.293666402,13.87,1.022690769,10.71,1.104403596,9.54,0.865056324,2.62,1.216793566,11.04
ENSG00000274489,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274491,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274492,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274493,MRPS17P5,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274494,MIR6832,miRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274499,,transcribed_processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274500,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274501,,lncRNA,0.093270829,1,0,0,0.347296728,3,0,0,0,0
ENSG00000274502,ANKRD20A6P,processed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274503,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274505,Metazoa_SRP,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274507,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274508,,lncRNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274510,Metazoa_SRP,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274512,TBC1D3L,protein_coding,0.839437464,9,0.572936005,6,0.926124609,8,0.990522509,3,1.212384893,11
ENSG00000274514,Metazoa_SRP,misc_RNA,0.373083317,4,0.095489334,1,0.231531152,2,0.33017417,1,0.440867234,4
ENSG00000274515,,lncRNA,0,0,0.190978668,2,0,0,0.33017417,1,0.220433617,2
ENSG00000274516,FAM74A6,transcribed_processed_pseudogene,0,0,0,0,0.019680148,0.17,0,0,0,0
ENSG00000274520,,misc_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000274523,RCC1L,protein_coding,60.06641407,644,57.77104715,605,69.45934564,600,64.05378891,194,59.46196818,539.5
ENSG00000274525,,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
ENSG00000274528,,lncRNA,0.186541659,2,0.190978668,2,0.694593456,6,0,0,0.661300851,6
ENSG00000274529,SEBOX,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000274532,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0
