gene_id,gene_name,gene_biotype,Donor8_ELOB_cpm,Donor8_ELOB_count,Donor8_GATA3_cpm,Donor8_GATA3_count,Donor8_SGF29_cpm,Donor8_SGF29_count,Donor8_MED24_cpm,Donor8_MED24_count,Donor8_NFKB2_cpm,Donor8_NFKB2_count,Donor8_KDM1A_cpm,Donor8_KDM1A_count,Donor8_NTC1_cpm,Donor8_NTC1_count,Donor8_NTC2_cpm,Donor8_NTC2_count,Donor8_NTC3_cpm,Donor8_NTC3_count
ENSG00000232727,YWHAEP1,transcribed_processed_pseudogene,0.041918218,0.25,0,0,0,0,0.039423916,0.25,0,0,0,0,0,0,0,0,0,0
ENSG00000232728,PHB2P1,processed_pseudogene,0,0,0.129947564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232729,GTF2I-AS1,lncRNA,1.006037228,6,1.16952808,9,0.729694617,5,1.41926098,9,1.237517955,10,0.68034114,5,0.729625447,6,0.413188414,3.5,0.900605118,7
ENSG00000232730,FAM8A4P,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232732,,lncRNA,0,0,0.129947564,1,0,0,0,0,0,0,0,0,0,0,0.038957765,0.33,0,0
ENSG00000232734,ATP5MC1P7,processed_pseudogene,0.167672871,1,0.454816476,3.5,0.291877847,2,0.473086993,3,0,0,0,0,0.121604241,1,0,0,0.128657874,1
ENSG00000232735,ATG4AP1,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232736,,transcribed_processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232738,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232739,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232740,LINC01826,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232742,RHOQP2,processed_pseudogene,0.615359438,3.67,0.44442067,3.42,0.207233271,1.42,0.894134417,5.67,0.587821028,4.75,0.306153513,2.25,0.537490746,4.42,0.767349912,6.5,0.472174397,3.67
ENSG00000232743,ELF2P3,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232744,USP9YP16,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232746,LINC02022,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232747,IGKV1D-35,IG_V_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232748,,lncRNA,0.167672871,1,0.422329584,3.25,0.145938923,1,0.197119581,1.25,0.990014364,8,0.986494653,7.25,0.678551666,5.58,0.118053833,1,0.385973622,3
ENSG00000232750,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0.121604241,1,0,0,0,0
ENSG00000232751,,processed_pseudogene,0.167672871,1,0,0,0,0,0,0,0.061875898,0.5,0,0,0.152005302,1.25,0,0,0,0
ENSG00000232752,MTCO3P21,unprocessed_pseudogene,0.335345743,2,0,0,0.729694617,5,0.157695664,1,0.061875898,0.5,0.136068228,1,0.121604241,1,0.236107665,2,0.128657874,1
ENSG00000232756,DDX3ILA1,lncRNA,0,0,0,0,0,0,0.157695664,1,0,0,0,0,0,0,0,0,0,0
ENSG00000232757,ETF1P1,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232759,STEAP1B-AS1,lncRNA,0,0,0.129947564,1,0.291877847,2,0,0,0,0,0,0,0,0,0.118053833,1,0,0
ENSG00000232760,,transcribed_unprocessed_pseudogene,0.041918218,0.25,0,0,0,0,0,0,0.061875898,0.5,0,0,0,0,0,0,0,0
ENSG00000232762,,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232764,TRIM60P8Y,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232765,,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232766,KIAA1143P2,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232767,HSPA12A-AS1,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232768,,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232771,PPP1R26P5,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232772,MTND4P22,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232773,DEFB130D,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232774,LINC03033,lncRNA,0.055332048,0.33,0.649737822,5,0.291877847,2,0.551934825,3.5,0.495007182,4,0.385073085,2.83,0.465744244,3.83,0.826376828,7,1.415236613,11
ENSG00000232775,BMS1P22,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232777,MRPL51P2,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0.068034114,0.5,0,0,0,0,0,0
ENSG00000232778,RPL23AP50,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232780,GAPDHP74,transcribed_processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232783,FRG2FP,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232786,TIMM9P3,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232787,OR7L1P,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232788,ITGA6-AS1,lncRNA,7.042260594,42,3.248689111,25,4.815984473,33,3.311608953,21,5.445079,44,4.626319751,34,3.161710272,26,3.069399648,26,4.24570984,33
ENSG00000232789,,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232790,LINC01162,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
