gene_id,gene_name,gene_biotype,DonorC2_NTC1_cpm,DonorC2_NTC1_count,DonorC2_SGF29-4_cpm,DonorC2_SGF29-4_count,DonorC2_NTC2_cpm,DonorC2_NTC2_count
ENSG00000185345,PRKN,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185347,TEDC1,protein_coding,4.896732906843607,32.0,8.641811066460509,67.0,5.812443226701299,42.0
ENSG00000185352,HS6ST3,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185359,HGS,protein_coding,18.209725497324666,119.0,36.372995831968105,282.0,25.464036993167596,184.0
ENSG00000185361,TNFAIP8L1,protein_coding,10.941137588728685,71.5,9.996124741055064,77.5,10.310167152124924,74.5
ENSG00000185372,OR2V1,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185379,RAD51D,protein_coding,18.592282755671825,121.5,23.345788104915695,181.0,20.343551293454546,147.0
ENSG00000185385,OR7A17,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185386,MAPK11,protein_coding,1.224183226710902,8.0,3.224556368082279,25.0,1.5223065593741496,11.0
ENSG00000185390,FGF7P2,transcribed_unprocessed_pseudogene,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185404,SP140L,protein_coding,50.956626811841296,333.0,52.689251054464435,408.5,50.82428035728695,367.25
ENSG00000185414,MRPL30,protein_coding,59.42338405358056,388.33,43.55343795241373,337.67,46.63793731900804,337.0
ENSG00000185418,TARS3,protein_coding,13.006946783803333,85.0,11.479420670372914,89.0,11.901669464197898,86.0
ENSG00000185420,SMYD3,protein_coding,8.722305490315176,57.0,6.191148226717976,48.0,6.5044007536895485,47.0
ENSG00000185432,TMT1A,protein_coding,16.29693920558888,106.5,7.416479646589242,57.5,10.932928926414348,79.0
ENSG00000185433,LINC00158,lncRNA,0.7651145166943136,5.0,1.4188048019562027,11.0,0.8303490323858999,6.0
