gene_id,gene_name,gene_biotype,Donor7_NTC1_cpm,Donor7_NTC1_count,Donor7_MEN1_cpm,Donor7_MEN1_count,Donor7_ELOB_cpm,Donor7_ELOB_count,Donor7_SGF29_cpm,Donor7_SGF29_count,Donor7_GATA3_cpm,Donor7_GATA3_count,Donor7_NTC2_cpm,Donor7_NTC2_count,Donor7_MED24_cpm,Donor7_MED24_count,Donor7_NFKB2_cpm,Donor7_NFKB2_count,Donor7_KDM1A_cpm,Donor7_KDM1A_count,Donor7_ATP2A2_cpm,Donor7_ATP2A2_count,Donor7_NTC3_cpm,Donor7_NTC3_count
ENSG00000040633,PHF23,protein_coding,40.920241412956024,490.0,36.882666036583146,424.0,39.21799719803015,475.0,33.04639113534063,387.5,41.11292538539586,459.0,39.36216322341817,464.0,46.70544479448459,425.0,31.388199165454154,192.0,33.85910651398543,166.0,38.250919713806994,165.0,36.423962953702826,260.0
ENSG00000040731,CDH10,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000040933,INPP4A,protein_coding,40.112692975275856,480.33,72.44573291331969,832.83,33.163564072700574,401.67,49.932030992882424,585.5,60.25148479083711,672.67,39.31974709925501,463.5,30.29479992116604,275.67,37.763927120937026,231.0,28.590547952200833,140.17,31.372708877996978,135.33,39.99631316646983,285.5
ENSG00000041353,RAB27B,protein_coding,1.0856390578947517,13.0,4.262383574982486,49.0,2.972311366587548,36.0,4.3066909737669725,50.5,0.7165651483293396,8.0,0.6786579866106581,8.0,1.2088468064454836,11.0,1.307841631893923,8.0,1.6317641693486955,8.0,2.5500613142537993,11.0,1.821198147685141,13.0
ENSG00000041357,PSMA4,protein_coding,443.73408724028945,5313.5,428.2825618658423,4923.5,366.089683318033,4434.0,414.4657055942076,4860.0,423.5347879844103,4728.5,405.87989211733674,4784.5,353.0931626463035,3213.0,406.4117871110366,2486.0,391.3174448619341,1918.5,384.9433465744031,1660.5,406.89769384242254,2904.5
ENSG00000041515,MYO16,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0852810093815242,1.0,0.0,0.0,0.0,0.0,0.1098951642223167,1.0,0.0,0.0,0.0,0.0,0.6954712675237634,3.0,0.1400921652065493,1.0
ENSG00000041802,LSG1,protein_coding,41.922369774089645,502.0,34.794967959040704,400.0,37.05729196293025,448.83,38.20589220292284,448.0,52.84667968928879,590.0,44.36726587467178,523.0,44.452593927927104,404.5,32.34128875469685,197.83,38.34645797969435,188.0,38.250919713806994,165.0,47.21105967460713,337.0
ENSG00000041880,PARP3,protein_coding,4.760109715384681,57.0,6.958993591808142,80.0,6.6051363701945505,80.0,5.969670656706694,70.0,4.20982024643487,47.0,4.83543815460094,57.0,4.835387225781934,44.0,4.9044061196022115,30.0,5.915145113889022,29.0,5.795593896031363,25.0,5.463594443055424,39.0
ENSG00000041982,TNC,protein_coding,3.0898957801619855,37.0,3.740459055596876,43.0,2.4769261388229564,30.0,7.675290844337178,90.0,2.418407375611521,27.0,3.5629544297059557,42.0,2.5275887771132837,23.0,3.106123875748067,19.0,4.283380944540326,21.0,6.027417651872617,26.0,6.724423929914368,48.0
ENSG00000041988,THAP3,protein_coding,9.311442688866524,111.5,7.741880370886557,89.0,10.07283296454669,122.0,8.954505985060042,105.0,7.703075344540402,86.0,9.501211812549217,112.0,8.901508302007652,81.0,8.33749040332376,51.0,11.42234918544087,56.0,12.750306571268998,55.0,11.067281051317398,79.0
ENSG00000042062,RIPOR3,protein_coding,0.0,0.0,0.0869874198976017,1.0,0.2476926138822957,3.0,0.0852810093815242,1.0,0.0,0.0,0.0848322483263322,1.0,0.3296854926669501,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1400921652065493,1.0
ENSG00000042088,TDP1,protein_coding,48.60322551498042,582.0,40.10120057279442,461.0,55.97853073739883,678.0,66.77503034573346,783.0,49.801277808889104,556.0,45.97907859287209,542.0,60.11265482960723,547.0,42.177892628579016,258.0,48.5449840381237,238.0,51.23305004091725,221.0,46.65069101378093,333.0
ENSG00000042286,AIFM2,protein_coding,12.359583120647942,148.0,14.874848802489902,171.0,19.320023882819065,234.0,18.335417017027705,215.0,11.375471729728266,127.0,11.53718577238119,136.0,11.97857290023252,109.0,11.280134075085083,69.0,10.198526058429348,50.0,20.63231426987165,89.0,14.70967734668768,105.0
ENSG00000042304,SLC19A4P,transcribed_unprocessed_pseudogene,0.0208776741902836,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000042317,SPATA7,protein_coding,1.0856390578947517,13.0,1.9137232377472388,22.0,2.4769261388229564,30.0,0.7675290844337178,9.0,0.985277078952842,11.0,0.7634902349369905,9.0,1.428637134890117,13.0,0.9808812239204424,6.0,1.6317641693486955,8.0,0.927295023365018,4.0,0.7004608260327466,5.0
ENSG00000042429,MED17,protein_coding,27.760625817336415,332.42,28.814582841080583,331.25,25.099518206739297,304.0,25.441883528790115,298.33,23.877742155204416,266.58,27.422024271486908,323.25,29.580481353720987,269.17,23.59509784140624,144.33,21.620875243870216,106.0,24.012304630037143,103.58,26.12718881102145,186.5
ENSG00000042445,RETSAT,protein_coding,9.019155250202552,108.0,11.134389746893026,128.0,7.926163644233462,96.0,11.854060304031863,139.0,10.748477224940094,120.0,8.22872808765423,97.0,9.2311937946746,84.0,10.299252851164644,63.0,9.586614494923587,47.0,8.809302721967672,38.0,8.335483829789684,59.5
ENSG00000042493,CAPG,protein_coding,61.08807468077007,731.5,113.69255780616552,1307.0,87.18780008656807,1056.0,138.92276428250292,1629.0,61.445461469240875,686.0,66.46606656368134,783.5,53.29915464782359,485.0,81.74010199337019,500.0,89.54305879300968,439.0,153.00367885522795,660.0,68.36497662079607,488.0
ENSG00000042753,AP2S1,protein_coding,90.1080418052644,1079.0,104.90682839650772,1206.0,109.89295635911184,1331.0,110.43890714907384,1295.0,96.01972987613152,1072.0,83.22043560813195,981.0,96.65279693352754,879.5,93.5106766804155,572.0,115.8552560237574,568.0,126.34394693348368,545.0,114.17511464333772,815.0
ENSG00000042781,USH2A,protein_coding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1400921652065493,1.0
ENSG00000042813,ZPBP,protein_coding,0.0,0.0,0.0869874198976017,1.0,0.1651284092548638,2.0,0.3411240375260968,4.0,0.0895706435411674,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
